"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Albania","2003","Female","95.4",""
"Albania","2003","Male","97.5",""
"Algeria","2011","Female","97.0",""
"Algeria","2011","Male","98.4",""
"Algeria","2010","Female","96.4",""
"Algeria","2010","Male","98.2",""
"Algeria","2009","Female","96.7",""
"Algeria","2009","Male","98.4",""
"Algeria","2008","Female","97.3",""
"Algeria","2008","Male","98.5",""
"Algeria","2007","Female","96.6",""
"Algeria","2007","Male","98.2",""
"Algeria","2006","Female","96.3",""
"Algeria","2006","Male","98.2",""
"Algeria","2005","Female","96.1","1"
"Algeria","2005","Male","98.0","1"
"Algeria","2004","Female","95.8","1"
"Algeria","2004","Male","97.7","1"
"Algeria","2003","Female","95.0","1"
"Algeria","2003","Male","97.0","1"
"Algeria","2002","Female","94.5",""
"Algeria","2002","Male","96.8",""
"Algeria","2001","Female","93.3",""
"Algeria","2001","Male","96.2",""
"Algeria","2000","Female","91.5","1"
"Algeria","2000","Male","94.5","1"
"Andorra","2011","Female","76.8",""
"Andorra","2011","Male","76.9",""
"Andorra","2010","Female","79.4",""
"Andorra","2010","Male","78.4",""
"Andorra","2009","Female","81.5",""
"Andorra","2009","Male","81.9",""
"Andorra","2008","Female","82.9",""
"Andorra","2008","Male","83.7",""
"Andorra","2007","Female","81.6",""
"Andorra","2007","Male","83.4",""
"Andorra","2006","Female","81.8",""
"Andorra","2006","Male","82.9",""
"Andorra","2005","Female","80.4",""
"Andorra","2005","Male","82.7",""
"Andorra","2004","Female","80.2",""
"Andorra","2004","Male","84.4",""
"Andorra","2003","Female","90.5",""
"Andorra","2003","Male","90.7",""
"Andorra","2002","Female","89.2",""
"Andorra","2002","Male","88.9",""
"Angola","2010","Female","78.2","1"
"Angola","2010","Male","93.1","1"
"Angola","2009","Female","80.7",""
"Angola","2009","Male","91.8",""
"Angola","2008","Female","80.7",""
"Angola","2008","Male","90.9",""
"Antigua and Barbuda","2011","Female","84.7",""
"Antigua and Barbuda","2011","Male","87.2",""
"Antigua and Barbuda","2010","Female","84.5",""
"Antigua and Barbuda","2010","Male","91.1",""
"Antigua and Barbuda","2009","Female","88.5",""
"Antigua and Barbuda","2009","Male","92.5",""
"Antigua and Barbuda","2008","Female","90.0",""
"Antigua and Barbuda","2008","Male","92.0",""
"Antigua and Barbuda","2007","Female","88.8","1"
"Antigua and Barbuda","2007","Male","91.5","1"
"Argentina","2003","Female","99.0",""
"Argentina","2003","Male","99.8",""
"Armenia","2011","Female","82.5",""
"Armenia","2011","Male","80.8",""
"Armenia","2007","Female","97.6",""
"Armenia","2007","Male","95.0",""
"Armenia","2006","Female","93.1",""
"Armenia","2006","Male","90.4",""
