"OID","Country or Area","Year","Description","Magnitude","Value"
"91161...ZF...","ARMENIA","2007","GOVERNMENT BOND YIELD","PERCENT PER ANNU","6.56222"
"91161...ZF...","ARMENIA","2006","GOVERNMENT BOND YIELD","PERCENT PER ANNU","5.85693"
"91161...ZF...","ARMENIA","2005","GOVERNMENT BOND YIELD","PERCENT PER ANNU","5.18325"
"91161...ZF...","ARMENIA","2004","GOVERNMENT BOND YIELD","PERCENT PER ANNU","8.20862"
"91161...ZF...","ARMENIA","2003","GOVERNMENT BOND YIELD","PERCENT PER ANNU","15.7142"
"91161...ZF...","ARMENIA","2002","GOVERNMENT BOND YIELD","PERCENT PER ANNU","17.442"
"91161...ZF...","ARMENIA","2001","GOVERNMENT BOND YIELD","PERCENT PER ANNU","23.1503"
"91161...ZF...","ARMENIA","2000","GOVERNMENT BOND YIELD","PERCENT PER ANNU","25.5117"
"19361A..ZF...","AUSTRALIA","2009","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","4.25958"
"19361...ZF...","AUSTRALIA","2009","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","5.09383"
"19361A..ZF...","AUSTRALIA","2008","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","5.6275"
"19361...ZF...","AUSTRALIA","2008","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","5.72833"
"19361A..ZF...","AUSTRALIA","2007","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","6.3275"
"19361...ZF...","AUSTRALIA","2007","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","6.02417"
"19361A..ZF...","AUSTRALIA","2006","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","5.71458"
"19361...ZF...","AUSTRALIA","2006","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","5.61667"
"19361A..ZF...","AUSTRALIA","2005","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","5.26875"
"19361...ZF...","AUSTRALIA","2005","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","5.32042"
"19361A..ZF...","AUSTRALIA","2004","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","5.30042"
"19361...ZF...","AUSTRALIA","2004","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","5.60958"
"19361A..ZF...","AUSTRALIA","2003","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","4.89708"
"19361...ZF...","AUSTRALIA","2003","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","5.35875"
"19361A..ZF...","AUSTRALIA","2002","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","5.30292"
"19361...ZF...","AUSTRALIA","2002","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","5.82167"
"19361A..ZF...","AUSTRALIA","2001","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","4.96875"
"19361...ZF...","AUSTRALIA","2001","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","5.63417"
"19361A..ZF...","AUSTRALIA","2000","TREASURY BONDS: 3 YEARS","PERCENT PER ANNU","6.18125"
"19361...ZF...","AUSTRALIA","2000","TREASURY BONDS: 15 YEARS","PERCENT PER ANNU","6.26"
"12261...ZF...","AUSTRIA","2009","GOVERNMENT BOND YIELD","PERCENT PER ANNU","3.71417"
"12261...ZF...","AUSTRIA","2008","GOVERNMENT BOND YIELD","PERCENT PER ANNU","4.25917"
"12261...ZF...","AUSTRIA","2007","GOVERNMENT BOND YIELD","PERCENT PER ANNU","4.295"
"12261...ZF...","AUSTRIA","2006","GOVERNMENT BOND YIELD","PERCENT PER ANNU","3.79667"
"12261...ZF...","AUSTRIA","2005","GOVERNMENT BOND YIELD","PERCENT PER ANNU","3.38667"
"12261...ZF...","AUSTRIA","2004","GOVERNMENT BOND YIELD","PERCENT PER ANNU","4.15083"
"12261...ZF...","AUSTRIA","2003","GOVERNMENT BOND YIELD","PERCENT PER ANNU","4.15333"
"12261...ZF...","AUSTRIA","2002","GOVERNMENT BOND YIELD","PERCENT PER ANNU","4.96667"
"12261...ZF...","AUSTRIA","2001","GOVERNMENT BOND YIELD","PERCENT PER ANNU","5.07417"
"12261...ZF...","AUSTRIA","2000","GOVERNMENT BOND YIELD","PERCENT PER ANNU","5.55667"
"12461...ZF...","BELGIUM","2009","GOVERNMENT BOND YIELD","PERCENT PER ANNU","3.90167"
"12461...ZF...","BELGIUM","2008","GOVERNMENT BOND YIELD","PERCENT PER ANNU","4.4175"
"12461...ZF...","BELGIUM","2007","GOVERNMENT BOND YIELD","PERCENT PER ANNU","4.32833"
"12461...ZF...","BELGIUM","2006","GOVERNMENT BOND YIELD","PERCENT PER ANNU","3.815"
"12461...ZF...","BELGIUM","2005","GOVERNMENT BOND YIELD","PERCENT PER ANNU","3.42833"
"12461...ZF...","BELGIUM","2004","GOVERNMENT BOND YIELD","PERCENT PER ANNU","4.1525"
"12461...ZF...","BELGIUM","2003","GOVERNMENT BOND YIELD","PERCENT PER ANNU","4.18083"
"12461...ZF...","BELGIUM","2002","GOVERNMENT BOND YIELD","PERCENT PER ANNU","4.98667"
"12461...ZF...","BELGIUM","2001","GOVERNMENT BOND YIELD","PERCENT PER ANNU","5.13083"
"12461...ZF...","BELGIUM","2000","GOVERNMENT BOND YIELD","PERCENT PER ANNU","5.5925"
"61661...ZF...","BOTSWANA","2009","GOV. BONDS: 10 YEARS","PERCENT PER ANNU","8.62896"
"61661...ZF...","BOTSWANA","2008","GOV. BONDS: 10 YEARS","PERCENT PER ANNU","10.1892"
"61661...ZF...","BOTSWANA","2007","GOV. BONDS: 10 YEARS","PERCENT PER ANNU","10.7344"
"61661...ZF...","BOTSWANA","2006","GOV. BONDS: 10 YEARS","PERCENT PER ANNU","11.5964"
"61661...ZF...","BOTSWANA","2005","GOV. BONDS: 10 YEARS","PERCENT PER ANNU","9.49"
"61661...ZF...","BOTSWANA","2004","GOV. BONDS: 10 YEARS","PERCENT PER ANNU","10.0667"
"61661...ZF...","BOTSWANA","2003","GOV. BONDS: 10 YEARS","PERCENT PER ANNU","10.4643"
"91861...ZF...","BULGARIA","2009","GOVERNMENT BOND YEILD","PERCENT PER ANNU","7.215"
"91861...ZF...","BULGARIA","2008","GOVERNMENT BOND YEILD","PERCENT PER ANNU","5.37667"
"91861...ZF...","BULGARIA","2007","GOVERNMENT BOND YEILD","PERCENT PER ANNU","4.53917"
"91861...ZF...","BULGARIA","2006","GOVERNMENT BOND YEILD","PERCENT PER ANNU","4.18333"
"91861...ZF...","BULGARIA","2005","GOVERNMENT BOND YEILD","PERCENT PER ANNU","3.87417"
"91861...ZF...","BULGARIA","2004","GOVERNMENT BOND YEILD","PERCENT PER ANNU","5.36"
"91861...ZF...","BULGARIA","2003","GOVERNMENT BOND YEILD","PERCENT PER ANNU","6.44667"
"91861...ZF...","BULGARIA","2002","GOVERNMENT BOND YEILD","PERCENT PER ANNU","6.74583"
"91861...ZF...","BULGARIA","2001","GOVERNMENT BOND YEILD","PERCENT PER ANNU","6.7025"
"91861...ZF...","BULGARIA","2000","GOVERNMENT BOND YEILD","PERCENT PER ANNU","7.37583"
"15661A..ZF...","CANADA","2009","GOVT BOND YIELD 3-5 YEARS","PERCENT PER ANNU","2.15333"
"15661...ZF...","CANADA","2009","GOVERNMENT BOND YIELD > 10 YRS.","PERCENT PER ANNU","3.89083"
"15661A..ZF...","CANADA","2008","GOVT BOND YIELD 3-5 YEARS","PERCENT PER ANNU","2.95583"
"15661...ZF...","CANADA","2008","GOVERNMENT BOND YIELD > 10 YRS.","PERCENT PER ANNU","4.04"
