Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/1/2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,0,0,0,156424.581,0,29713.23929,71831.44599,55865.92179,55865.92179,0,0,0,0,,,,,,932986.7953,1750298.465,153605.3669,700088.4842
Africa Eastern and Southern,AFE,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,78800884.32,36980484.66,34239386.62,43985632.31,286890640.9,160418469.9,1459557940,169172107.3,294437435.8,224715679.6,182704417.7,231493187.3,217655481.2,233044040,255938522.5,262142804.8,228230920.8,272195003.8,314298586,242242547.5,189611675.7,228951584.7
Afghanistan,AFG,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,643174.51,744281.07,626710.87,433679.25,0,0,463662.4306,12809.26,0,0,0,5555.671469,335.1954581,
Africa Western and Central,AFW,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,2479276.259,350001.6461,887876.7282,634631.3811,1439619.47,801048.9503,491936.0532,1021741.589,2570892.273,2707809.798,3506795.801,3900282.9,5551862.702,6513644.746,10149433.3,8572491.635,9186263.369,6365730.124,112807609.9,80204729.57,49733895.7,12885404.85
Angola,AGO,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,15750000,4420000,0,0,226800000,49430571.11,1339588442,12021694.12,12000000,,,,16332320.86,18843635.45,21944072.22,17490960,10997630,11569560,8226880,516010,0,0
Albania,ALB,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,5321983.91,15410498.39,505314.458,723627.4161,7530000,40441133.41,17098527.16,739036.1847,13339406.11,1650606.396,1185804.075,740461.8145,1945283.406,2703932.264,10991466.05,14949446.68,17149047.06,15865804.92,19332528.32
Andorra,AND,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,99847249.88,78702515.71,74893529.53,165457003,133984587.7,174411828.8,318268578.5,157473828.2,41334881.87,63801539.92,48832292.91,53838247.26,30495082.14,102773106.3,64825403.1,65533309.55,74105128.41,80221164.38,68761195.63,72024947.86,55017220.21,231917973
United Arab Emirates,ARE,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,36756558.01,46775129.55,33450000,51500000,61210000,51080000,80512422.81,96694187.45,99367650.4,105965489.6,152187821.1,155396388.3,158152120.1,179902421.6,174205013.5,161745947,168807424.7,356498296,321051040.8,284486041.2,209591988,212632152.8
Armenia,ARM,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
American Samoa,ASM,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
