Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,207145251.4,308759776.5,-340251396.6,-165553072.6,270888268.2,104963491.3,310555693.7,258268156.4,111731.8436,171675977.7,-460111731.8,-260558659.2,90837988.83,-331240424.6,-135498655.9,110690101.7,135986923.9,29520988.72,-14737534.26,84796821.76,-316455500,79257066.71
Africa Eastern and Southern,AFE,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,-238376258.6,277627586.2,-577708206.8,-2246921171,-5150161881,-5095040597,-3232893168,-4192816423,-2708462935,-3554897942,-3896837604,-3791935256,-3136733353,
Africa Western and Central,AFW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,795650000,-1430930000,-150093385.3,-719558880.5,681237662,5137882651,10689818936,10581250705,7194246953,-7571651746,7505954235,13084636207,13841185161,8145070112,-3747517596,-10272841903,-3085195463,-632867147.9,7402606519,5137394880,871917831.3,8399451649
Albania,ALB,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-156300000,-217400000,-407520000,-406814698.3,-357925427.3,-571475353.7,-670904254.7,-1150813004,-2013166061,-1852457562,-1355598479,-1667175109,-1256644800,-1184891052,-1425385680,-979825099.4,-900363040.5,-982237928.3,-1016226360,-1218856027,-1314583006,-1369694859
Andorra,AND,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,568257241.8,448869294.4,
Arab World,ARB,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-8980617893,-3780423241,8766610000,8139930000,3211790000,5273750000,6498802520,6048537893,5421206329,7254115684,-1622995871,-5340181192,-2138040360,-13124373786,-9179026267,-17621985168,-15104786525,-31151351751,-27083606451,-3492479581,3120746311,6707548185
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-301667882.5,-221164164.3,-147810525.6,-173510013.1,-78841446.25,-123899753.9,-152931434.5,-677270882.4,-1658884234,-1425501011,-1261431338,-1058869760,-1057931945,-813673760.5,-901811470.9,-280909482.7,-100882015.8,-173931156.4,-924336380.4,-996978464.7,-477810649.7,-515126323.6
American Samoa,ASM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-66773349.63,-56894814.81,-82406382.96,-97559289.26,-95101379.26,-171492877,-291763385.6,-385514557.4,-359171367.4,-169024819.3,-167107016.3,-117692907.8,-166821254.1,-204399948.9,3332296.25,29558778.17,-35264005.63,-117993531.5,-233662350.6,-126907263.7,-251556428.2,-220870946.6
Australia,AUS,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-15487273891,-7986938465,-16002234756,-29307731701,-41286950910,-43342943310,-45318593060,-64163007802,-52121667002,-48898407699,-44714246092,-44431156054,-64482910032,-51314570187,-45400874920,-56958711795,-41185888416,-36063498746,-29892362780,7658429875,35600872826,56260946221
Austria,AUT,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,6232945527,10993883347,14749054069,19299052402,10303724796,11472431144,6798975982,6141933077,8379185905,10589968448,6634070795,10771582681,5650780664,4379291489,10635667873,12896713732,1626883167
Azerbaijan,AZE,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-167773000,-51755000,-768373000,-2020854000,-2589213000,167315000,3707605000,9018885000,16452805000,10174876000,15040436000,17144935000,14975987000,12231737000,10208803000,-222495000,-1363404000,1684559000,6051077000,4364886019,-227568000,8291580000
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-50162533.19,-36713166.28,-3284988.168,-23902939.17,-32368607.5,-5698160.233,-133539415.1,-111307028.9,-259356226.2,-161180586.8,-300982004.2,-283583270.3,-261157248.5,-258429277.2,-395077162,-373243823.1,-339695286.8,-373388923.3,-362644693.9,,,
Belgium,BEL,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,11622181453,10806024031,11434413830,7700999845,7553988246,7043546782,-4300219761,8777353551,7337927601,-10168977415,-413616611.6,5078944280,4041465919,6363243452,2646800223,3518201465,-4743198690,507274955.7,5701996357,2917096932
Benin,BEN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-80783378.75,-74992412.6,-156932556.3,-331950912.9,-289010635.8,-226174696.2,-217198381.2,-534763829,-538190533,-651546427.8,-530854983.7,-516838833.5,-576935937.9,-673366862.3,-885799913.3,-679200532.3,-354241236,-531029511.4,-648824804.9,-575592817.8,-273966712.9,
Burkina Faso,BFA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,-634569356.7,-543935799.6,-560735672.5,-967031300.3,-381568168.1,-181624984.1,-160392828.5,-162293548.7,-1345544009,-998954284.1,-895400077.2,-780222104.3,-896284716.2,-664796659.4,-523837226.3,743231869.9,
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-305831650.6,-535424727.7,739250272,131637632,-278679383.7,-173741536,1196063083,856792635,926185438.6,3556126394,2108502537,-161842538.7,2575500681,2058473420,755790761.7,2579621009,931393868,-5984992476,-7095172568,-2948537075,1192771686,-15563232438
Bulgaria,BGR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-703685705.9,-804648255.4,-319039031.1,-1022155147,-1671124320,-3346998840,-5863231595,-11437006354,-11875334885,-4256328503,-964620000,272490000,-528620000,678640000,747230000,-123190000,1560850000,1987340000,559360000,1263580000,-31190000,-373660000
Bahrain,BHR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,830185016.5,225932635.8,-49630835.44,200443477.6,471578624.3,1474202077,2187449379,2906574540,2256886835,559975548.8,770071855.5,3247340426,2577976351,2409721033,1523251103,-752110737.1,-1492819149,-1599760638,-2434574468,,,
"Bahamas, The",BHS,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-632943000,-644960000,-423317708.7,-473510000,-307120000,-700637472.1,-1403710000,-1315098059,-1222077999,-808980000,-814043000,-1203144000,-1504802400,-1493926000,-1885283211,-1203165343,-710785521.6,-1574646044,-1115273821,-345480921.3,-2373378880,-2592015380
Bosnia and Herzegovina,BIH,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-395690107.6,-742835136.6,-1190656336,-1631046470,-1639327352,-1844398186,-998104072,-1450133147,-2643834901,-1135255485,-1030658645,-1767324081,-1485969669,-968193561.1,-1364226227,-826025436.5,-804268044.3,-875777451,-661764108.3,-531916721.8,-658601018.3,-557887271.5
Belarus,BLR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-459100000,-528800000,-325700000,-456100000,-1191900000,458600000,-1387900000,-3012500000,-4958600000,-6132600000,-8280200000,-5052500000,-1862200000,-7567300000,-5227700000,-1831100000,-1611800000,-952400000,22900000,-1245800000,-178400000,2153187590
Belize,BLZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-161571589.1,-190365259.8,-165323926.7,-184286483.1,-154923751,-151221160.5,-25383981.6,-52089996.96,-144877244.4,-82838728.49,-45736663.04,-19948868.14,-33113119.85,-72586237.49,-135861423.2,-174735548.4,-163456303.4,-158035030.3,-150794400,-184645704.7,-127919787.2,-162434323.3
Bermuda,BMU,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,1252390000,1216066497,906745097.5,581361176.9,695959070.3,867596774.6,926988024.8,840649668.3,817577700.8,942896167.1,845986384.6,940200101.7,888947064.5,838701046.1,853849630.4,1014879598
Bolivia,BOL,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-446349904,-274011530,-351932880.9,75594887.42,337499451.3,622439173.9,1317472317,1591246147,1992699061,813540000,873745670.1,537204935.3,1970039110,1053982417,566230700.6,-1936209393,-1907244255,-1898241784,-1724978181,-1366094867,-269455782.6,802112166.2
Brazil,BRA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-24959637226,-23718998373,-8142452111,3587580694,11092621844,13843345902,13088985364,424588905.2,-30935370935,-26428858087,-79236962043,-76487827897,-84431604206,-79990353272,-1.02E+11,-54789099328,-24475243915,-22033285756,-51456772517,-65029905180,-24491770540,-27925426465
Barbados,BRB,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-102185303.2,-111242365.7,-144795834.5,-188204341.5,-437235618.9,-495742535.7,-442370494.2,-347371226.1,-431911348.8,-381050945.4,-272352980.3,-173611506.8,-448497185.1,-252485397.9,-645562541.2,-98732451.68,-452390305.2,-296395807,,,,
Brunei Darussalam,BRN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,1951316868,1755703212,2484083056,2882181879,4032630649,5229408432,4828377152,6938901524,3977383595,5016203728,6430078161,5683735283,3778236925,5250594000,2156649812,1469939558,1984437362,939946758,893758524.4,513713114.6,1570169313
Bhutan,BTN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,-37902200.9,84937868.85,-112487375.5,-65940668.75,-323097108.1,-526214663.8,-377036786.3,-472191887.7,-490282016.2,-548326099.4,-622690306,-540419849.6,-478153519.9,-500801565.7,-381152580.9,-321534822.5
Botswana,BWA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,545147749.1,595211329.6,263353892,716788889.5,316806216,1597510498,1950580299,1654312720,149529674.4,-648182389,-744133493.8,-131913618.1,-820817535.5,646614169.1,1713317042,301219213.7,1202538243,899603267.6,66926398.92,-1154933120,-1291995442,-122877048.5
Central African Republic,CAF,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,18494424439,15757824511,12512912205,10432942307,23235547976,21933097496,17990236971,11050809836,3177944944,-40775263976,-58162670440,-49746988787,-64582432569,-58110120945,-41873919952,-54695520050,-47262580270,-46235966236,-41150336771,-35434008480,-29215726799,826661744.2
Central Europe and the Baltics,CEB,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,29288780969,19103243196,21256501853,39074498538,50439617364,47532417798,55133415012,40831622534,7524476801,32421182040,78049933455,44465235712,60935775785,67846358374,49891177141,61630612275,50054111399,37152296363,36640627136,30805804824,11066724430,59159320449
Channel Islands,CHI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-897526442.9,-1100127919,-580075885,-222193545.4,2821176352,1824625141,7004224398,7423002524,-6698524205,3220017296,3068788709,-6833478451,-14228392010,-13248567562,-8981588319,-6631182622,-6534477430,-7615781653,-13265293208,-14505468954,-4283499707,-20306986062
China,CHN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,20518382000,17401000000,35421997980,43051582861,68940960689,1.32E+11,2.32E+11,3.53E+11,4.21E+11,2.43E+11,2.38E+11,1.36E+11,2.15E+11,1.48E+11,2.36E+11,2.93E+11,1.91E+11,1.89E+11,24130909184,1.03E+11,2.49E+11,3.17E+11
