Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/1/2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,1868603352,2067949721,1480949721,1798653631,4723581006,5766391336,6088447715,6768659218,7131452514,3549217877,1870558659,6901564246,3187206704,2199751840,2344987256,2486117680,2396465857,2363776589,2620564226,2651804815,1521367981,2268562458
Africa Eastern and Southern,AFE,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,72909498859,70897476650,74741080196,92346857488,1.15399E+11,1.44945E+11,1.74929E+11,2.17186E+11,2.55331E+11,1.97307E+11,2.57854E+11,3.03345E+11,2.97252E+11,3.03328E+11,2.96585E+11,2.4039E+11,2.28404E+11,2.60512E+11,2.84234E+11,2.72138E+11,2.27871E+11,3.1151E+11
Afghanistan,AFG,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,,,,1993642470,2202037380,2746604195,3191479094,2480275797,1584641701,2177473479,1704288649,1375850798,1452434678,1898906245,1868568056,1716706831,
Africa Western and Central,AFW,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,45658436874,43230266915,42499951896,57402629810,74946206346,1.03469E+11,1.14474E+11,1.29801E+11,1.65023E+11,1.23475E+11,1.61016E+11,1.9938E+11,1.97858E+11,1.99832E+11,1.83609E+11,1.30066E+11,1.19248E+11,1.44885E+11,1.71577E+11,1.82353E+11,1.42621E+11,
Angola,AGO,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,8222360000,6759790000,8552372417,9721520616,13830779466,24311987562,33491517668,45329462968,64665690437,41582480381,51585764936,68252355246,72133100315,70380501722,61496795045,34603647353,28640556801,35837464385,41837360215,35872743553,21540234146,34029794548
Albania,ALB,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,670400000,820700000,815450000,1041539222,1453552163,1687443389,2201687890,2846824201,3755349945,3438619106,3703040658,4078140323,3797531106,4070992798,4178282911,3519547546,3892417842,4605004261,5247401479,5292424071,3846951284,6080531352
Andorra,AND,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,2906978116,2392121508,
Arab World,ARB,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,38657070743,36474696528,32093670000,37439900000,43478020000,51204020000,60213128417,72746977099,87208615202,69866766023,83888208133,1.00853E+11,96586241541,92034825145,84398577454,72381928419,74209111525,78184715523,83420042594,86292608863,68477143582,89887444729
Armenia,ARM,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,557854584.7,665720600.9,884142112.2,1147694288,1511732726,1943703725,2302670548,2924909840,3076881000,2435101658,3259762076,3807748403,4032591599,4414406842,4531263614,4023630097,4411121017,5427811277,5837077341,6733519493,4278301759,5491755362
American Samoa,ASM,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,482383391.1,464016296.3,435953768.1,471248371.1,545510517,563228077.8,574877213,607078164.1,641475825.6,574729269.6,534969908.1,547981720.7,552059917,539821383,1041903110,1037401065,1061470956,1004613762,1060265101,1228000889,606624771.9,765044326.9
Australia,AUS,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,94027773392,90769749908,94387840252,1.06295E+11,1.31585E+11,1.57277E+11,1.84047E+11,2.2097E+11,2.77393E+11,2.26171E+11,3.003E+11,3.72114E+11,3.5959E+11,3.56407E+11,3.46479E+11,2.82519E+11,2.9043E+11,3.39618E+11,3.76333E+11,3.92374E+11,3.4544E+11,4.4518E+11
Austria,AUT,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,1.84883E+11,2.10309E+11,2.5811E+11,2.83469E+11,2.22988E+11,2.37639E+11,2.78748E+11,2.61172E+11,2.56742E+11,2.66422E+11,2.19962E+11,2.3814E+11,2.52881E+11,2.8189E+11,2.80078E+11,2.54871E+11,3.05148E+11
Azerbaijan,AZE,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,2174015000,2410233000,2692274000,3090917000,4188596000,8341331000,13994393000,22682991000,32484232000,23310691000,28910312000,38057559000,37837472000,36941498000,34230672000,21288283000,18499727000,21125504000,27115308000,25219210260,17064300000,27303525000
Burundi,BDI,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,55410264.47,46240676.66,39380857.18,46101217.42,65547370.33,98744965.49,97780313.2,98301026.2,163850385.4,119721016.2,181856512.8,243125987.9,235581819.7,235021577,218166817.1,193494604.5,208531185.3,284078967.3,301844770.7,,,
Belgium,BEL,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,2.32206E+11,2.58777E+11,3.10419E+11,3.44185E+11,3.81855E+11,4.61777E+11,5.21519E+11,4.27834E+11,4.61272E+11,5.08807E+11,4.87327E+11,5.07131E+11,5.19173E+11,4.26808E+11,4.46859E+11,4.82832E+11,5.27667E+11,5.14577E+11,4.76801E+11,5.85045E+11
Benin,BEN,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,553226115,543488467.6,623725458.1,737572164.8,808500570.6,797601763.7,977228098.5,1387748030,1681901189,1494586071,1709055793,1767811033,1968654631,2651294852,3202965312,2833169922,3300303693,3433172991,3954426852,3708936175,3718479448,
Burkina Faso,BFA,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,583429342.8,728815704.8,805008057.6,1073481963,1145021328,1982702862,2917027287,3393035929,3281421147,3370957552,2914314798,3448462094,3925344520,4750004848,4682310007,5603943480,
Bangladesh,BGD,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,7292611568,6913563237,6941782608,7984802607,9219984982,10668033942,13064944732,14334394905,17687393266,17082688771,21764077876,27147928001,27768035487,31767533486,33138217973,35107953649,37756801961,39281430149,44518232860,45143332662,38693585663,49824250545
Bulgaria,BGR,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,7320635450,7953381427,8466750262,11322108578,15480668738,17673875416,21972412182,27487439319,31897081760,24384475267,26143690000,34901600000,33592910000,37139440000,38152790000,33553820000,35772010000,41450590000,44863810000,45505170000,41495120000,54215400000
Bahrain,BHR,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,13504024037,10400747221,8634902592,9247241353,12881029141,18412687109,23295926212,27687960948,28319383826,17384881833,19347876092,29767819149,33454032807,36174962300,34205194235,27888067760,26046276596,28844946809,32515691489,,,
"Bahamas, The",BHS,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,2754920000,2405800000,2591599202,2560320000,2801280000,3157026153,3259010000,3522484138,3603116610,3119235000,3234768000,3382563000,3725090600,3674164000,3613851248,3460395303,3926984119,3810619827,4793336462,5197101268,1685892616,3233947917
Bosnia and Herzegovina,BIH,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,2246587544,2256436938,2239345969,2852423434,3624808469,4226573146,5253755990,5379477185,6412421680,5328379102,5691102088,6646029863,6139805758,6719878401,6955732839,6286388255,6675416146,7992867251,9211900402,8884500232,7449106667,10562055130
