Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,979344507.8,2023034713,2143951791,2480214114,2435844906,2485331046,2580623924,2587774667,2529865268,2596917266,2596050086,2751986639,2678760424,2661685957,3040072312,3530754340,
Africa Western and Central,AFW,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,9763465564,8776917205,9119036719,9114598189,9801188918,12238371900,9905180986,11941803691,15596027679,20277281253,26795572705,34679553283,37165323895,44350760779,46928671426,49780775995,58447229857,59758478491,63802091512,64776005720,67529244766,67277107138,
Albania,ALB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1122051223,1154309753,1180426822,1550382968,1603744699,2126166749,2517100833,2966604308,4256899003,4605163642,5436572732,6484194296,7384475900,8647046116,8512452310,8447046911,8516222980,9801454504,9651086367,9274545229,10477366101,11086175522,
Andorra,AND,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1.50063E+11,1.5265E+11,1.4832E+11,1.63443E+11,1.68E+11,1.30788E+11,1.18921E+11,1.20818E+11,1.29752E+11,1.33695E+11,1.26642E+11,1.42885E+11,1.39878E+11,1.50225E+11,1.53794E+11,1.77185E+11,1.81639E+11,2.25925E+11,2.77827E+11,2.80685E+11,2.55558E+11,2.46307E+11,
