Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,21023.15751,20913.2995,21377.09519,22050.83093,24104.64618,24975.67326,25833.44562,27665.42647,29011.55925,25739.13725,24452.92836,26044.43593,25609.95572,26515.67808,26942.30798,28421.38649,28451.27374,29326.70806,30220.59452,31650.76054,24487.86356,29342.10086,
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,707.0157522,628.2252416,626.5808526,812.9736448,985.563259,1120.484333,1226.223569,1369.855328,1428.382728,1411.62246,1643.605569,1792.907505,1759.182395,1730.394686,1719.183721,1538.552268,1443.692371,1628.586788,1564.73434,1512.270553,1363.540741,1549.77273,
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,183.5327752,200.4625667,221.6576042,255.05512,274.0004865,375.0781281,387.8491743,443.8451505,554.5952002,621.9123109,663.1410528,651.9878619,628.1468039,592.4765375,520.252064,530.1498308,502.0567706,500.5226641,516.8665522,368.7546142,
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,520.7865838,529.5849389,619.7732823,697.9052908,841.357961,1000.869581,1241.8519,1417.60505,1681.47768,1463.393293,1675.739572,1856.687669,1953.407033,2149.295219,2243.271464,1876.623483,1645.023767,1585.91193,1731.311792,1749.303317,1683.436391,1757.030626,
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,556.8842437,527.4632018,872.6577717,982.8056006,1254.695563,1900.724725,2597.962682,3121.350475,4081.715004,3123.697586,3496.784796,4511.153227,4962.552072,5101.983876,5059.080441,3100.830685,1709.515534,2283.214233,2487.500996,2142.238757,1603.993477,1953.533757,
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1126.68334,1281.659826,1425.124219,1846.120121,2373.581292,2673.786584,2972.742924,3595.038057,4370.539925,4114.134899,4094.348386,4437.142612,4247.630047,4413.062005,4578.633208,3952.802538,4124.05539,4531.019374,5287.663694,5396.215864,5332.160475,6492.872012,
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,21620.48502,22809.29187,24783.8365,31955.38802,37629.12896,39584.91575,43086.49983,50565.45648,53719.42127,49753.6906,48238.4661,51429.19192,44904.58004,44750.43568,45682.24623,38885.37601,39932.16449,40632.48439,42903.44358,41327.50203,37207.49386,42137.32727,
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,2842.619272,2720.517427,2676.909578,2896.054824,3371.900995,4048.845578,4679.878185,5303.838216,6501.826712,5562.24771,6385.356001,6826.51552,7327.268826,7307.373017,7276.428999,6245.787785,6062.681557,6132.428354,6474.29534,6384.066321,5545.455246,6271.319001,
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,31855.5006,29909.00943,30221.967,32607.37293,37017.73637,42190.55438,45339.58512,43918.38017,45140.76908,31722.58876,34165.91331,40893.02336,44386.78608,45729.60768,46865.9646,41525.1389,41054.53957,43063.96748,46722.26872,45376.17084,37629.17417,44315.55418,
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,7666.517834,7168.975872,2579.488769,3333.152904,4258.160261,5086.627761,5890.978002,7210.595548,8977.506851,8184.389889,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14613.04182,11795.15939,9963.672506,8496.424142,10636.1202,
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,603.2980252,676.1500113,765.3161777,910.1712617,1166.638204,1608.163552,2109.526231,3064.280106,3908.94906,2917.366129,3143.029202,3462.681611,3643.715183,3833.157532,4017.229808,3666.141876,3679.951972,4041.995021,4391.923697,4828.505178,4505.867364,4966.513471,
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,8800.72881,9043.682367,8832.818519,8733.014287,8673.927195,9187.166344,10019.50225,12191.59773,10446.86321,10495.30473,11920.06109,12038.87159,12313.99736,13101.54182,13300.82461,12372.88478,13195.9359,13672.57666,15501.52634,15743.31076,
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,11010.19746,10502.93881,10549.66619,10968.89268,11650.84848,12808.01015,14310.68623,16006.13611,16457.10406,14530.59869,13404.51602,13117.14694,13686.47659,13350.14914,14004.81121,14861.88271,15862.65166,16110.55628,17527.16963,18319.45605,14787.63578,15781.3957,
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,21853.78167,19681.66264,20291.17855,23705.90722,30819.99349,34461.70878,36570.72037,41023.75486,49679.18053,42810.33166,52134.30885,62596.43217,68044.71482,68158.57974,62513.41122,56710.44572,49875.56514,53936.14025,57207.87151,54941.43418,51720.37076,60443.10916,
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,24625.60072,24558.76368,26527.59309,32294.04886,36889.23351,38417.45779,40669.32696,46915.3374,51919.98358,48153.32402,46903.76159,51442.27625,48564.91734,50731.12725,51786.37717,44195.81759,45307.58786,47429.15846,51466.55656,50070.40335,48809.22688,53637.70571,
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,655.1199452,703.6838434,763.080638,883.7339715,1045.009379,1578.40239,2473.081819,3851.437869,5574.603802,4950.294791,5843.533768,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4147.089716,4739.84171,4805.753718,4229.910649,5387.997975,
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,138.0046172,135.6064758,124.1392972,114.3670072,128.5384225,151.1885364,166.2762376,170.7068737,194.7106401,204.5447501,222.6605892,236.4513537,238.2059494,241.5476708,257.8185519,289.3596333,242.0656705,243.1358094,231.4464765,216.9729681,216.8267413,221.4776762,
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,23098.88651,23015.07126,25006.1914,30655.20927,35429.40779,36809.70134,38705.1068,44319.16545,48303.39796,44760.29124,44184.94635,47410.56693,44670.56068,46757.95186,47764.07151,41008.29672,42012.62272,44198.48239,47544.98115,46638.68131,45517.79493,51247.01435,
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,502.9979648,508.3474429,564.3790796,698.4088086,784.1191226,805.9046287,837.1320425,944.6432077,1098.94678,1061.718411,1009.489494,1099.414311,1112.569535,1214.295566,1251.504765,1041.652523,1049.820303,1095.274459,1194.438214,1170.965533,1237.949295,1319.154995,
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,249.8020676,260.4434706,286.753726,363.8183683,405.451301,442.9443995,457.3420967,516.7503479,621.890329,603.8775751,627.2703475,727.6125147,733.9729342,762.3038171,767.3713907,632.1266837,665.7863455,711.1846047,779.2027097,772.1668949,833.2443426,893.0771558,
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,413.1001853,410.0485409,407.9629676,440.7144048,469.1164584,492.8086489,503.5383322,552.3389345,630.1089792,698.5210262,776.8595769,856.3815861,876.8175451,973.7733926,1108.5151,1236.00506,1659.961605,1815.609426,1963.411855,2122.078851,2233.305524,2457.92488,
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,1621.243018,1770.913534,2092.957694,2719.497508,3389.706802,3899.907721,4523.050833,5888.776852,7271.395837,6988.23342,6853.002854,7849.165283,7432.478766,7681.93462,7901.785876,7074.681023,7569.478815,8366.293221,9446.717094,9879.334343,10129.81296,12221.49661,
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,12738.77412,12291.83261,12819.99594,14230.29675,15777.96364,17705.23516,19057.7989,20883.54803,23155.82145,19448.18326,21186.81433,23741.55746,25102.72635,25790.73031,25464.7601,22795.44886,22867.18112,24349.90987,25415.84662,25869.11291,23501.91946,26562.96914,
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,24849.60648,25234.14415,26590.14018,26204.8805,26393.41395,28280.87084,28829.84938,29687.86522,29013.63029,27120.69055,27046.65767,26644.92658,28059.6554,27389.60197,28720.66219,30206.24043,29887.16488,30969.8762,31738.26716,32610.48505,23862.71099,27478.38963,
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,1332.122365,1382.80542,1602.695144,2031.322775,2451.821681,2741.118519,3170.11785,3936.940013,4846.776421,4542.282637,4507.054433,4981.035681,4688.376623,5025.074597,5196.8608,4599.901029,4858.775926,5255.807058,5936.101502,6011.370671,6012.062767,7143.310548,
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,1276.288034,1244.373185,1479.314583,1819.766059,2378.623286,3125.810535,3847.434124,4735.657608,6377.369732,5352.583912,6033.686239,6527.173869,6953.132515,7998.125239,8341.399679,5967.052204,5039.681886,5785.670673,6360.062473,6837.717826,6542.797491,7302.257794,
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,4642.147035,4687.625957,4816.650846,4916.703914,5106.053034,5212.661614,5475.72291,5707.113365,5656.408361,5348.997839,5397.291575,5521.366276,5645.895822,5887.933435,6068.088609,6142.478833,6148.706961,6100.994681,6059.162553,6210.565543,5266.87616,6228.267309,
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,95221.85887,104287.3875,106935.4863,101407.764,101875.2841,97774.16207,98431.86518,99471.6389,98467.68399,102005.6256,106885.8785,111820.5815,113050.7369,116153.1661,107791.8864,114090.3283,
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,977.336056,930.8780795,888.198576,892.3514969,951.9516229,1018.308928,1200.070588,1351.042925,1687.583393,1725.146286,1922.049531,2304.969835,2562.466784,2853.797162,3022.462884,2975.648811,3013.502708,3280.008213,3471.006951,3472.380831,3068.812555,3345.196589,
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,3726.81142,3142.277935,2824.679625,3056.624967,3623.247996,4773.248944,5866.096224,7323.033629,8801.599484,8570.022562,11249.46454,13200.78508,12327.31744,12258.50317,12071.15821,8783.225984,8680.768792,9896.684783,9121.083403,8845.259118,6794.489159,7507.160971,
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,11560.2459,11510.04043,11658.62904,11998.17569,12828.43895,14173.75138,15595.63946,17219.04868,17550.66334,16310.46053,16489.79582,16907.20926,16691.33264,16893.60627,16924.19034,16990.21947,17343.72544,17843.19793,18224.89059,19002.96238,16643.80658,17225.4623,
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,17971.50658,16437.63304,16817.12616,18521.1854,21839.62541,25991.16716,30768.39285,32337.31729,37426.66854,27496.96085,34609.94043,46139.58441,46842.96026,43948.85117,41037.07265,30681.67944,26762.94565,28186.80303,31241.45396,30748.73749,27179.41199,31449.07656,
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,722.8525714,764.951103,841.3718347,951.8062703,1050.051242,1201.432967,1299.631488,1714.032453,1780.111536,1768.744739,2194.126452,2491.271677,2470.073677,2409.441856,2589.899754,2695.638773,2879.547121,3240.704766,3210.706269,3303.964211,3009.924171,3266.364905,
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,3351.696517,3115.679,3029.784532,4111.738085,4818.213103,5240.316159,5142.913834,5372.340732,5345.815863,4938.278893,6041.754284,7080.812813,6393.008265,6436.60945,6844.020288,5869.732943,6411.527159,6705.351862,6947.800812,6679.167674,5863.203241,6805.221274,
