
,Gross Domestic Product,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gross Domestic Product, Nominal, Domestic Currency",,,,,,,,,,,,,,,,,,,,,,,,,

,Source: International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,

,Country,Scale,Base Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,"Afghanistan, Islamic Rep. of",Millions,,...,...,"178,756.00","220,013.00","246,210.00","304,926.00","345,817.00","427,495.00","517,509.00","607,227.00","711,759.00","836,222.00","1,033,590.00","1,116,830.00","1,183,040.00","1,226,570.00","1,222,920.00","1,285,460.00","1,327,690.00","1,469,600.00","1,547,290.00","1,232,858.30",...
,Albania,Millions,,...,...,...,...,...,...,...,...,"1,080,675.93","1,143,936.46","1,239,644.58","1,300,624.08","1,332,810.99","1,350,052.64","1,395,304.63","1,434,306.51","1,472,479.13","1,550,645.49","1,636,731.32","1,691,903.43","1,644,077.27","1,889,839.12",...
,Algeria,Millions,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"20,393,524.41","20,500,200.00","18,477,000.00","22,079,300.00",...
,"Andorra, Principality of",Millions,,"1,551.09","1,728.69","1,865.83","2,092.49","2,331.57","2,540.88","2,755.13","2,887.77","2,789.26","2,644.84","2,602.31","2,607.22","2,481.85","2,404.54","2,462.69","2,514.51","2,616.86","2,655.76","2,725.27","2,818.42","2,531.09","2,815.42",...
,Angola,Millions,,...,...,"665,385.00","1,328,940.00","1,967,570.00","3,222,350.00","4,209,762.00","5,006,335.00","6,643,353.00","5,577,340.74","7,701,651.48","10,500,941.84","12,224,949.83","13,195,003.55","14,323,859.00","13,950,290.85","16,549,600.00","20,262,300.00","25,627,742.12","30,330,429.40","33,063,020.24","46,696,955.73",...
,Anguilla,Millions,,405.64,418.31,425.60,460.91,542.98,618.29,765.39,959.25,957.76,763.05,722.88,784.59,756.30,760.87,840.54,892.44,864.82,767.38,865.31,"1,024.88",697.79,719.46,...
,Antigua and Barbuda,Millions,,"2,231.20","2,161.30","2,198.83","2,312.27","2,483.27","2,762.00","3,125.69","3,544.45","3,699.19","3,316.49","3,101.49","3,071.62","3,239.86","3,189.91","3,374.28","3,609.07","3,878.78","3,963.54","4,336.05","4,556.34","3,699.70","3,972.00",...
,Argentina,Millions,,...,...,...,...,"485,115.20","582,538.20","715,904.30","896,980.20","1,149,646.10","1,247,929.30","1,661,720.90","2,179,024.10","2,637,913.80","3,348,308.50","4,579,086.40","5,954,510.90","8,228,159.60","10,660,228.50","14,744,810.70","21,558,444.10","27,195,699.00","46,282,066.00","82,650,239.90"
,"Armenia, Rep. of",Millions,,"1,031,338.30","1,175,876.80","1,362,471.70","1,624,642.70","1,907,945.43","2,242,880.90","2,656,189.80","3,149,283.40","3,568,227.60","3,141,651.00","3,460,202.70","3,777,945.60","4,266,460.50","4,555,638.20","4,828,626.30","5,043,633.22","5,067,293.50","5,564,493.30","6,017,035.20","6,543,321.80","6,181,902.60","6,982,962.50","8,496,777.90"
,"Aruba, Kingdom of the Netherlands",Millions,,...,...,...,...,...,...,...,...,...,...,...,...,...,"4,883.00","4,996.00","5,304.00","5,341.00","5,535.00","5,732.00","6,030.46","4,672.02","5,595.61",...
,Australia,Millions,,"687,197.00","730,429.00","782,561.00","830,316.00","894,720.00","964,355.00","1,039,552.00","1,133,328.00","1,236,386.00","1,263,580.00","1,366,000.00","1,468,681.00","1,515,293.00","1,568,772.00","1,613,229.00","1,638,255.00","1,699,519.00","1,802,279.00","1,895,554.00","1,993,686.00","1,972,908.00","2,191,001.00","2,451,025.00"
,Austria,Millions,,"213,606.48","220,525.08","226,735.22","231,862.46","242,348.26","254,075.03","267,824.45","283,977.97","293,761.91","288,044.02","295,896.64","310,128.66","318,653.04","323,910.20","333,146.07","344,269.23","357,607.95","369,361.87","385,274.09","397,169.54","381,042.48","406,148.67","447,652.70"
,"Azerbaijan, Rep. of",Millions,,...,"5,315.60","6,062.50","7,146.50","8,530.20","12,522.50","18,746.20","28,360.50","40,137.20","35,601.50","42,465.00","52,082.00","54,743.70","58,182.00","59,014.10","54,380.00","60,425.20","70,337.80","80,092.00","81,896.20","72,578.10","93,203.20","133,825.80"
,"Bahamas, The",Millions,,"8,076.47","8,317.83","8,881.16","8,870.09","9,055.29","9,836.20","10,167.25","10,618.34","10,526.00","9,981.96","10,095.76","10,070.45","10,720.50","10,562.75","11,176.06","11,861.86","11,834.56","12,357.63","12,755.77","13,192.76","9,699.51","11,208.57",...
,"Bahrain, Kingdom of",Millions,,"3,407.65","3,375.05","3,607.16","4,164.13","4,944.46","6,004.24","6,957.79","8,170.48","9,667.00","8,625.00","9,668.00","10,820.00","11,562.00","12,235.00","12,554.00","11,675.00","12,120.00","13,338.00","14,214.00","14,534.00","13,056.00","14,615.00",...
,Bangladesh,Millions,,"3,216,437.00","3,489,966.00","3,764,807.00","4,172,574.00","4,591,529.00","5,115,978.00","5,777,980.00","6,586,128.00","7,531,067.00","8,446,153.00","9,553,827.00","10,970,839.00","12,640,431.00","14,362,061.00","16,096,052.00","18,157,997.00","20,758,212.00","23,243,073.00","26,392,479.00","29,514,288.00","31,704,694.00","35,301,848.00",...
,Barbados,Millions,,...,...,...,...,...,...,"8,434.90","9,348.01","9,569.85","8,931.31","9,059.86","9,315.40","9,220.19","9,354.50","9,392.69","9,449.38","9,665.62","9,963.18","10,194.57","10,648.53","9,343.56","9,687.63",...
,"Belarus, Rep. of",Millions,,913.38,"1,717.32","2,613.83","3,656.48","4,999.18","6,506.71","7,926.70","9,716.53","12,979.08","13,744.22","17,046.58","30,724.50","54,761.67","67,068.85","80,579.27","89,909.81","94,949.00","105,748.20","122,319.70","134,732.10","149,720.80","176,879.00",...
,Belgium,Millions,,"256,376.40","264,334.90","273,255.90","281,200.20","296,819.70","310,037.60","325,151.50","343,618.90","351,743.10","346,472.80","363,140.10","375,967.80","386,174.70","392,880.00","403,003.30","416,701.40","430,085.30","445,050.10","460,050.80","478,645.00","459,826.30","502,311.60","552,446.40"
,Belize,Millions,,"2,232.02","2,326.45","2,465.52","2,596.19","2,779.42","2,923.08","3,161.96","3,392.23","3,458.19","3,361.39","3,477.36","3,639.08","3,806.47","4,059.13","4,275.93","4,420.85","4,516.86","4,572.44","4,630.06","4,833.30","4,160.32","4,983.35",...
