
,Government Finance selected indicators,,,,,,,,,,,,,,,,,,,,,,,,,
,Error during exception handling: Attempting to throw non-initialized exception,,,,,,,,,,,,,,,,,,,,,,,,,

,Source: International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,

,Country,Scale,Base Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,Angola,Millions,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,809,156.36",...,...,...,...,...,...
,Australia,Millions,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"904,278.00","842,676.00","859,396.00"
,Benin,Millions,,...,...,...,...,...,...,"335,743.63","345,180.68","419,127.75","442,622.52","459,011.49","457,660.57","534,669.80","577,475.59",...,...,...,...,...,...,...,...,...
,Brazil,Millions,,...,...,...,...,...,...,"731,558.37","783,758.93","923,179.33","974,128.54","1,141,058.65","1,309,021.52","1,413,780.38","1,563,282.76","1,761,919.59","2,109,326.72","2,172,627.01","2,220,466.49","2,354,354.14","2,408,128.87","2,754,539.30","2,759,035.77","3,273,120.57"
,Burkina Faso,Millions,,...,...,...,...,"237,591.86","332,163.71","387,266.55","450,279.43","350,260.66","499,074.56","529,961.17","628,253.94","828,665.71","818,972.13","886,632.19","923,205.71","1,118,749.16","1,514,419.88","1,533,155.74","1,711,309.19","1,752,672.35","1,985,821.44",...
,Burundi,Millions,,...,...,...,...,...,...,...,...,...,...,"538,554.28","601,127.33","711,405.20","713,524.15",...,...,...,...,...,...,...,...,...
,Cambodia,Millions,,...,...,...,...,...,...,"2,563,161.12","2,443,085.57","3,953,673.45","3,843,785.59","4,283,206.82","4,742,054.69","6,637,398.06","7,246,458.05","8,397,697.71","8,838,262.88","10,538,002.15","12,626,163.26","14,453,940.70","17,356,853.99","19,465,124.63","20,386,125.09","17,921,635.19"
,Canada,Millions,,"184,810.00","186,724.00","188,267.00","197,501.00","207,983.00","215,794.00","222,346.00","237,098.00","244,548.00","266,685.00","269,812.00","272,479.00","270,289.00","273,543.00","275,737.00","285,367.00","303,184.00","317,490.00","334,947.00","361,345.00","605,509.00","462,608.00",...
,Chile,Millions,,...,...,...,...,...,"10,977,920.00","12,119,970.00","13,582,940.00","16,382,810.00","19,507,700.00","21,310,676.57","22,558,231.40","24,756,948.24","26,481,563.65","29,310,461.31","32,977,850.16","35,942,308.19","38,642,015.46","41,195,194.35","44,018,707.14","51,058,182.11","72,052,951.33","61,719,762.23"
,Dominican Rep.,Millions,,...,...,...,...,...,...,...,...,"409,428.09","247,614.29","258,353.87","276,430.01",...,...,"437,924.85","463,857.49","530,804.20","592,100.97","635,364.88","694,466.26","927,547.38","922,345.88",...
,El Salvador,Millions,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"4,262.30","4,162.40","4,338.40","4,777.70","4,994.12","5,367.50","7,290.40",...,...
,Honduras,Millions,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"81,233.80","100,563.80","106,382.32",...,...,...,...
,Indonesia,Millions,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,671,500,206.92","1,844,507,121.30","1,943,213,131.73","2,191,863,710.74","2,294,894,382.04","2,550,639,362.97",...,...
