,,,,,,,,,,,,,,,,,,,,,,,,,,
,Government Finance selected indicators,,,,,,,,,,,,,,,,,,,,,,,,,
,Error during exception handling: Attempting to throw non-initialized exception,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country,Scale,Base Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,Angola,Millions,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,578,381.40",...,...,...,...,...,...
,Australia,Millions,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"680,401.00","774,330.00","868,517.00"
,Benin,Millions,,...,...,...,...,...,...,"459,869.20","623,746.03","609,086.54","631,956.32","648,375.47","676,747.22","701,455.22","803,048.35",...,...,...,...,...,...,...,...,...
,Brazil,Millions,,...,...,...,...,...,...,"670,780.88","765,579.02","899,153.98","863,443.09","1,057,627.15","1,192,865.94","1,327,589.83","1,419,236.75","1,459,556.09","1,622,024.23","1,719,882.00","1,694,878.41","1,867,916.61","1,997,163.14","1,786,476.19","2,321,457.53","2,823,200.22"
,Burkina Faso,Millions,,...,...,...,...,"462,116.59","496,321.12","561,276.41","650,390.89","630,744.77","771,519.73","880,218.92","1,047,286.11","1,276,314.87","1,441,634.78","1,321,138.71","1,277,686.31","1,410,670.03","1,554,593.35","1,699,881.26","1,882,136.94","1,937,620.93","2,232,761.54",...
,Burundi,Millions,,...,...,...,...,...,...,...,...,...,...,"687,893.41","761,327.96","1,047,062.30","1,074,495.69",...,...,...,...,...,...,...,...,...
,Cambodia,Millions,,...,...,...,...,...,...,"3,398,544.43","4,532,237.59","6,510,301.91","5,356,692.38","6,507,212.91","6,512,306.87","9,230,986.81","10,972,537.39","12,908,583.91","13,589,224.81","16,102,389.37","18,332,978.79","21,956,884.98","27,269,838.35","23,153,008.30","21,770,208.80","25,044,368.08"
,Canada,Millions,,"203,022.00","195,101.00","198,478.00","202,344.00","213,605.00","223,421.00","236,252.00","249,208.00","236,680.00","225,762.00","233,023.00","248,715.00","253,215.00","269,398.00","275,518.00","291,499.00","295,381.00","319,991.00","339,813.00","339,831.00","357,918.00","386,329.00",...
,Chile,Millions,,...,...,...,...,...,"15,270,780.00","19,338,150.00","22,784,070.00","22,353,080.00","17,709,900.00","23,352,446.47","26,941,550.82","28,099,928.45","28,244,220.19","30,169,190.14","33,196,352.73","34,711,243.33","37,250,682.71","41,225,205.27","41,777,470.96","40,134,874.23","57,871,037.62","68,622,533.78"
,Dominican Rep.,Millions,,...,...,...,...,...,...,...,...,"250,473.27","230,884.78","259,571.98","285,784.11",...,...,"416,822.72","533,682.75","483,729.56","531,482.06","601,119.70","656,782.69","632,252.30","841,184.73",...
,El Salvador,Millions,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"4,112.50","4,095.50","4,385.80","4,742.20","4,977.01","5,143.10","4,819.10",...,...
,Honduras,Millions,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"98,588.20","109,271.73","115,485.04",...,...,...,...
