Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/1/2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,19950000,5370000,16860000,87220000,190000,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,120420000,394850000,1037270000,1126570000,1683040000,1660610000,2014760000,4327230000,4025750000,5103830000,5426350000,5868610000,5719720000,4332480000,4335020000,3847870000,3665120000,3532840000,3532950000,3961870000,3583180000,
Africa Western and Central,AFW,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,206040000,213430000,335560000,412470000,364870000,303260000,294650000,314280000,279980000,173630000,201610000,168930000,176670000,186800000,166820000,139710000,162470000,174260000,141690000,129720000,120510000,
Albania,ALB,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,161500000,137320000,106090000,112470000,111310000,150230000,150360000,147830000,193080000,172980000,161950000,166440000,148380000,143560000,168370000,113400000,137340000,130230000,182420000,148480000,210380000,
Andorra,AND,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,170000,280000,360000,450000,950000,,,,,,,,,,,,,,,,,
Argentina,ARG,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,38190000,33170000,60600000,41550000,32890000,25230000,42980000,61550000,65650000,56180000,36520000,68830000,40220000,33880000,31190000,32150000,35170000,30140000,32320000,39460000,45830000,
Armenia,ARM,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,61390000,43490000,72190000,55840000,65620000,66100000,58260000,128710000,133720000,136280000,159090000,237400000,127500000,122910000,109280000,112740000,132280000,77840000,96480000,91320000,171990000,
American Samoa,ASM,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,3260000,4060000,8980000,2500000,2230000,7670000,3520000,5340000,4100000,1540000,19420000,15150000,1100000,2090000,2670000,2250000,7020000,10490000,3910000,22960000,18390000,
Australia,AUS,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,51950000,49760000,67580000,54780000,59900000,81090000,59590000,108370000,106980000,92710000,86870000,106450000,89670000,106280000,102620000,62380000,54890000,53130000,48460000,44790000,25180000,
Burundi,BDI,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,59520000,134350000,128250000,172620000,258820000,292650000,352500000,441780000,434280000,832220000,521540000,474170000,426940000,463170000,395900000,325890000,719290000,430990000,444990000,535330000,474750000,
Belgium,BEL,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,151610000,151990000,142770000,204750000,333370000,223730000,1359440000,298950000,411320000,482880000,457510000,532840000,353220000,340320000,350960000,239500000,293940000,430170000,341730000,447270000,616000000,
Burkina Faso,BFA,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,217490000,225330000,258710000,369210000,419820000,440350000,1873560000,643160000,646050000,735350000,752730000,766100000,882400000,910670000,945760000,714870000,702990000,676760000,889440000,815080000,1191010000,
Bangladesh,BGD,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,594920000,600880000,537160000,479500000,823940000,640300000,821380000,937680000,1740740000,908570000,1093110000,1121500000,1103570000,1348300000,1122680000,980140000,946640000,1143480000,1333560000,1525450000,1588610000,
Bulgaria,BGR,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,125990000,174010000,160930000,210800000,391730000,,,,,,,,,,,,,,,,,
Bahrain,BHR,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,22120000,60320000,1430000,54970000,8660000,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,2170000,790000,280000,900000,1720000,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,571370000,432120000,325660000,318150000,291490000,278890000,300650000,424200000,271650000,210710000,232500000,215220000,230380000,263550000,332440000,259350000,198500000,252030000,230570000,290110000,289750000,
Belarus,BLR,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,23210000,23750000,19080000,18830000,24410000,32360000,43440000,60810000,81500000,70640000,103090000,89330000,76800000,72950000,74820000,55860000,56900000,52710000,55420000,54650000,82650000,
Belize,BLZ,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,12650000,24320000,11130000,9850000,5730000,8920000,8800000,15100000,18210000,15350000,20210000,16770000,21510000,36590000,30100000,21110000,24940000,17160000,17500000,37620000,42110000,
Bermuda,BMU,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,60000,20000,20000,30000,90000,,,,,,,,,,,,,,,,,
