Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/1/2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1582860335,1694832402,1754430168,1876402235,4344301676,5528813426,5647605676,6386815642,7000446927,3293966480,2259720670,7046201117,3020670391,2471623248,2409823860,2306305828,2198156464,2267080085,2543765087,2488068336,1790058122,2108922689
Africa Eastern and Southern,AFE,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,79853724036,80379536511,82770956043,1.04383E+11,1.34087E+11,1.64317E+11,1.97153E+11,2.46161E+11,3.00636E+11,2.48348E+11,2.93882E+11,3.46213E+11,3.58687E+11,3.75082E+11,3.77956E+11,3.26225E+11,2.91226E+11,3.19473E+11,3.44118E+11,3.30921E+11,2.72566E+11,3.3785E+11
Afghanistan,AFG,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,,,,,,,,,3873396518,4194029283,5923973939,7360392804,9891159037,10184330518,8441107577,8569286770,7387764647,8007677288,8086339277,7416724393,7034026744,
Africa Western and Central,AFW,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,41618048546,47067277020,48306418535,60470719353,64177492730,84853951124,98941901277,1.31871E+11,1.66934E+11,1.43158E+11,1.80846E+11,2.23753E+11,2.18593E+11,2.22284E+11,2.26046E+11,1.93423E+11,1.57914E+11,1.74036E+11,2.13785E+11,2.53347E+11,2.05058E+11,2.07956E+11
Angola,AGO,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,7454210000,8281270000,8734464802,10539996160,13156086146,19200860209,22611733343,34526294540,57261377695,48783824988,43642118667,53805471322,56529763172,60111411121,63033383446,44042657940,31271502806,36001581968,34165372004,30508228605,20605633410,24983956644
Albania,ALB,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1359600000,1608700000,1848090000,2290296334,2921069546,3552961515,4142215603,5429247206,7146688209,6598438373,6279139430,7007740981,6185327536,6159382112,6562951491,5351583368,5700813019,6549610684,7334165155,7597487229,6307664724,8723882622
Andorra,AND,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,2296974748,1899975031,
Arab World,ARB,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,3.23651E+11,3.16199E+11,3.2704E+11,3.68017E+11,4.54987E+11,5.58662E+11,6.55199E+11,8.09062E+11,1.01931E+12,9.13934E+11,9.93228E+11,1.08676E+12,1.21971E+12,1.29598E+12,1.35719E+12,1.20468E+12,1.08512E+12,1.14753E+12,1.24661E+12,1.28152E+12,1.04963E+12,1.20322E+12
United Arab Emirates,ARE,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,48036724583,40679614586,23867070000,29804090000,40827220000,46414160000,54669095827,67771052886,82901868929,63532822515,86092220688,1.06727E+11,99396394105,1.05893E+11,95112247276,91086748084,90436820509,1.09708E+11,1.11749E+11,90634223384,66503592866,84660646726
Armenia,ARM,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1030659259,1123379893,1261235746,1602744850,2008567017,2520290988,3035898215,4334334440,5513086609,4442602404,5127970681,5623304800,5823562500,6053636513,6177955731,4876717430,5071907002,6265806862,7389479215,8362798998,5738659207,7005975523
American Samoa,ASM,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,558501925.9,530043333.3,523974814.8,582057875.9,648961137,742719443.7,891863890.4,1010828403,1029399106,770403173.7,721555325.2,691340992.2,749227458.9,774668917.4,999596392.5,958640257.6,1039071814,1062695837,1235431987,1301045315,796791798,932540525.6
Australia,AUS,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1.09438E+11,99008262177,1.10701E+11,1.3581E+11,1.72787E+11,2.00188E+11,2.28877E+11,2.84956E+11,3.29131E+11,2.7424E+11,3.43407E+11,4.14331E+11,4.21843E+11,4.05877E+11,3.89283E+11,3.38644E+11,3.30844E+11,3.74434E+11,4.05589E+11,3.83983E+11,3.0848E+11,3.86454E+11
Austria,AUT,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,,,,,,1.76831E+11,1.95872E+11,2.39666E+11,2.59698E+11,2.08863E+11,2.22176E+11,2.67775E+11,2.50916E+11,2.43172E+11,2.51643E+11,2.09825E+11,2.23567E+11,2.44222E+11,2.7306E+11,2.65607E+11,2.38018E+11,3.00535E+11
Azerbaijan,AZE,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2414879000,2538585000,3531004000,5245905000,6966306000,8657887000,10853054000,14669133000,17081877000,13857507000,14379007000,21585967000,22811490000,24649800000,23974276000,21732523000,19919961000,20149623000,21795599000,21362941884,17849644000,19471426000
Burundi,BDI,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,164938668.5,162146877.2,159969093,193831445.9,252537106,343930060.2,460368593.1,450808917.1,609427331,538015370.4,618738761.9,790272202,943255316.6,925929771.5,945189363.3,849622944.1,753720198.7,898725224.8,915940199.2,,,
Belgium,BEL,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,,,2.1624E+11,2.41586E+11,2.92503E+11,3.30119E+11,3.67756E+11,4.48377E+11,5.17467E+11,4.12811E+11,4.49056E+11,5.13394E+11,4.81084E+11,4.94455E+11,5.07229E+11,4.13731E+11,4.36648E+11,4.72993E+11,5.24442E+11,5.06032E+11,4.62565E+11,5.72921E+11
Benin,BEN,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,745324774,781412851.6,938736303.6,1136065880,1191166503,1188232837,1453292036,2191306127,2465885421,2319045825,2395086383,2426439119,2746035441,3578985941,4382636103,3655631658,3864119217,4168474700,4830550973,4501397298,4275566574,
Burkina Faso,BFA,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,,,,,,1452824752,1512751217,1769530577,2451450445,2042905455,2657458060,3622856188,4055329146,5066168588,4848055624,4269063025,4635595631,5220392017,5886213677,5748895181,5582825548,
Bangladesh,BGD,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,10017946103,10016843464,9441855806,11431227765,13446206767,15615940998,17801946033,20765264113,26378962125,24507328508,31034874410,39552695274,39740482109,44208435662,47985052372,48297626956,50948491328,59268104068,67710074715,66963788016,59835136507,88054177209
Bulgaria,BGR,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,8314040321,9256385697,9333156796,13039875488,18074204720,22034227129,28679869784,39908630585,45095815528,29965751820,29108010000,36960560000,36831180000,39619400000,39585650000,35410020000,35872160000,41387550000,46430670000,46231300000,42654990000,55571050000
Bahrain,BHR,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,11683577404,8910768074,7827685023,7964617024,11289503708,15715080777,19577625770,23298615131,24288007970,15433948837,16936048918,24470478723,28801588371,31599283820,30317581431,26272891263,25147606383,27978750000,31681382979,,,
"Bahamas, The",BHS,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,3465880000,3160800000,3057267336,3082530000,3359180000,3942895405,4714760000,4889382197,4800590058,3941715000,4046241000,4549513000,5240413000,5171307000,5565312120,4678882435,4952854182,5330084965,5840008035,5475951630,3885882473,5690141408
Bosnia and Herzegovina,BIH,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4233747803,4454105663,4851943473,6141070241,7258686501,8102600537,8486257450,9572822742,11932317997,8843094165,9111199364,10931320923,10040398878,10197416967,11009144141,9138298792,9464042084,11084695243,12293052059,11875922570,10352340384,13682930804
Belarus,BLR,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,7687300000,8542800000,9174200000,11686000000,16629300000,17410800000,23407700000,30331300000,42006900000,31224400000,38401700000,49812500000,51441900000,49930400000,47106500000,35770700000,32822900000,39421300000,44668300000,45417700000,38692300000,48923454075
Belize,BLZ,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,650070518.5,663851783.2,692035812.9,746399519,733232368,824213312.1,885415139.5,968793426.6,1128919070,894994611.3,971730314.5,1052210166,1148414700,1207738672,1301259087,1285363604,1247609694,1266107488,1309875617,1376654760,968044413.1,1339369842
Bermuda,BMU,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,,,,,,,2279010000,2792183991,2774046913,2419673843,2316834768,2151149718,2055398066,2731517415,2257674245,2086643114,2230728287,2336202289,2478381736,2634531065,1992960735,2106886908
Bolivia,BOL,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2442844000,2311969800,2379915000,2421803169,2791557490,3362182546,4089585618,4999477983,6660923421,6062230000,7126195498,9899628536,11689614873,13139172258,14715527631,13145353349,11547819331,13052747862,13548295193,12936185063,8793891826,11913383535
