,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Rates selected indicators,,,,,,,,,,,,,,,,,,,,,,,,,
,Error during exception handling: Attempting to throw non-initialized exception,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country,Scale,Base Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,Albania,Units,,10.80,7.72,9.49,8.81,6.79,5.52,5.49,5.93,6.24,6.27,5.83,5.46,5.15,4.21,3.12,2.74,1.06,1.22,1.31,...,0.97,1.05,1.81
,Algeria,Units,,9.80,5.85,2.86,1.67,0.87,0.75,2.14,0.96,0.33,0.71,0.31,0.21,0.49,0.25,0.29,0.50,1.20,1.75,2.36,2.90,3.00,3.00,2.99
,Angola,Units,,...,...,...,...,52.18,31.63,7.86,...,...,...,10.82,6.93,3.45,3.06,4.28,7.20,15.09,16.35,13.13,13.08,16.50,19.37,10.35
,Antigua and Barbuda,Units,,7.00,7.00,7.00,7.00,7.00,7.00,6.52,6.33,6.02,6.38,6.25,6.50,6.13,6.00,6.00,5.00,4.61,2.67,1.98,...,...,...,...
,"Armenia, Rep. of",Units,,...,20.59,14.75,11.91,5.27,4.05,4.87,6.09,7.69,9.42,10.59,9.53,9.80,9.30,7.80,12.90,9.83,6.73,6.22,6.04,5.82,7.80,10.59
,Australia,Units,,5.98,4.80,4.45,...,...,...,...,...,...,3.15,4.44,4.56,3.49,2.83,...,...,...,...,...,...,...,...,...
,"Azerbaijan, Rep. of",Units,,16.73,16.51,14.12,8.00,4.62,7.52,10.04,10.64,10.45,3.31,1.83,2.28,2.43,1.89,1.89,...,12.96,14.33,...,...,...,...,...
,"Bahamas, The",Units,,1.03,1.94,2.50,1.78,0.56,0.14,0.87,2.66,2.73,2.62,2.28,1.25,0.24,0.30,0.53,0.68,1.64,1.83,1.69,1.61,1.80,2.58,2.86
,"Bahrain, Kingdom of",Units,,6.56,3.78,1.75,1.13,1.56,3.57,5.04,4.86,2.53,1.06,0.83,0.96,1.21,0.85,0.79,...,...,...,...,...,...,...,...
,Bangladesh,Units,,...,...,...,...,...,...,7.52,7.61,7.76,6.29,4.50,3.88,10.77,8.67,7.18,5.76,3.39,3.35,2.37,5.72,4.77,1.32,5.03
,Barbados,Units,,5.29,3.14,2.10,1.41,1.20,4.62,5.96,5.65,4.20,3.76,3.30,3.41,3.50,3.40,3.20,2.82,3.31,3.30,3.13,0.50,0.50,0.50,0.50
,Belgium,Units,,4.02,4.16,3.17,2.23,1.97,2.02,2.73,3.80,3.63,0.58,0.32,0.78,0.07,0.02,0.02,-0.24,-0.59,-0.66,...,...,...,...,...
