,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Rates selected indicators,,,,,,,,,,,,,,,,,,,,,,,,,
,Error during exception handling: Attempting to throw non-initialized exception,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country,Scale,Base Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,"Afghanistan, Islamic Rep. of",Units,,...,...,...,...,...,...,3.49,4.65,4.57,4.27,3.49,4.13,3.33,2.40,1.86,1.94,1.87,1.28,0.82,0.74,1.21,...,...
,Anguilla,Units,,...,...,...,4.65,2.80,2.83,2.54,2.54,2.53,2.15,1.62,2.02,2.52,2.65,2.53,2.39,2.74,2.90,2.91,3.00,3.00,3.00,3.19
,Antigua and Barbuda,Units,,...,...,...,6.98,4.77,5.14,4.45,3.89,4.07,4.55,4.95,4.30,4.61,3.72,3.56,2.91,0.45,0.20,0.21,0.66,0.21,0.17,0.13
,Argentina,Units,,...,...,...,...,...,...,...,...,...,...,0.06,0.05,0.06,0.06,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.02,0.02
,Bolivia,Units,,4.76,2.68,1.10,0.73,0.57,0.55,1.16,1.31,2.78,1.37,0.20,0.13,0.10,0.07,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
,"Croatia, Rep. of",Units,,1.32,0.83,0.58,0.36,0.31,0.28,0.26,0.25,0.25,0.19,0.19,0.19,0.18,0.17,0.15,...,...,...,...,...,...,...,...
,Dominica,Units,,...,...,...,3.13,1.59,1.77,1.76,2.42,2.74,1.09,0.82,0.93,0.90,0.90,0.90,0.94,0.97,0.95,0.92,0.95,0.98,0.99,0.98
,Dominican Rep.,Units,,4.16,4.00,3.81,3.83,2.87,2.05,1.55,1.50,1.56,0.63,0.50,0.46,0.40,0.30,0.34,0.51,0.57,0.64,0.37,0.26,0.26,0.13,0.06
,Grenada,Units,,...,...,...,3.43,1.17,1.00,1.72,2.10,1.27,1.28,0.71,0.62,0.57,0.53,0.58,0.44,0.44,0.45,0.42,0.23,0.23,0.28,0.29
,Haiti,Units,,2.70,2.70,0.75,0.31,0.25,0.48,0.68,0.53,0.40,0.18,0.10,0.08,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.06,0.05,0.24,...
,Honduras,Units,,3.67,3.18,1.95,1.29,1.16,1.23,1.41,1.50,1.59,1.77,1.50,1.30,1.21,1.29,1.25,1.60,1.55,1.18,1.16,1.15,1.11,0.91,0.86
,Iraq,Units,,...,...,...,...,3.10,2.71,2.82,3.51,3.41,2.82,2.62,2.77,2.88,2.79,2.57,2.47,2.35,...,...,...,...,...,...
,Kenya,Units,,...,...,...,...,0.91,1.23,1.14,1.33,1.19,1.22,0.77,0.82,0.90,0.61,0.82,0.52,0.90,1.59,1.79,1.32,0.31,0.24,...
,Kyrgyz Rep.,Units,,7.86,7.75,5.77,5.79,5.58,5.19,5.15,5.35,5.83,7.98,7.29,6.61,6.60,5.83,5.81,5.93,4.57,4.09,3.42,3.30,2.90,2.57,...
,Maldives,Units,,...,...,...,...,2.93,2.93,2.93,2.93,2.93,2.93,2.40,2.27,2.24,2.22,2.28,2.29,2.17,2.02,2.13,2.08,1.99,1.47,1.43
,Nicaragua,Units,,5.37,5.49,4.11,3.19,2.65,2.53,2.36,2.24,2.07,1.91,1.47,1.08,1.01,0.85,0.79,0.98,0.98,0.94,1.08,1.19,0.97,0.99,1.00
,Paraguay,Units,,2.35,2.07,1.40,0.59,0.15,0.11,0.11,0.15,0.16,0.22,0.20,0.19,0.17,0.22,0.22,0.20,0.23,0.17,0.17,0.28,0.38,0.16,...
,Peru,Units,,3.47,2.48,0.80,0.65,0.59,0.59,0.59,0.77,0.87,0.58,0.36,0.34,0.29,0.26,0.23,0.19,0.17,0.18,0.21,0.20,0.16,0.14,0.14
,Philippines,Units,,2.20,2.00,1.29,0.88,0.84,0.94,1.08,1.10,0.85,0.52,0.39,0.36,0.31,0.24,0.22,0.19,0.18,0.21,0.24,0.27,0.27,...,...
,St. Kitts and Nevis,Units,,...,...,...,3.17,1.05,1.60,2.14,2.21,2.31,1.77,1.19,1.04,1.64,1.50,0.92,0.63,0.28,0.25,0.25,0.26,0.26,0.15,0.25
,Uruguay,Units,,1.46,1.02,0.88,0.64,0.45,0.51,0.44,0.24,0.24,0.21,0.19,0.10,0.10,0.08,0.07,0.08,0.06,0.09,0.09,0.09,0.18,0.20,0.20
,Eastern Caribbean Currency Union (ECCU),Units,,...,...,...,4.20,2.28,2.29,2.38,2.49,2.38,2.07,1.81,1.74,2.18,2.14,1.92,1.72,1.78,1.86,1.77,1.86,1.81,1.59,1.65
