,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Rates selected indicators,,,,,,,,,,,,,,,,,,,,,,,,,
,Error during exception handling: Attempting to throw non-initialized exception,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country,Scale,Base Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,"Afghanistan, Islamic Rep. of",Units,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.80,1.82,0.16,0.15,0.50,0.81,...,...
,Albania,Units,,...,...,8.50,6.50,5.25,5.00,5.50,6.25,6.25,5.25,5.00,4.75,4.00,3.00,2.25,1.75,1.25,1.25,1.00,1.00,0.50,0.50,2.75
,Angola,Units,,...,...,...,...,...,...,...,...,...,...,...,...,10.25,9.75,9.00,11.00,16.00,18.00,16.50,15.50,15.50,20.00,19.50
,Argentina,Units,,...,...,6.63,1.67,2.50,5.00,6.25,10.75,12.05,9.50,9.50,9.50,9.50,9.50,26.86,33.00,24.75,28.75,59.25,55.00,38.00,38.00,...
,"Armenia, Rep. of",Units,,25.00,15.00,13.50,7.00,3.75,3.50,4.75,5.75,7.25,5.00,7.25,8.00,8.00,7.75,8.50,8.75,6.25,6.00,6.00,5.50,5.25,7.75,10.75
,Australia,Units,,6.25,4.25,4.75,5.25,5.25,5.50,6.25,6.75,4.25,3.75,4.75,4.25,3.00,2.50,2.50,2.00,1.50,1.50,1.50,0.75,0.10,0.10,...
,"Azerbaijan, Rep. of",Units,,10.00,10.00,7.00,7.00,7.00,9.00,9.50,13.00,8.00,2.00,3.00,5.25,5.00,4.75,3.50,3.00,15.00,15.00,9.75,7.50,6.25,7.25,8.25
,"Bahamas, The",Units,,5.75,5.75,5.75,5.75,5.75,5.25,5.25,5.25,5.25,5.25,5.25,4.50,4.50,4.50,4.50,4.50,4.00,4.00,4.00,4.00,4.00,4.00,4.00
,"Bahrain, Kingdom of",Units,,...,...,...,...,...,...,...,4.00,0.75,0.50,0.50,0.50,0.50,0.50,0.50,0.75,1.00,...,...,...,...,...,...
,Bangladesh,Units,,7.00,6.00,6.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,4.00,4.00
,"Belarus, Rep. of",Units,,80.00,66.00,38.00,28.00,17.00,11.00,10.00,10.00,12.00,13.50,10.50,45.00,30.00,23.50,20.00,25.00,18.00,11.00,10.00,9.00,7.75,9.25,12.00
,Belize,Units,,11.00,11.00,11.00,11.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00
