,,,,,,,,,,,,,,,,,,,,,,,,,,
,International Liquidity selected indicators,,,,,,,,,,,,,,,,,,,,,,,,,
,"Total Reserves excluding Gold, US Dollars",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country,Scale,Base Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,"Afghanistan, Islamic Rep. of",Millions,,...,...,...,...,...,...,...,...,"2,430.84","3,501.37","4,174.37","5,268.34","5,982.50","6,441.93","6,680.73","6,231.78","6,476.34","7,185.84","7,305.68","7,426.98","8,419.49",...,...
,Albania,Millions,,615.65,739.90,838.78,"1,009.42","1,357.60","1,404.09","1,768.80","2,104.22","2,319.78","2,313.91","2,469.55","2,393.92","2,515.65","2,712.32","2,604.18","3,084.88","3,050.64","3,523.76","3,829.48","3,626.59","4,647.19","5,470.75","5,085.23"
,Algeria,Millions,,"12,023.90","18,081.41","23,237.50","33,125.17","43,246.38","56,303.09","77,913.74","110,317.60","143,243.00","149,040.60","162,614.49","182,821.83","191,297.10","194,712.11","179,617.72","144,677.46","114,390.74","97,614.43","80,227.70","63,297.61","48,882.05","46,054.85","61,739.38"
,Angola,Millions,,"1,198.21",731.87,375.55,634.20,"1,379.59","3,196.85","8,149.08","11,196.80","17,869.41","13,664.10","19,678.66","27,039.76","31,161.78","31,500.82","27,032.34","23,790.54","23,672.19","17,455.33","15,410.41","16,334.85","13,781.99","14,468.11","13,654.72"
,Anguilla,Millions,,20.30,24.19,26.20,33.28,34.25,39.70,41.82,44.87,41.00,37.46,39.89,37.53,40.01,41.04,47.28,48.14,55.55,76.38,65.51,58.71,52.81,56.30,75.47
,Antigua and Barbuda,Millions,,63.56,79.72,87.65,113.77,120.14,127.32,142.63,143.85,138.02,127.86,136.60,147.87,162.05,202.58,297.05,355.73,330.09,313.65,328.66,279.13,221.81,367.51,396.51
,Argentina,Millions,,"25,146.90","14,553.06","10,489.34","14,153.44","18,884.34","27,178.84","30,903.47","44,682.06","44,854.62","46,092.99","49,733.87","43,226.83","39,920.30","28,143.04","29,016.95","23,416.51","36,323.30","53,030.81","63,963.92","42,192.53","35,649.97","36,448.37","41,197.89"
,"Armenia, Rep. of",Millions,,301.96,317.22,415.58,501.98,547.76,669.48,"1,071.92","1,659.09","1,406.80","2,003.62","1,865.82","1,932.47","1,799.37","2,251.61","1,489.44","1,775.29","2,204.11","2,314.11","2,259.32","2,849.65","2,615.53","3,229.85","4,111.69"
,"Aruba, Kingdom of the Netherlands",Millions,,208.01,293.71,339.73,295.22,295.42,273.51,337.82,372.08,604.90,578.22,568.16,536.68,602.22,532.72,559.75,709.80,807.96,777.46,852.08,830.00,"1,023.47","1,330.95",...
,Australia,Millions,,"18,118.13","17,955.31","20,688.54","32,188.66","35,802.51","41,941.22","53,448.15","24,768.49","30,690.86","38,950.16","38,659.32","42,783.35","44,866.04","49,744.61","50,814.06","42,752.86","49,797.09","62,617.32","51,077.09","55,603.58","39,152.00","53,789.56","53,385.30"
,Austria,Millions,,"14,318.56","12,509.15","9,683.22","8,470.01","7,858.35","6,839.05","7,010.01","10,688.54","8,911.96","8,114.27","9,589.31","10,986.94","12,232.10","12,473.85","14,145.08","12,697.61","12,940.10","9,894.24","11,653.25","9,906.35","13,415.88","17,572.46","16,762.92"
,"Azerbaijan, Rep. of",Millions,,679.61,724.98,720.47,802.84,"1,075.08","1,177.74","2,500.37","4,273.11","6,467.24","5,363.78","6,408.97","10,273.83","11,277.24","14,400.55","14,646.56","6,291.17","5,836.46","6,680.45","6,665.91","7,042.90","7,633.63","8,307.16","11,290.11"
,"Bahamas, The",Millions,,349.64,319.25,380.65,491.11,674.40,586.30,461.33,464.48,567.91,"1,009.82","1,044.15","1,070.22",846.94,807.41,874.34,895.48,"1,001.93","1,413.97","1,345.34","1,757.78","2,382.08","2,432.72",...
,"Bahrain, Kingdom of",Millions,,"1,564.14","1,683.98","1,725.75","1,778.39","1,940.50","1,974.97","2,800.29","4,217.13","3,920.46","3,845.17","5,088.64","4,544.54","5,204.66","5,347.04","6,048.51","3,387.21","2,440.10","2,628.65","2,142.03","3,674.20","2,239.41","4,720.18","4,503.05"
