Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,1083798.883,1335195.531,1329608.939,273743.0168,1458100.559,819846.0963,1036166.002,5195530.726,6759776.536,9050279.33,4972067.039,5307262.57,4860335.196,6337950.838,7465211.173,8083713.408,52682566.15,56140340.16,36920295.45,34264018.27,34984040.42,35845637.16,38203853.35
Africa Eastern and Southern,AFE,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,2604068623,1998851127,2342595416,2880425019,3711097136,3400273865,3885943670,4637983531,5637710223,6529047868,7855156172,9436898842,9539966327,9473592326,10608587690,10991481424,10178689993,10677675760,14844760351,14398726898,13764891638,16275554662,18452758472
Afghanistan,AFG,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,0,0,0,89540435.95,140695166.3,378206657,179116561.4,219416087.5,347165291.8,253367821.6,348624717.3,627710802.4,822731630.2,803546453.8,828571904.1,788917115.2,300000000,350000000
Africa Western and Central,AFW,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,2197264227,2085343579,2286595770,2635146674,4102042871,16722662965,19409694975,21099158358,22797325933,21884173259,23801903317,27623774682,27691377000,28076823908,29072581839,31217369942,28385443648,31597258311,34559660467,32586252955,29206550132,32148770623,33988470643
Angola,AGO,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,0,0,0,82084000,162358.5,17972037,204751.1,40348853.99,36637411.34,30971119.27,11114711.6,3988048.38,1418195.84,1579247.15,3445473.468,8053050.894,12631149.32,14005491.48
Albania,ALB,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,597800000,699300000,733570000,888748582.3,1160672105,1289704316,1359467325,1468020000,1865581564,1717698012,1586574271,1552078514,1419772515,1281848114,1421007454,1290863508,1306009167,1311822432,1458210056,1472812242,1465987212,1718355918,1800000000
Andorra,AND,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,21100000,47416323.74,,
Arab World,ARB,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,11476946813,12851715142,15829429504,20315498457,23393335357,22640992845,24459749069,29515131560,33884270768,31754690365,37780646735,38944864662,45933616317,47228856825,53122149553,49328023741,48647574275,51685563033,54416712131,57002178443,59467776316,68049485256,67442786609
United Arab Emirates,ARE,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,86343658.59,189600000,206630000,273420000,311780000,432090000,540635441.9,606498926.5,705144403.4,628542376.1,644300740.1,697379575.1,577532962.1,535004409.4,505346891.7,494433532.1,391579047.7,479937459.8,522441503,561398444.7,651020615.8,911591594.1,966287089.7
Armenia,ARM,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,182160000,209240000,263890000,335860000,787519510,915231161.8,1169173063,1644375091,1904067123,1439809232,1669336819,1798624692,1914983997,2192193827,2078618315,1491475903,1382330887,1538655752,1487814908,1527937457,1327006085,1556822544,3350000000
American Samoa,ASM,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,17342962.96,23676666.67,14242166.67,16372237.04,17601625.93,18305488.89,19325720.37,20783287.04,21828402.59,20658718.89,20197666.67,20292610,20856220,21127350.74,32078216.23,31244412.26,26705675.65,24020044.35,32768265.32,36875282.11,36220490.98,45265850.4,34590023.04
Australia,AUS,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,518334052.9,486744685.8,465722534,651572145.1,824729101.2,940407766.6,1014841491,1341851616,1526025147,1334648953,1864472761,2449287569,2405316867,2442450025,2329656677,2174651380,2056844753,2001928453,1867930551,1762645595,1196628176,936423063.2,736692321.8
Austria,AUT,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,1804517334,1774000488,1985329834,2496145508,2520989014,2313507128,2517171821,2915622152,3189808743,3101681749,2983488446,3250804926,3028188699,3261505684,3239901779,2863606817,2887576591,2956934246,3022591419,2996058680,3031336929,3223701893,2700000000
Azerbaijan,AZE,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,57132000,104125000,163317000,155957000,203578000,623235000,790214000,1267735000,1518327000,1254645000,1410296000,1893080000,1990180000,1733168000,1846424000,1269964000,643148000,1133371000,1225790000,1275168755,1403087000,1526636000,2150000000
Burundi,BDI,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,41783.99491,71562.16161,11470.97177,189948.9405,3645216.677,28232147.76,34498929.51,45463176.87,46433649.09,48639473.9,56262591.43,51041087.26,31276058.24,33725358.65,48328631.78,0,0,48000000,49893022.4
Belgium,BEL,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,4004603516,3933338623,4534638939,5778136096,6562530149,6884305724,7268884910,8991846091,10479068217,11090651437,10993669270,11728548905,11171452382,11695085498,12161003266,10464912315,10786360682,11435497317,12448569091,12330095212,12850499773,13708875824,13500000000
Benin,BEN,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,85876253.12,83064161.12,76107818.02,55401177.09,63117010.27,146939347.9,195673786.1,240793733.4,207863209.4,126457222.3,139569120.5,172185775.3,207763555.2,248800533.7,304659173.4,214449579.5,221726215,195776833.9,198742396,216993145.2,204623916.5,230914333.1,208824979.6
Burkina Faso,BFA,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,67335105.9,49915523.53,58734134.67,53747390.75,44417327.88,56664819.6,67996281.78,84436174.13,99742143.2,96373875.86,120462189.1,221068018.7,209980744.4,308469520.2,396308040.7,384985616.4,397373892.5,416839243.1,455650092.2,467251841.7,524608104.8,570950968.6,588577500
Bangladesh,BGD,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,1967528858,2104551469,2858057770,3191664732,3583817228,4314502846,5427515429,6562316322,8940611606,10520653006,10850211617,12071073184,14119627034,13866954019,14987531479,15295536095,13574285886,13501933033,15566241930,18363859531,21751646479,22205503377,21503993718
Bulgaria,BGR,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,58235451.35,826200309.6,1176951497,1718485429,1722769585,1612912427,1716435981,1693553171,1918650334,1591794628,1332910000,1483190000,1448880000,1666960000,1684740000,1494740000,1665570000,2193590000,2408230000,2342370000,2059500000,1977520000,850000000
Bahrain,BHR,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,1580952511,1500016857,1495729519,1738096326,2053201662,2037731948,2148940834,2686415541,2717663874,2127033059,1822304847,1958230200,1845715377,1957987470,2107139725,1801111958,1845995097,2016872695,2262876954,2332570551,1910737573,2374467959,2466216963
Belarus,BLR,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,114200000,67200000,80600000,164100000,239400000,198600000,268200000,288300000,583300000,503800000,575300000,890600000,1053100000,1213500000,1231300000,931500000,976600000,1253800000,1445800000,1418800000,1013700000,1149960674,1465139529
Belize,BLZ,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,24868381,28397885.21,26836163.72,32151079.73,33650128.54,44693322.84,63811950.79,73119263.19,76489003.31,78578401.6,78134569.59,75323553.82,75945646.69,74401710.37,80334417.62,84744074.54,96671006.68,90214516.3,92512738.78,96816750.12,120683619.4,135359897,142127891.8
Bermuda,BMU,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,0,1182490000,1450138212,1390779867,1346066952,1261415801,1175291441,1190775527,1224886398,1335682710,1445391572,1445943330,1505955305,1446756401,1547229198,1574100923,1719216585,1200000000
Bolivia,BOL,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,126870000,135280000,112900000,158166413.3,210558668.5,337040056.7,602974070.7,1055366582,1134718447,1057930000,960212746.8,1042996647,1110532147,1201339479,1176966248,1190958194,1246634759,1407996989,1388281654,1335620197,1126517920,1417100383,1402929379
Brazil,BRA,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,1349591000,1448914000,2003791000,2286680000,2812514000,2805358000,3287162000,3305694000,3642585000,2889159500,3082801866,3214602243,2784072055,2717675069,2647908513,2896909952,2739786527,2698770651,2933489276,3213621677,3566219438,4102018148,4971871481
