Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/1/2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,150000,-110000,480000,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,15590000,15510000,221390000,401810000,452790000,1062410000,843810000,526320000,710960000,957300000,893130000,849840000,896900000,823980000,655640000,467490000,490400000,311920000,300130000,299690000,327100000,
Africa Western and Central,AFW,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,47310000,56940000,61020000,79860000,70250000,80670000,72810000,46330000,67750000,64060000,43730000,33580000,34220000,25680000,34670000,24460000,30380000,26710000,47060000,46980000,43090000,
Albania,ALB,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,54420000,61480000,81380000,145240000,92110000,90450000,99710000,86250000,109250000,95930000,102880000,98220000,95710000,57100000,75080000,182200000,75600000,86490000,93510000,102990000,149710000,
Andorra,AND,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,3030000,2090000,3470000,4510000,4410000,,,,,,,,,,,,,,,,,
Argentina,ARG,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,50500000,52490000,51510000,58810000,56200000,53880000,51400000,48100000,59990000,71880000,70420000,52020000,56800000,53140000,52320000,35720000,34820000,45930000,45690000,42800000,40580000,
Armenia,ARM,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,94200000,87660000,122840000,94090000,97280000,83780000,104150000,42160000,36880000,40800000,36980000,28030000,25010000,33420000,37380000,27190000,30260000,38470000,44870000,46890000,40840000,
American Samoa,ASM,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,1860000,2880000,2520000,1400000,410000,620000,440000,610000,1420000,2720000,740000,1030000,1230000,520000,520000,490000,360000,880000,540000,860000,1470000,
Australia,AUS,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,30080000,42100000,74580000,69000000,69150000,73410000,97200000,39610000,46940000,44610000,56010000,48910000,37260000,39920000,35640000,29850000,32230000,36410000,43180000,48640000,81360000,
Burundi,BDI,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,15080000,10900000,24070000,30700000,26810000,39300000,50220000,39760000,63210000,60970000,73440000,67060000,75940000,92940000,105740000,57220000,58170000,26380000,25880000,25090000,28230000,
Belgium,BEL,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,67930000,60750000,67570000,90550000,87410000,91740000,109730000,81280000,85380000,90050000,94870000,86360000,93190000,90470000,88750000,70060000,66570000,62590000,82300000,76620000,74250000,
Burkina Faso,BFA,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,75910000,81180000,79420000,104280000,102850000,95950000,126670000,112860000,102230000,116220000,131900000,98780000,104120000,102190000,97290000,94020000,86620000,113930000,106540000,95610000,135090000,
Bangladesh,BGD,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,208860000,207240000,210850000,246070000,207590000,186320000,164530000,155950000,234790000,196450000,192400000,216060000,200310000,202640000,214080000,179110000,189260000,210110000,197220000,217370000,196400000,
Bulgaria,BGR,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,150210000,104190000,138150000,181770000,202120000,,,,,,,,,,,,,,,,,
Bahrain,BHR,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,13440000,1600000,10950000,1370000,1060000,,,,,,,,,,,,,,,,,
