,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exchange Rates selected indicators,,,,,,,,,,,,,,,,,,,,,,,,,
,"Goods, Value of Exports, Free on board (FOB), US Dollars",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country,Scale,Base Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,"Afghanistan, Islamic Rep. of",Millions,,137.00,68.00,100.00,144.00,305.00,384.00,416.00,454.00,540.00,403.00,388.00,376.00,429.00,515.00,570.00,571.00,596.00,723.00,875.00,864.00,777.00,"1,037.00",...
,Albania,Millions,,261.00,307.00,340.00,448.00,605.00,659.00,789.00,"1,079.00","1,026.00","1,092.00","1,545.00","1,947.00","1,967.00","2,339.00","2,430.00","1,917.00","1,959.00","2,292.00","2,869.00","2,715.00","2,505.00","3,558.00",...
,Algeria,Millions,,"22,031.00","19,133.00","18,799.00","23,163.00","31,304.00","46,003.00","54,613.00","60,163.00","79,297.00","45,193.00","57,052.00","73,727.00","71,866.00","64,974.00","60,062.00","34,668.00","30,027.00","35,191.00","41,797.00","35,824.00","23,797.00","37,100.00",...
,Angola,Millions,,"7,921.00","6,534.00","8,328.00","9,508.00","13,475.00","24,109.00","31,862.00","44,396.00","63,914.00","40,828.00","50,595.00","67,310.00","71,093.00","68,247.00","59,170.00","33,181.00","27,589.00","34,613.00","40,758.00","34,726.00","20,937.00","33,581.00",...
,Anguilla,Millions,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5.00,11.00,7.00,11.00,12.00,12.00,11.00,14.00,...
,Antigua and Barbuda,Millions,,52.00,41.00,39.00,45.00,57.00,83.00,74.00,59.00,65.00,51.00,46.00,56.00,63.00,69.00,99.00,66.00,61.00,21.00,26.00,38.00,22.00,...,...
,Argentina,Millions,,"26,341.00","26,543.00","25,650.00","29,566.00","34,576.00","40,352.00","46,546.00","55,982.00","70,020.00","55,672.00","68,174.00","82,980.00","79,982.00","75,964.00","68,405.00","56,784.00","57,910.00","58,644.00","61,781.00","65,116.00","54,884.00","77,935.00",...
,"Armenia, Rep. of",Millions,,294.00,343.00,505.00,686.00,723.00,950.00,"1,004.00","1,219.00","1,057.00",697.00,"1,012.00","1,331.00","1,380.00","1,480.00","1,520.00","1,485.00","1,791.00","2,246.00","2,412.00","2,641.00","2,545.00","3,024.00",...
,"Aruba, Kingdom of the Netherlands",Millions,,"2,524.00","2,423.00","1,488.00","2,052.00","3,435.00","4,416.00","4,716.00","5,206.00","5,456.00","1,952.00",265.00,"5,180.00","1,389.00",279.00,259.00,330.00,284.00,135.00,194.00,131.00,87.00,128.00,...
,Australia,Millions,,"63,870.00","63,387.00","65,033.00","70,377.00","86,565.00","106,097.00","123,437.00","141,358.00","187,257.00","154,330.00","212,634.00","270,386.00","256,412.00","252,644.00","239,974.00","187,686.00","192,506.00","231,131.00","257,097.00","271,005.00","250,824.00","344,864.00",...
,Austria,Millions,,"67,710.00","70,751.00","78,673.00","97,146.00","118,376.00","125,011.00","136,865.00","163,804.00","181,737.00","137,085.00","152,441.00","177,472.00","166,697.00","175,145.00","178,224.00","152,728.00","152,089.00","168,026.00","184,815.00","178,668.00","169,418.00","202,806.00",...
,"Azerbaijan, Rep. of",Millions,,"1,745.22","2,314.21","2,167.40","2,590.38","3,615.45","4,347.15","6,372.17","6,058.22","47,756.04","14,701.36","21,360.21","26,570.90","23,907.98","23,975.42","21,828.61","12,729.14","13,457.59","15,319.98","19,489.07","19,635.20","13,732.64","22,207.97","38,146.63"
,"Bahamas, The",Millions,,...,...,...,...,...,...,...,...,696.07,584.88,620.18,728.32,827.68,811.71,689.18,449.04,402.44,471.35,511.86,537.27,334.51,...,...
,"Bahrain, Kingdom of",Millions,,"6,194.00","5,577.00","5,794.00","6,632.00","7,558.00","10,188.00","12,200.00","13,633.00","17,315.00","11,800.00","14,950.00","19,700.00","19,760.00","21,930.00","20,130.00","16,540.00","12,785.00","15,376.00","18,044.00","18,119.00","14,065.00","22,370.00",...
,Bangladesh,Millions,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"35,953.01","39,252.02","39,337.33","33,605.38","44,223.41","54,695.37"
,"Belarus, Rep. of",Millions,,"7,326.00","7,451.00","8,021.00","9,946.00","13,774.00","15,979.00","19,737.00","24,268.00","32,595.00","21,277.00","25,284.00","39,806.00","46,062.00","37,558.00","36,081.00","26,758.00","23,416.00","29,268.00","33,725.00","32,953.00","29,181.00","39,762.00",...
,Belgium,Millions,,"188,371.00","190,349.00","216,127.00","255,617.00","306,866.00","334,277.00","366,759.00","431,120.00","473,349.00","371,147.00","407,706.00","475,773.00","446,335.00","468,627.00","472,192.00","396,842.00","398,133.00","429,644.00","468,212.00","446,909.00","421,843.00","548,869.00",...
,Benin,Millions,,392.00,374.00,448.00,541.00,569.00,578.00,736.00,"1,047.00","1,282.00","1,225.00","1,282.00","1,410.00","1,443.00","1,982.00","2,560.00","1,682.00","1,774.00","2,216.00","3,344.00","3,052.00","2,996.00","3,445.00",...
,Bhutan,Millions,,103.00,106.00,113.00,133.00,183.00,258.00,414.00,675.00,521.00,496.00,641.00,675.00,535.00,544.00,583.00,549.00,525.00,573.00,606.00,674.00,651.00,784.00,...
,Bolivia,Millions,,"1,230.00","1,285.00","1,299.00","1,597.00","2,166.00","2,791.00","3,952.00","4,504.00","6,525.00","4,959.00","6,401.00","8,360.00","11,254.00","11,658.00","12,299.00","8,727.00","7,082.00","7,846.00","8,965.00","8,760.00","7,015.00","11,030.00",...
,Bosnia and Herzegovina,Millions,,...,...,...,"1,408.31","1,915.46","2,399.62","3,322.52","4,165.97","5,063.66","3,953.85","4,800.60","5,853.25","5,160.05","5,688.10","5,891.92","5,095.91","5,327.75","6,399.89","7,182.13","6,578.21","6,152.49","8,611.42","9,678.19"
,Botswana,Millions,,...,...,...,...,...,...,...,...,...,"3,445.53","4,692.55","5,883.81","5,971.49","7,910.47","8,510.52","6,314.76","7,358.21","5,855.66","6,575.35","5,235.88","4,127.17","7,205.65",...
,Brazil,Millions,,"55,119.00","58,287.00","60,439.00","73,203.00","96,678.00","118,530.00","137,579.00","159,817.00","195,765.00","151,792.00","200,434.00","253,666.00","239,951.00","232,545.00","220,923.00","186,784.00","179,526.00","214,988.00","231,890.00","221,128.00","209,180.00","280,815.00",...
