,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exchange Rates selected indicators,,,,,,,,,,,,,,,,,,,,,,,,,
,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country,Scale,Base Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,"Afghanistan, Islamic Rep. of",Millions,,"1,176.00","1,696.00","2,452.00","2,101.00","2,177.00","2,471.00","2,744.00","3,022.00","3,020.00","3,336.00","5,154.00","6,515.00","9,069.00","8,554.00","7,729.00","7,723.00","6,534.00","7,065.00","7,407.00","6,777.00","6,538.00","5,574.00",...
,Albania,Millions,,"1,091.00","1,327.00","1,504.00","1,864.00","2,309.00","2,619.00","3,061.00","4,191.00","5,576.00","4,553.00","4,404.00","5,384.00","4,881.00","4,919.00","5,221.00","4,302.00","4,614.00","5,271.00","5,925.00","5,896.00","5,569.00","7,719.00",...
,Algeria,Millions,,"9,171.00","9,940.00","11,969.00","12,380.00","18,169.00","20,357.00","21,456.00","27,630.00","39,478.00","39,293.00","40,473.00","47,247.00","50,376.00","55,028.00","58,580.00","51,701.00","47,089.00","46,059.00","46,330.00","41,934.00","34,392.00","36,100.00",...
,Angola,Millions,,"3,040.00","3,179.00","3,760.00","5,480.00","5,832.00","8,353.00","8,778.00","13,661.00","20,982.00","22,660.00","16,667.00","20,228.00","23,717.00","26,331.00","28,580.00","20,693.00","13,040.00","14,463.00","15,798.00","14,127.00","9,543.00","11,795.00",...
,Anguilla,Millions,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,175.00,204.00,193.00,222.00,234.00,228.00,211.00,265.00,...
,Antigua and Barbuda,Millions,,407.00,386.00,400.00,422.00,454.00,506.00,624.00,728.00,743.00,534.00,501.00,430.00,492.00,503.00,532.00,449.00,478.00,554.00,699.00,701.00,494.00,...,...
,Argentina,Millions,,"25,154.00","20,320.00","8,990.00","13,834.00","22,445.00","28,689.00","34,152.00","44,706.00","57,463.00","38,786.00","56,793.00","73,962.00","67,976.00","74,442.00","65,735.00","60,205.00","55,852.00","66,937.00","65,482.00","49,124.00","42,354.00","63,185.00",...
,"Armenia, Rep. of",Millions,,882.00,874.00,987.00,"1,280.00","1,351.00","1,768.00","2,195.00","3,282.00","4,428.00","3,305.00","3,783.00","4,152.00","4,263.00","4,478.00","4,401.00","3,239.00","3,273.00","4,190.00","4,964.00","5,513.00","4,559.00","5,356.00",...
,"Aruba, Kingdom of the Netherlands",Millions,,"2,582.00","2,372.00","2,017.00","2,397.00","3,589.00","4,288.00","4,723.00","5,126.00","6,011.00","2,449.00","1,394.00","5,917.00","2,046.00","1,377.00","1,350.00","1,250.00","1,138.00","1,124.00","1,232.00","1,206.00",861.00,"1,053.00",...
,Australia,Millions,,"71,529.00","63,888.00","72,690.00","89,084.00","109,384.00","125,219.00","139,404.00","165,495.00","199,805.00","165,786.00","202,286.00","243,571.00","260,588.00","241,991.00","237,012.00","208,499.00","196,269.00","228,779.00","235,385.00","221,564.00","211,824.00","261,165.00",...
,Austria,Millions,,"72,394.00","74,633.00","78,299.00","99,532.00","119,905.00","127,150.00","137,321.00","163,246.00","184,501.00","143,116.00","158,926.00","191,429.00","178,595.00","183,272.00","182,075.00","156,045.00","157,697.00","175,753.00","193,722.00","184,758.00","172,449.00","219,519.00",...
,"Azerbaijan, Rep. of",Millions,,"1,172.07","1,431.11","1,665.48","2,626.18","3,515.86","4,211.22","5,266.74","5,713.53","7,169.98","6,123.11","6,600.61","9,755.97","9,652.87","10,712.50","9,187.70","9,216.68","8,489.14","8,783.30","11,465.91","13,667.48","10,732.04","11,703.22","14,539.86"
,"Bahamas, The",Millions,,...,...,...,...,...,...,...,...,"3,201.11","2,698.97","2,862.76","3,410.86","3,647.02","3,365.90","3,789.99","3,162.04","2,931.65","3,435.75","3,521.41","3,370.82","2,205.29",...,...
,"Bahrain, Kingdom of",Millions,,"4,633.00","4,306.00","5,013.00","5,657.00","7,385.00","9,317.00","10,515.00","11,489.00","14,980.00","10,110.00","12,260.00","12,730.00","10,891.00","9,998.00","12,217.00","12,407.00","11,579.00","13,146.00","14,871.00","13,256.00","12,683.00","14,187.00",...
,Bangladesh,Millions,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"52,836.30","60,495.10","59,093.90","52,804.00","80,448.00","88,234.30"
,"Belarus, Rep. of",Millions,,"8,646.00","8,286.00","9,092.00","11,558.00","16,491.00","16,708.00","22,333.00","28,682.00","39,449.00","28,560.00","34,885.00","45,730.00","46,405.00","42,948.00","40,503.00","29,941.00","27,464.00","34,232.00","38,410.00","39,475.00","32,767.00","41,387.00",...
,Belgium,Millions,,"177,511.00","178,664.00","198,311.00","234,945.00","285,621.00","318,588.00","351,569.00","412,011.00","467,381.00","354,782.00","391,278.00","466,915.00","439,537.00","451,584.00","453,701.00","375,530.00","379,408.00","409,219.00","455,187.00","428,877.00","397,957.00","527,128.00",...
,Benin,Millions,,613.00,623.00,725.00,892.00,894.00,"1,018.00","1,228.00","2,037.00","2,289.00","2,064.00","2,054.00","2,129.00","2,339.00","3,010.00","3,828.00","2,561.00","2,872.00","3,494.00","4,375.00","3,932.00","3,555.00","4,333.00",...
,Bhutan,Millions,,175.00,191.00,197.00,249.00,411.00,386.00,420.00,526.00,543.00,529.00,854.00,"1,043.00",991.00,909.00,932.00,"1,061.00","1,002.00","1,029.00","1,048.00",981.00,899.00,"1,220.00",...
,Bolivia,Millions,,"1,830.00","1,708.00","1,775.00","1,616.00","1,877.00","2,341.00","2,913.00","3,586.00","5,080.00","4,544.00","5,593.00","7,926.00","8,579.00","9,339.00","10,516.00","9,767.00","8,427.00","9,287.00","9,996.00","9,782.00","7,080.00","9,560.00",...
,Bosnia and Herzegovina,Millions,,...,...,...,"4,852.46","5,988.84","7,070.98","7,344.99","9,771.77","12,286.60","8,815.88","9,206.96","11,054.93","10,017.73","10,303.31","10,987.88","8,982.80","9,145.03","10,500.84","11,629.95","11,159.34","9,867.98","13,029.49","15,382.48"
,Botswana,Millions,,...,...,...,...,...,...,...,...,...,"4,763.88","5,713.12","7,321.95","8,110.82","8,423.71","8,077.65","7,236.35","6,142.66","5,164.16","6,306.03","6,563.60","6,433.45","8,358.55",...
,Brazil,Millions,,"58,643.00","58,382.00","49,723.00","50,881.00","66,433.00","77,611.00","97,047.00","128,110.00","183,921.00","135,378.00","193,185.00","238,707.00","235,405.00","252,281.00","240,763.00","180,461.00","145,247.00","165,854.00","192,839.00","193,162.00","166,338.00","234,690.00",...
,Brunei Darussalam,Millions,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,670.55","3,087.54","4,158.11","5,101.35","5,339.55","7,228.32",...
