"Country or Area","Year(s)","GENDER","EDUCATION LEVEL","RESIDENCE AREA","WEALTH QUINTILE","Value","Value Footnotes"
"Albania","2008","","","Urban","","99.4",""
"Albania","2008","","","Rural","","98.8",""
"Albania","2008","","","","Q1 (Poorest)","95.4",""
"Albania","2008","","","","Q2","100.0",""
"Albania","2008","","","","Q3","100.0",""
"Albania","2008","","","","Q4","100.0",""
"Albania","2008","","","","Q5 (Richest)","100.0",""
"Albania","2008","","Primary","","","98.8",""
"Albania","2008","","Secondary or higher","","","100.0",""
"Albania","2008","Female","","","","100.0",""
"Albania","2008","Male","","","","98.1",""
"Albania","2005","","","Urban","","92.7",""
"Albania","2005","","","Rural","","97.8",""
"Albania","2005","","","","Q1 (Poorest)","95.2","1"
"Albania","2005","","","","Q2","98.0","1"
"Albania","2005","","","","Q3","91.0","1"
"Albania","2005","","","","Q4","97.1","1"
"Albania","2005","","","","Q5 (Richest)","100.0","1"
"Albania","2005","","Secondary or higher","","","97.7",""
"Albania","2005","Female","","","","98.0",""
"Albania","2005","Male","","","","94.7",""
"Armenia","2010","","","Urban","","99.6",""
"Armenia","2010","","","Rural","","98.9",""
"Armenia","2010","","","","Q1 (Poorest)","97.7",""
"Armenia","2010","","","","Q2","100.0",""
"Armenia","2010","","","","Q3","99.0",""
"Armenia","2010","","","","Q4","99.7",""
"Armenia","2010","","","","Q5 (Richest)","100.0","1"
"Armenia","2010","","Secondary or higher","","","99.3",""
"Armenia","2010","Female","","","","99.6",""
"Armenia","2010","Male","","","","99.0",""
"Armenia","2005","","","Urban","","96.7",""
"Armenia","2005","","","Rural","","90.7",""
"Armenia","2005","","","","Q1 (Poorest)","90.1",""
"Armenia","2005","","","","Q2","92.7",""
"Armenia","2005","","","","Q3","91.5",""
"Armenia","2005","","","","Q4","99.6",""
"Armenia","2005","","","","Q5 (Richest)","95.8","1"
"Armenia","2005","","Secondary or higher","","","94.2",""
"Armenia","2005","Female","","","","94.7",""
"Armenia","2005","Male","","","","94.1",""
"Armenia","2000","","","Urban","","90.6",""
"Armenia","2000","","","Rural","","90.6",""
"Armenia","2000","","","","Q1 (Poorest)","89.6",""
"Armenia","2000","","","","Q2","91.0",""
"Armenia","2000","","","","Q3","89.4",""
"Armenia","2000","","","","Q4","95.1",""
"Armenia","2000","","","","Q5 (Richest)","88.1","1"
"Armenia","2000","","Secondary or higher","","","90.8",""
"Armenia","2000","Female","","","","90.9",""
"Armenia","2000","Male","","","","90.4",""
"Azerbaijan","2006","","","Urban","","79.5",""
"Azerbaijan","2006","","","Rural","","63.6",""
"Azerbaijan","2006","","","","Q1 (Poorest)","55.2",""
"Azerbaijan","2006","","","","Q2","61.7",""
"Azerbaijan","2006","","","","Q3","75.9",""
"Azerbaijan","2006","","","","Q4","73.8",""
"Azerbaijan","2006","","","","Q5 (Richest)","98.6",""
"Azerbaijan","2006","","Secondary or higher","","","72.3",""
"Azerbaijan","2006","Female","","","","72.1",""
"Azerbaijan","2006","Male","","","","71.6",""
"Bangladesh","2007","","","Urban","","97.3",""
"Bangladesh","2007","","","Rural","","96.6",""
"Bangladesh","2007","","","","Q1 (Poorest)","97.1",""
"Bangladesh","2007","","","","Q2","95.4",""
"Bangladesh","2007","","","","Q3","96.2",""
"Bangladesh","2007","","","","Q4","97.0",""
"Bangladesh","2007","","","","Q5 (Richest)","98.1",""
"Bangladesh","2007","","None","","","93.4",""
"Bangladesh","2007","","Primary","","","96.8",""
"Bangladesh","2007","","Secondary or higher","","","98.2",""
"Bangladesh","2007","Female","","","","96.7",""
"Bangladesh","2007","Male","","","","96.8",""
