"Country or Area","Year(s)","GENDER","EDUCATION LEVEL","RESIDENCE AREA","WEALTH QUINTILE","Value","Value Footnotes"
"Albania","2008","","","Urban","","4.6",""
"Albania","2008","","","Rural","","5.5",""
"Albania","2008","","","","Q1 (Poorest)","8.0",""
"Albania","2008","","","","Q2","2.7",""
"Albania","2008","","","","Q3","6.0",""
"Albania","2008","","","","Q4","4.8",""
"Albania","2008","","","","Q5 (Richest)","3.6",""
"Albania","2008","","Primary","","","5.4",""
"Albania","2008","","Secondary or higher","","","4.8",""
"Albania","2008","Female","","","","4.4",""
"Albania","2008","Male","","","","5.9",""
"Albania","2005","","","Urban","","4.2",""
"Albania","2005","","","Rural","","8.0",""
"Albania","2005","","","","Q1 (Poorest)","11.8",""
"Albania","2005","","","","Q2","7.5",""
"Albania","2005","","","","Q3","7.6",""
"Albania","2005","","","","Q4","2.5",""
"Albania","2005","","","","Q5 (Richest)","2.8",""
"Albania","2005","","Secondary or higher","","","6.7",""
"Albania","2005","Female","","","","5.8",""
"Albania","2005","Male","","","","7.4",""
"Armenia","2010","","","Urban","","2.8",""
"Armenia","2010","","","Rural","","7.5",""
"Armenia","2010","","","","Q1 (Poorest)","8.0",""
"Armenia","2010","","","","Q2","5.3",""
"Armenia","2010","","","","Q3","5.6",""
"Armenia","2010","","","","Q4","3.0",""
"Armenia","2010","","","","Q5 (Richest)","1.5",""
"Armenia","2010","","Secondary or higher","","","4.8",""
"Armenia","2010","Female","","","","5.2",""
"Armenia","2010","Male","","","","4.3",""
"Armenia","2005","","","Urban","","3.9",""
"Armenia","2005","","","Rural","","3.9",""
"Armenia","2005","","","","Q1 (Poorest)","4.6",""
"Armenia","2005","","","","Q2","2.7",""
"Armenia","2005","","","","Q3","2.8",""
"Armenia","2005","","","","Q4","6.1",""
"Armenia","2005","","","","Q5 (Richest)","3.2",""
"Armenia","2005","","Secondary or higher","","","3.9",""
"Armenia","2005","Female","","","","5.2",""
"Armenia","2005","Male","","","","2.8",""
"Azerbaijan","2006","","","Urban","","3.7",""
"Azerbaijan","2006","","","Rural","","11.6",""
"Azerbaijan","2006","","","","Q1 (Poorest)","15.2",""
"Azerbaijan","2006","","","","Q2","9.0",""
"Azerbaijan","2006","","","","Q3","6.1",""
"Azerbaijan","2006","","","","Q4","2.7",""
"Azerbaijan","2006","","","","Q5 (Richest)","2.2",""
"Azerbaijan","2006","","Primary","","","10.0","1"
"Azerbaijan","2006","","Secondary or higher","","","7.6",""
"Azerbaijan","2006","Female","","","","7.4",""
"Azerbaijan","2006","Male","","","","8.1",""
"Bangladesh","2007","","","Urban","","33.3",""
"Bangladesh","2007","","","Rural","","42.8",""
"Bangladesh","2007","","","","Q1 (Poorest)","50.3",""
"Bangladesh","2007","","","","Q2","45.8",""
"Bangladesh","2007","","","","Q3","41.2",""
"Bangladesh","2007","","","","Q4","37.7",""
"Bangladesh","2007","","","","Q5 (Richest)","25.8",""
"Bangladesh","2007","","None","","","46.9",""
"Bangladesh","2007","","Primary","","","46.4",""
"Bangladesh","2007","","Secondary or higher","","","32.7",""
"Bangladesh","2007","Female","","","","42.1",""
"Bangladesh","2007","Male","","","","39.6",""
"Bangladesh","2004","","","Urban","","37.3",""
"Bangladesh","2004","","","Rural","","43.7",""
"Bangladesh","2004","","","","Q1 (Poorest)","55.7",""
"Bangladesh","2004","","","","Q2","46.8",""
"Bangladesh","2004","","","","Q3","38.5",""
"Bangladesh","2004","","","","Q4","38.6",""
"Bangladesh","2004","","","","Q5 (Richest)","25.7",""
"Bangladesh","2004","","None","","","50.7",""
"Bangladesh","2004","","Primary","","","43.1",""
"Bangladesh","2004","","Secondary or higher","","","31.8",""
"Bangladesh","2004","Female","","","","42.3",""
"Bangladesh","2004","Male","","","","42.6",""
"Belarus","2005","","","Urban","","1.0",""
"Belarus","2005","","","Rural","","1.7",""
"Belarus","2005","","","","Q1 (Poorest)","2.4",""
"Belarus","2005","","","","Q2","0.9",""
"Belarus","2005","","","","Q3","0.9",""
"Belarus","2005","","","","Q4","2.1",""
"Belarus","2005","","","","Q5 (Richest)","0.4",""
"Belarus","2005","","Secondary or higher","","","1.2",""
"Belarus","2005","Female","","","","1.0",""
"Belarus","2005","Male","","","","1.5",""
"Belize","2006","","","Urban","","2.8",""
"Belize","2006","","","Rural","","6.8",""
"Belize","2006","","","","Q1 (Poorest)","8.7",""
"Belize","2006","","","","Q2","6.0",""
"Belize","2006","","","","Q3","4.9",""
"Belize","2006","","","","Q4","2.2",""
"Belize","2006","","","","Q5 (Richest)","0.7",""
"Belize","2006","","Secondary or higher","","","3.6",""
"Belize","2006","Female","","","","6.0",""
"Belize","2006","Male","","","","4.0",""
"Benin","2006","","","Urban","","14.5",""
"Benin","2006","","","Rural","","20.4",""
"Benin","2006","","","","Q1 (Poorest)","25.0",""
"Benin","2006","","","","Q2","20.3",""
"Benin","2006","","","","Q3","19.7",""
"Benin","2006","","","","Q4","14.8",""
"Benin","2006","","","","Q5 (Richest)","10.0",""
"Benin","2006","","None","","","20.4",""
