"Country or Area","Year(s)","GENDER","EDUCATION LEVEL","RESIDENCE AREA","WEALTH QUINTILE","Value","Value Footnotes"
"Albania","2005","","","Urban","","9.0",""
"Albania","2005","","","Rural","","7.5",""
"Albania","2005","","","","Q1 (Poorest)","4.9",""
"Albania","2005","","","","Q2","8.4",""
"Albania","2005","","","","Q3","9.7",""
"Albania","2005","","","","Q4","7.2",""
"Albania","2005","","","","Q5 (Richest)","11.1",""
"Albania","2005","","Secondary or higher","","","8.0",""
"Albania","2005","Female","","","","6.8",""
"Albania","2005","Male","","","","9.0",""
"Azerbaijan","2006","","","Urban","","6.0",""
"Azerbaijan","2006","","","Rural","","2.5",""
"Azerbaijan","2006","","","","Q1 (Poorest)","1.7",""
"Azerbaijan","2006","","","","Q2","2.4",""
"Azerbaijan","2006","","","","Q3","2.3",""
"Azerbaijan","2006","","","","Q4","5.7",""
"Azerbaijan","2006","","","","Q5 (Richest)","11.5",""
"Azerbaijan","2006","","None","","","0.3","1"
"Azerbaijan","2006","","Primary","","","3.6","1"
"Azerbaijan","2006","","Secondary or higher","","","4.3",""
"Azerbaijan","2006","Female","","","","5.0",""
"Azerbaijan","2006","Male","","","","3.6",""
"Bangladesh","2007","","","Urban","","85.3",""
"Bangladesh","2007","","","Rural","","83.0",""
"Bangladesh","2007","","","","Q1 (Poorest)","85.6",""
"Bangladesh","2007","","","","Q2","79.2",""
"Bangladesh","2007","","","","Q3","83.2",""
"Bangladesh","2007","","","","Q4","85.2",""
"Bangladesh","2007","","","","Q5 (Richest)","84.6",""
"Bangladesh","2007","","None","","","82.7",""
"Bangladesh","2007","","Primary","","","84.3",""
"Bangladesh","2007","","Secondary or higher","","","83.5",""
"Bangladesh","2007","Female","","","","83.2",""
"Bangladesh","2007","Male","","","","83.9",""
"Bangladesh","2006","","","Urban","","87.4",""
"Bangladesh","2006","","","Rural","","84.0",""
"Bangladesh","2006","","","","Q1 (Poorest)","81.8",""
"Bangladesh","2006","","","","Q2","82.6",""
"Bangladesh","2006","","","","Q3","86.1",""
"Bangladesh","2006","","","","Q4","86.9",""
"Bangladesh","2006","","","","Q5 (Richest)","89.1",""
"Bangladesh","2006","","None","","","83.0",""
"Bangladesh","2006","","Primary","","","84.6",""
"Bangladesh","2006","","Secondary or higher","","","87.1",""
"Bangladesh","2006","Female","","","","84.6",""
"Bangladesh","2006","Male","","","","85.1",""
"Bangladesh","2004","","","Urban","","81.2",""
"Bangladesh","2004","","","Rural","","78.1",""
"Bangladesh","2004","","","","Q1 (Poorest)","74.6",""
"Bangladesh","2004","","","","Q2","79.1",""
"Bangladesh","2004","","","","Q3","78.0",""
"Bangladesh","2004","","","","Q4","80.4",""
"Bangladesh","2004","","","","Q5 (Richest)","83.3",""
"Bangladesh","2004","","None","","","76.2",""
"Bangladesh","2004","","Primary","","","79.2",""
"Bangladesh","2004","","Secondary or higher","","","81.4",""
"Bangladesh","2004","Female","","","","78.3",""
"Bangladesh","2004","Male","","","","79.0",""
"Belize","2006","","","Urban","","29.5",""
"Belize","2006","","","Rural","","18.9",""
"Belize","2006","","","","Q1 (Poorest)","17.9",""
"Belize","2006","","","","Q2","25.3",""
"Belize","2006","","","","Q3","23.6",""
"Belize","2006","","","","Q4","27.8",""
"Belize","2006","","","","Q5 (Richest)","26.8",""
"Belize","2006","","Secondary or higher","","","30.9",""
"Belize","2006","Female","","","","23.1",""
"Belize","2006","Male","","","","24.6",""
"Benin","2006","","","Urban","","67.9",""
"Benin","2006","","","Rural","","56.9",""
"Benin","2006","","","","Q1 (Poorest)","50.2",""
"Benin","2006","","","","Q2","55.0",""
"Benin","2006","","","","Q3","60.2",""
"Benin","2006","","","","Q4","66.3",""
"Benin","2006","","","","Q5 (Richest)","75.2",""
"Benin","2006","","None","","","56.8",""
"Benin","2006","","Primary","","","69.8",""
"Benin","2006","","Secondary or higher","","","78.0",""
"Benin","2006","Female","","","","60.2",""
"Benin","2006","Male","","","","61.2",""
"Benin","2001","","","Urban","","29.3",""
"Benin","2001","","","Rural","","13.4",""
"Benin","2001","","","","Q1 (Poorest)","9.2",""
"Benin","2001","","","","Q2","12.6",""
"Benin","2001","","","","Q3","14.2",""
"Benin","2001","","","","Q4","25.1",""
"Benin","2001","","","","Q5 (Richest)","37.6",""
"Benin","2001","","None","","","14.8",""
"Benin","2001","","Primary","","","25.3",""
"Benin","2001","","Secondary or higher","","","36.5",""
"Benin","2001","Female","","","","18.6",""
"Benin","2001","Male","","","","18.4",""
"Bolivia (Plurinational State of)","2008","","","Urban","","23.4",""
"Bolivia (Plurinational State of)","2008","","","Rural","","26.2",""
"Bolivia (Plurinational State of)","2008","","","","Q1 (Poorest)","26.6",""
"Bolivia (Plurinational State of)","2008","","","","Q2","25.8",""
"Bolivia (Plurinational State of)","2008","","","","Q3","23.1",""
"Bolivia (Plurinational State of)","2008","","","","Q4","23.3",""
"Bolivia (Plurinational State of)","2008","","","","Q5 (Richest)","23.6",""
"Bolivia (Plurinational State of)","2008","","None","","","19.7",""
"Bolivia (Plurinational State of)","2008","","Primary","","","24.5",""
"Bolivia (Plurinational State of)","2008","","Secondary or higher","","","25.5",""
"Bolivia (Plurinational State of)","2008","Female","","","","24.0",""
"Bolivia (Plurinational State of)","2008","Male","","","","25.2",""
"Bolivia (Plurinational State of)","2003","","","Urban","","63.6",""
"Bolivia (Plurinational State of)","2003","","","Rural","","60.6",""
"Bolivia (Plurinational State of)","2003","","","","Q1 (Poorest)","59.3",""
"Bolivia (Plurinational State of)","2003","","","","Q2","60.6",""
"Bolivia (Plurinational State of)","2003","","","","Q3","62.4",""
"Bolivia (Plurinational State of)","2003","","","","Q4","64.7",""
"Bolivia (Plurinational State of)","2003","","","","Q5 (Richest)","68.0",""
"Bolivia (Plurinational State of)","2003","","None","","","59.6",""
"Bolivia (Plurinational State of)","2003","","Primary","","","59.9",""
"Bolivia (Plurinational State of)","2003","","Secondary or higher","","","67.9",""
"Bolivia (Plurinational State of)","2003","Female","","","","63.2",""
"Bolivia (Plurinational State of)","2003","Male","","","","61.5",""
"Burkina Faso","2006","","","Urban","","78.4",""
"Burkina Faso","2006","","","Rural","","64.3",""
"Burkina Faso","2006","","","","Q1 (Poorest)","55.9",""
"Burkina Faso","2006","","","","Q2","64.0",""
"Burkina Faso","2006","","","","Q3","67.9",""
"Burkina Faso","2006","","","","Q4","72.7",""
"Burkina Faso","2006","","","","Q5 (Richest)","77.1",""
"Burkina Faso","2006","","None","","","65.4",""
"Burkina Faso","2006","","Primary","","","78.2",""
"Burkina Faso","2006","","Secondary or higher","","","72.2",""
"Burkina Faso","2006","Female","","","","65.0",""
"Burkina Faso","2006","Male","","","","69.1",""
"Burkina Faso","2003","","","Urban","","48.8",""
"Burkina Faso","2003","","","Rural","","31.0",""
"Burkina Faso","2003","","","","Q1 (Poorest)","24.7",""
"Burkina Faso","2003","","","","Q2","29.8",""
"Burkina Faso","2003","","","","Q3","31.5",""
"Burkina Faso","2003","","","","Q4","37.1",""
"Burkina Faso","2003","","","","Q5 (Richest)","47.8",""
"Burkina Faso","2003","","None","","","31.3",""
"Burkina Faso","2003","","Primary","","","44.0",""
"Burkina Faso","2003","","Secondary or higher","","","58.6",""
"Burkina Faso","2003","Female","","","","35.4",""
"Burkina Faso","2003","Male","","","","31.6",""
"Cambodia","2010","","","Urban","","69.8",""
"Cambodia","2010","","","Rural","","71.1",""
"Cambodia","2010","","","","Q1 (Poorest)","64.2",""
"Cambodia","2010","","","","Q2","71.1",""
"Cambodia","2010","","","","Q3","74.1",""
"Cambodia","2010","","","","Q4","76.8",""
"Cambodia","2010","","","","Q5 (Richest)","71.1",""
"Cambodia","2010","","None","","","59.7",""
"Cambodia","2010","","Primary","","","72.5",""
"Cambodia","2010","","Secondary or higher","","","75.2",""
"Cambodia","2010","Female","","","","72.6",""
"Cambodia","2010","Male","","","","69.3",""
"Cambodia","2005","","","Urban","","32.5",""
"Cambodia","2005","","","Rural","","34.8",""
"Cambodia","2005","","","","Q1 (Poorest)","31.5",""
"Cambodia","2005","","","","Q2","36.4",""
"Cambodia","2005","","","","Q3","36.4",""
"Cambodia","2005","","","","Q4","38.2",""
"Cambodia","2005","","","","Q5 (Richest)","31.4",""
"Cambodia","2005","","None","","","30.2",""
"Cambodia","2005","","Primary","","","35.9",""
"Cambodia","2005","","Secondary or higher","","","35.8",""
"Cambodia","2005","Female","","","","35.1",""
"Cambodia","2005","Male","","","","33.9",""
"Cambodia","2000","","","Urban","","42.3",""
"Cambodia","2000","","","Rural","","29.2",""
"Cambodia","2000","","","","Q1 (Poorest)","24.5",""
"Cambodia","2000","","","","Q2","27.7",""
