"Country or Area","Year(s)","GENDER","EDUCATION LEVEL","RESIDENCE AREA","WEALTH QUINTILE","Value","Value Footnotes"
"Albania","2008","","","Urban","","87.7",""
"Albania","2008","","","Rural","","91.8",""
"Albania","2008","","","","Q1 (Poorest)","91.3",""
"Albania","2008","","","","Q2","91.5",""
"Albania","2008","","","","Q3","89.7",""
"Albania","2008","","","","Q4","86.9",""
"Albania","2008","","","","Q5 (Richest)","91.7",""
"Albania","2008","","Primary","","","91.9",""
"Albania","2008","","Secondary or higher","","","88.8",""
"Albania","2008","Female","","","","92.0",""
"Albania","2008","Male","","","","88.5",""
"Albania","2005","","","Urban","","36.9",""
"Albania","2005","","","Rural","","45.6",""
"Albania","2005","","","","Q1 (Poorest)","47.1","1"
"Albania","2005","","","","Q2","37.1","1"
"Albania","2005","","","","Q3","33.8","1"
"Albania","2005","","","","Q4","61.6","1"
"Albania","2005","","","","Q5 (Richest)","27.5","1"
"Albania","2005","","Secondary or higher","","","43.0",""
"Albania","2005","Female","","","","46.9",""
"Albania","2005","Male","","","","39.5",""
"Armenia","2010","","","Urban","","82.0",""
"Armenia","2010","","","Rural","","80.9",""
"Armenia","2010","","","","Q1 (Poorest)","87.2",""
"Armenia","2010","","","","Q2","81.7",""
"Armenia","2010","","","","Q3","83.2",""
"Armenia","2010","","","","Q4","78.8",""
"Armenia","2010","","","","Q5 (Richest)","77.9","1"
"Armenia","2010","","Secondary or higher","","","81.6",""
"Armenia","2010","Female","","","","83.7",""
"Armenia","2010","Male","","","","79.4",""
"Armenia","2005","","","Urban","","50.7",""
"Armenia","2005","","","Rural","","44.9",""
"Armenia","2005","","","","Q1 (Poorest)","33.6",""
"Armenia","2005","","","","Q2","47.3",""
"Armenia","2005","","","","Q3","53.8",""
"Armenia","2005","","","","Q4","67.2",""
"Armenia","2005","","","","Q5 (Richest)","35.0","1"
"Armenia","2005","","Secondary or higher","","","49.4",""
"Armenia","2005","Female","","","","43.1",""
"Armenia","2005","Male","","","","52.2",""
"Armenia","2000","","","Urban","","73.2",""
"Armenia","2000","","","Rural","","69.1",""
"Armenia","2000","","","","Q1 (Poorest)","66.2",""
"Armenia","2000","","","","Q2","70.6",""
"Armenia","2000","","","","Q3","72.8",""
"Armenia","2000","","","","Q4","81.3",""
"Armenia","2000","","","","Q5 (Richest)","68.0","1"
"Armenia","2000","","Secondary or higher","","","71.6",""
"Armenia","2000","Female","","","","76.5",""
"Armenia","2000","Male","","","","67.9",""
"Azerbaijan","2006","","","Urban","","15.6",""
"Azerbaijan","2006","","","Rural","","10.1",""
"Azerbaijan","2006","","","","Q1 (Poorest)","6.9",""
"Azerbaijan","2006","","","","Q2","8.9",""
"Azerbaijan","2006","","","","Q3","14.7",""
"Azerbaijan","2006","","","","Q4","14.5",""
"Azerbaijan","2006","","","","Q5 (Richest)","22.3",""
"Azerbaijan","2006","","Secondary or higher","","","12.2",""
"Azerbaijan","2006","Female","","","","11.6",""
"Azerbaijan","2006","Male","","","","14.1",""
"Bangladesh","2007","","","Urban","","86.3",""
"Bangladesh","2007","","","Rural","","80.5",""
"Bangladesh","2007","","","","Q1 (Poorest)","79.9",""
"Bangladesh","2007","","","","Q2","75.4",""
"Bangladesh","2007","","","","Q3","79.0",""
"Bangladesh","2007","","","","Q4","87.1",""
"Bangladesh","2007","","","","Q5 (Richest)","88.4",""
"Bangladesh","2007","","None","","","71.7",""
"Bangladesh","2007","","Primary","","","78.0",""
"Bangladesh","2007","","Secondary or higher","","","88.9",""
"Bangladesh","2007","Female","","","","82.5",""
"Bangladesh","2007","Male","","","","81.2",""
"Bangladesh","2006","","","Urban","","86.6",""
"Bangladesh","2006","","","Rural","","84.4",""
"Bangladesh","2006","","","","Q1 (Poorest)","79.3",""
"Bangladesh","2006","","","","Q2","82.0",""
"Bangladesh","2006","","","","Q3","84.4",""
"Bangladesh","2006","","","","Q4","90.6",""
"Bangladesh","2006","","","","Q5 (Richest)","91.5",""
"Bangladesh","2006","","None","","","78.5",""
"Bangladesh","2006","","Primary","","","83.1",""
"Bangladesh","2006","","Secondary or higher","","","91.8",""
"Bangladesh","2006","Female","","","","84.0",""
