"Country or Area","Year(s)","Value","Value Footnotes"
"Andorra","2010","1.7","1"
"Antigua and Barbuda","2009","7.2",""
"Argentina","2010","22.1",""
"Armenia","2011","3.0","1"
"Australia","2007","5.4",""
"Austria","2011","9.7",""
"Azerbaijan","2007","34.3",""
"Bahamas","2008","5.9",""
"Bahrain","2009","30.6",""
"Barbados","2008","9.5",""
"Belarus","2009","11.9","1"
"Belgium","2006","12.2",""
"Belize","2009","10.2",""
"Bosnia and Herzegovina","2011","24.5",""
"Brazil","2010","12.1",""
"Brunei Darussalam","2010","6.2","1"
"Bulgaria","2011","26.9",""
"Canada","2009","5.8",""
"Chile","2009","6.2",""
"China","2010","1.0","1"
"Colombia","2009","5.9",""
"Cook Islands","2010","5.0","1"
"Costa Rica","2009","5.9",""
"Croatia","2011","9.1",""
"Cuba","2010","6.1",""
"Cyprus","2011","15.8",""
"Czech Republic","2011","11.0",""
"Denmark","2009","13.0",""
"Dominica","2010","7.6",""
"Dominican Republic","2005","14.6",""
"Ecuador","2010","16.1",""
"Egypt","2011","36.1",""
"El Salvador","2009","24.0",""
"Estonia","2011","6.0",""
"Fiji","2009","17.4",""
"Finland","2011","2.4",""
"France","2009","15.3",""
"Georgia","2010","50.0",""
"Germany","2011","11.7",""
"Greece","2010","25.2",""
"Grenada","2010","10.4",""
"Guatemala","2009","18.4",""
"Guyana","2008","6.7",""
"Hungary","2011","4.6",""
"Iceland","2009","5.8",""
"India","2007","10.2","2"
"Iran (Islamic Republic of)","2006","11.0",""
"Iraq","2008","28.1",""
"Ireland","2010","4.8",""
"Israel","2010","9.0",""
"Italy","2009","8.4",""
"Jamaica","2006","7.7",""
"Japan","2010","11.9",""
"Jordan","2009","9.3",""
"Kazakhstan","2010","8.6","1"
"Kuwait","2009","12.5",""
"Kyrgyzstan","2010","3.4",""
"Latvia","2010","10.7",""
"Lithuania","2010","4.8",""
"Luxembourg","2010","14.9",""
"Malaysia","2006","22.6",""
"Maldives","2008","25.0",""
"Malta","2011","6.5",""
"Mauritius","2010","8.2",""
"Mexico","2010","4.8",""
"Monaco","2010","14.0",""
"Mongolia","2010","1.0","1"
"Montenegro","2009","24.6",""
"Morocco","2008","49.6",""
"Netherlands","2011","13.0",""
"New Zealand","2008","3.1",""
"Nicaragua","2010","5.9",""
"Norway","2011","11.4",""
"Oman","2010","34.5","1"
"Panama","2009","8.5",""
"Paraguay","2009","19.3",""
"Peru","2007","6.5",""
"Philippines","2008","9.7",""
"Poland","2010","27.4",""
"Portugal","2011","17.1",""
"Qatar","2010","29.2",""
"Republic of Korea","2010","15.4",""
"Republic of Moldova","2011","2.0",""
"Romania","2011","7.4",""
"Russian Federation","2010","4.7","1"
"Saint Kitts and Nevis","2008","7.8",""
"Saint Lucia","2008","15.9",""
"Saint Vincent and the Grenadines","2010","8.2",""
"San Marino","2007","9.6",""
"Saudi Arabia","2009","47.6",""
"Serbia","2011","12.8",""
"Seychelles","2010","3.6","1"
"Singapore","2010","2.9",""
"Slovakia","2010","7.9",""
"Slovenia","2010","9.8",""
"South Africa","2009","19.9",""
"Spain","2010","10.2",""
"Sri Lanka","2006","27.7",""
"Suriname","2009","13.5",""
"Sweden","2010","11.3",""
"Switzerland","2010","9.9",""
"Syrian Arab Republic","2009","10.0","1"
"Tajikistan","2005","4.1",""
"Thailand","2006","44.9",""
"The former Yugoslav Republic of Macedonia","2010","13.9",""
"Trinidad and Tobago","2008","5.3",""
"Turkey","2008","11.0","2"
"Ukraine","2011","2.9","1"
"United Arab Emirates","2006","26.0","1"
"United Kingdom","2010","6.3",""
"United States of America","2008","6.7",""
"Uruguay","2009","17.2",""
"Uzbekistan","2005","6.2",""
"Venezuela (Bolivarian Republic of)","2007","7.9",""

"footnoteSeqID","Footnote"
"1","These countries include only data coded to the ICD chapter on symptoms, signs and abnormal clinical and laboratory findings not elsewhere classified."
"2","These countries include only data coded to the ICD chapter on symptoms, signs and abnormal clinical and laboratory findings not elsewhere classified and to ill-defined injuries."
