"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","1 [0.63-1.5]",""
"Afghanistan","2011","0.96 [0.58-1.4]",""
"Afghanistan","2010","0.89 [0.54-1.3]",""
"Afghanistan","2009","0.82 [0.49-1.2]",""
"Afghanistan","2008","0.76 [0.45-1.1]",""
"Afghanistan","2007","0.71 [0.42-1.1]",""
"Afghanistan","2006","0.66 [0.39-1]",""
"Afghanistan","2005","0.63 [0.36-0.96]",""
"Afghanistan","2004","0.6 [0.34-0.92]",""
"Afghanistan","2003","0.57 [0.33-0.87]",""
"Afghanistan","2002","0.54 [0.31-0.84]",""
"Afghanistan","2001","0.52 [0.3-0.81]",""
"Afghanistan","2000","0.5 [0.28-0.77]",""
"Algeria","2012","0.22 [0.16-0.29]",""
"Algeria","2011","0.22 [0.16-0.29]",""
"Algeria","2010","0.22 [0.16-0.28]",""
"Algeria","2009","0.2 [0.15-0.27]",""
"Algeria","2008","0.18 [0.13-0.23]",""
"Algeria","2007","0.18 [0.13-0.24]",""
"Algeria","2006","0.17 [0.13-0.22]",""
"Algeria","2005","0.17 [0.12-0.22]",""
"Algeria","2004","0.14 [0.1-0.18]",""
"Algeria","2003","0.12 [0.09-0.16]",""
"Algeria","2002","0.1 [0.08-0.13]",""
"Algeria","2001","0.09 [0.07-0.12]",""
"Algeria","2000","0.08 [0.06-0.1]",""
"Angola","2012","27 [22-31]",""
"Angola","2011","26 [22-31]",""
"Angola","2010","27 [23-32]",""
"Angola","2009","27 [23-32]",""
"Angola","2008","26 [22-31]",""
"Angola","2007","26 [21-31]",""
"Angola","2006","25 [21-30]",""
"Angola","2005","24 [20-29]",""
"Angola","2004","23 [19-28]",""
"Angola","2003","22 [19-26]",""
"Angola","2002","21 [17-25]",""
"Angola","2001","19 [16-23]",""
"Angola","2000","18 [14-21]",""
"Antigua and Barbuda","2012","1.5 [0.5-3]",""
"Antigua and Barbuda","2011","4.9 [2.6-7.9]",""
"Antigua and Barbuda","2010","7.7 [4.9-11]",""
"Antigua and Barbuda","2006","4.1 [2.2-6.6]",""
"Antigua and Barbuda","2005","4.2 [1.6-7.9]",""
"Argentina","2012","0.66 [0.55-0.78]",""
"Argentina","2011","0.67 [0.55-0.8]",""
"Argentina","2010","0.67 [0.56-0.8]",""
"Argentina","2009","0.67 [0.55-0.8]",""
"Argentina","2008","0.69 [0.57-0.83]",""
"Argentina","2007","0.71 [0.58-0.86]",""
"Argentina","2006","0.75 [0.61-0.9]",""
"Argentina","2005","0.73 [0.59-0.87]",""
"Argentina","2004","0.74 [0.61-0.89]",""
"Argentina","2003","0.76 [0.62-0.91]",""
"Argentina","2002","0.78 [0.65-0.93]",""
"Argentina","2001","0.79 [0.65-0.95]",""
"Argentina","2000","0.79 [0.64-0.95]",""
"Armenia","2012","1.3 [1.1-1.5]",""
"Armenia","2011","1.4 [1.1-1.6]",""
"Armenia","2010","1.6 [1.4-1.9]",""
"Armenia","2009","1.8 [1.6-2.1]",""
"Armenia","2008","2 [1.7-2.2]",""
"Armenia","2007","2 [1.8-2.3]",""
"Armenia","2006","2 [1.8-2.3]",""
"Armenia","2005","2 [1.8-2.2]",""
"Armenia","2004","1.8 [1.6-2.1]",""
"Armenia","2003","1.6 [1.4-1.8]",""
"Armenia","2002","1.4 [1.2-1.6]",""
"Armenia","2001","1.1 [1-1.3]",""
"Armenia","2000","0.92 [0.81-1]",""
"Australia","2012","0.17 [0.14-0.19]",""
"Australia","2011","0.16 [0.14-0.18]",""
"Australia","2010","0.16 [0.14-0.18]",""
"Australia","2009","0.17 [0.14-0.19]",""
"Australia","2008","0.16 [0.14-0.18]",""
"Australia","2007","0.15 [0.13-0.16]",""
"Australia","2006","0.15 [0.13-0.17]",""
"Australia","2005","0.14 [0.12-0.16]",""
"Australia","2004","0.14 [0.12-0.16]",""
"Australia","2003","0.13 [0.11-0.14]",""
"Australia","2002","0.13 [0.12-0.15]",""
"Australia","2001","0.13 [0.12-0.15]",""
"Australia","2000","0.15 [0.13-0.17]",""
"Austria","2012","0.08 [0.07-0.09]",""
"Austria","2011","0.09 [0.08-0.1]",""
"Austria","2010","0.08 [0.07-0.09]",""
"Austria","2009","0.08 [0.07-0.09]",""
"Austria","2008","0.08 [0.07-0.09]",""
"Austria","2007","0.08 [0.07-0.09]",""
"Austria","2006","0.07 [0.06-0.08]",""
"Austria","2005","0.07 [0.06-0.08]",""
"Austria","2004","0.06 [0.05-0.07]",""
"Austria","2003","0.05 [0.05-0.06]",""
"Austria","2002","0.05 [0.05-0.06]",""
"Austria","2001","0.04 [0.04-0.05]",""
"Austria","2000","0.05 [0.04-0.05]",""
"Azerbaijan","2012","1 [0.83-1.2]",""
"Azerbaijan","2011","1.2 [0.97-1.4]",""
"Azerbaijan","2010","1.3 [1.1-1.6]",""
"Azerbaijan","2009","1.5 [1.3-1.8]",""
"Azerbaijan","2008","1.8 [1.5-2.1]",""
"Azerbaijan","2007","2 [1.7-2.4]",""
"Azerbaijan","2006","2.3 [1.9-2.7]",""
"Azerbaijan","2005","2.5 [2.1-3]",""
"Azerbaijan","2004","2.8 [2.3-3.4]",""
"Azerbaijan","2003","2.9 [2.4-3.5]",""
"Azerbaijan","2002","2.9 [2.4-3.4]",""
"Azerbaijan","2001","2.7 [2.2-3.2]",""
"Azerbaijan","2000","2.3 [1.9-2.8]",""
"Bahamas","2012","2.3 [2-2.6]",""
"Bahamas","2011","3.3 [2.9-3.7]",""
"Bahamas","2010","3.7 [3.2-4.2]",""
"Bahamas","2009","5.8 [5.1-6.6]",""
"Bahamas","2008","6.3 [5.5-7.1]",""
"Bahamas","2007","6 [5.2-6.8]",""
"Bahamas","2006","8.1 [7.1-9.1]",""
"Bahamas","2005","6.8 [5.9-7.7]",""
"Bahamas","2004","7.9 [6.9-8.9]",""
"Bahamas","2003","5.9 [5.2-6.7]",""
"Bahamas","2002","7.1 [6.2-8]",""
"Bahamas","2001","9.9 [8.7-11]",""
"Bahamas","2000","14 [12-16]",""
"Bahrain","2012","0.89 [0.25-1.9]",""
"Bahrain","2011","0.9 [0.33-1.8]",""
"Bahrain","2010","0.84 [0.28-1.7]",""
"Bahrain","2009","0.98 [0.39-1.8]",""
"Bahrain","2008","1 [0.37-2]",""
"Bahrain","2007","1.1 [0.41-2.2]",""
"Bahrain","2004","1.1 [0.32-2.5]",""
"Bangladesh","2012","0.16 [0.13-0.19]",""
