"Country or Area","Year(s)","GENDER","EDUCATION LEVEL","RESIDENCE AREA","WEALTH QUINTILE","Value","Value Footnotes"
"Albania","2008","","","Urban","","12.4",""
"Albania","2008","","","Rural","","23.5",""
"Albania","2008","","","","Q1 (Poorest)","29.1",""
"Albania","2008","","","","Q2","9.8",""
"Albania","2008","","","","Q3","23.0",""
"Albania","2008","","","","Q4","17.5",""
"Albania","2008","","","","Q5 (Richest)","13.3",""
"Albania","2008","","Primary","","","21.1",""
"Albania","2008","","Secondary or higher","","","15.7",""
"Albania","2008","Female","","","","15.5",""
"Albania","2008","Male","","","","22.4",""
"Armenia","2010","","","Urban","","16.3",""
"Armenia","2010","","","Rural","","22.0",""
"Armenia","2010","","","","Q1 (Poorest)","21.0",""
"Armenia","2010","","","","Q2","21.4",""
"Armenia","2010","","","","Q3","17.3",""
"Armenia","2010","","","","Q4","12.0",""
"Armenia","2010","","","","Q5 (Richest)","20.7",""
"Armenia","2010","","Secondary or higher","","","18.6",""
"Armenia","2010","Female","","","","20.3",""
"Armenia","2010","Male","","","","17.0",""
"Armenia","2005","","","Urban","","24.8",""
"Armenia","2005","","","Rural","","30.8",""
"Armenia","2005","","","","Q1 (Poorest)","40.1",""
"Armenia","2005","","","","Q2","25.8",""
"Armenia","2005","","","","Q3","23.1",""
"Armenia","2005","","","","Q4","31.1",""
"Armenia","2005","","","","Q5 (Richest)","13.4",""
"Armenia","2005","","Secondary or higher","","","27.6",""
"Armenia","2005","Female","","","","25.4",""
"Armenia","2005","Male","","","","29.0",""
"Armenia","2000","","","Urban","","35.1",""
"Armenia","2000","","","Rural","","53.0",""
"Armenia","2000","","","","Q1 (Poorest)","52.9",""
"Armenia","2000","","","","Q2","50.5",""
"Armenia","2000","","","","Q3","36.8",""
"Armenia","2000","","","","Q4","47.7",""
"Armenia","2000","","","","Q5 (Richest)","26.1",""
"Armenia","2000","","Secondary or higher","","","44.0",""
"Armenia","2000","Female","","","","42.1",""
"Armenia","2000","Male","","","","45.3",""
"Azerbaijan","2006","","","Urban","","45.2",""
"Azerbaijan","2006","","","Rural","","52.0",""
"Azerbaijan","2006","","","","Q1 (Poorest)","52.3",""
"Azerbaijan","2006","","","","Q2","59.4",""
"Azerbaijan","2006","","","","Q3","52.0",""
"Azerbaijan","2006","","","","Q4","39.1",""
"Azerbaijan","2006","","","","Q5 (Richest)","34.1",""
"Azerbaijan","2006","","Secondary or higher","","","48.4",""
"Azerbaijan","2006","Female","","","","41.0",""
"Azerbaijan","2006","Male","","","","54.9",""
"Bangladesh","2007","","","Urban","","50.5",""
"Bangladesh","2007","","","Rural","","58.7",""
"Bangladesh","2007","","","","Q1 (Poorest)","66.2",""
"Bangladesh","2007","","","","Q2","67.1",""
"Bangladesh","2007","","","","Q3","62.4",""
"Bangladesh","2007","","","","Q4","46.1",""
"Bangladesh","2007","","","","Q5 (Richest)","35.9",""
"Bangladesh","2007","","None","","","70.7",""
"Bangladesh","2007","","Primary","","","58.2",""
"Bangladesh","2007","","Secondary or higher","","","41.3",""
"Bangladesh","2007","Female","","","","53.2",""
"Bangladesh","2007","Male","","","","60.7",""
"Bangladesh","2004","","","Urban","","72.3",""
"Bangladesh","2004","","","Rural","","71.9",""
"Bangladesh","2004","","","","Q1 (Poorest)","89.4",""
"Bangladesh","2004","","","","Q2","65.8",""
"Bangladesh","2004","","","","Q3","74.6",""
"Bangladesh","2004","","","","Q4","58.7",""
"Bangladesh","2004","","","","Q5 (Richest)","63.8",""
"Bangladesh","2004","","None","","","81.3",""
"Bangladesh","2004","","Primary","","","72.7",""
"Bangladesh","2004","","Secondary or higher","","","53.5",""
"Bangladesh","2004","Female","","","","64.0",""
"Bangladesh","2004","Male","","","","79.6",""
"Benin","2006","","","Urban","","65.5",""
"Benin","2006","","","Rural","","81.4",""
"Benin","2006","","","","Q1 (Poorest)","80.0",""
"Benin","2006","","","","Q2","83.0",""
"Benin","2006","","","","Q3","80.2",""
"Benin","2006","","","","Q4","78.1",""
"Benin","2006","","","","Q5 (Richest)","52.3",""
"Benin","2006","","None","","","78.8",""
"Benin","2006","","Primary","","","72.6",""
"Benin","2006","","Secondary or higher","","","51.5",""
"Benin","2006","Female","","","","71.8",""
"Benin","2006","Male","","","","80.4",""
"Benin","2001","","","Urban","","72.9",""
"Benin","2001","","","Rural","","104.8",""
"Benin","2001","","","","Q1 (Poorest)","112.0",""
"Benin","2001","","","","Q2","108.9",""
"Benin","2001","","","","Q3","106.1",""
"Benin","2001","","","","Q4","78.4",""
"Benin","2001","","","","Q5 (Richest)","49.7",""
"Benin","2001","","None","","","100.3",""
"Benin","2001","","Primary","","","88.2",""
"Benin","2001","","Secondary or higher","","","53.0",""
"Benin","2001","Female","","","","92.3",""
"Benin","2001","Male","","","","97.8",""
"Bolivia (Plurinational State of)","2008","","","Urban","","42.6",""
"Bolivia (Plurinational State of)","2008","","","Rural","","74.2",""
"Bolivia (Plurinational State of)","2008","","","","Q1 (Poorest)","88.7",""
"Bolivia (Plurinational State of)","2008","","","","Q2","64.4",""
"Bolivia (Plurinational State of)","2008","","","","Q3","48.1",""
"Bolivia (Plurinational State of)","2008","","","","Q4","37.1",""
"Bolivia (Plurinational State of)","2008","","","","Q5 (Richest)","26.3",""
"Bolivia (Plurinational State of)","2008","","None","","","106.9",""
"Bolivia (Plurinational State of)","2008","","Primary","","","63.9",""
"Bolivia (Plurinational State of)","2008","","Secondary or higher","","","36.0",""
"Bolivia (Plurinational State of)","2008","Female","","","","52.8",""
"Bolivia (Plurinational State of)","2008","Male","","","","62.3",""
"Bolivia (Plurinational State of)","2003","","","Urban","","57.4",""
"Bolivia (Plurinational State of)","2003","","","Rural","","81.2",""
"Bolivia (Plurinational State of)","2003","","","","Q1 (Poorest)","87.3",""
"Bolivia (Plurinational State of)","2003","","","","Q2","81.7",""
"Bolivia (Plurinational State of)","2003","","","","Q3","63.4",""
"Bolivia (Plurinational State of)","2003","","","","Q4","50.7",""
"Bolivia (Plurinational State of)","2003","","","","Q5 (Richest)","32.6",""
"Bolivia (Plurinational State of)","2003","","None","","","102.4",""
"Bolivia (Plurinational State of)","2003","","Primary","","","74.1",""
"Bolivia (Plurinational State of)","2003","","Secondary or higher","","","39.2",""
"Bolivia (Plurinational State of)","2003","Female","","","","64.3",""
"Bolivia (Plurinational State of)","2003","Male","","","","71.2",""
"Burkina Faso","2003","","","Urban","","70.3",""
"Burkina Faso","2003","","","Rural","","95.1",""
"Burkina Faso","2003","","","","Q1 (Poorest)","97.2",""
"Burkina Faso","2003","","","","Q2","108.7",""
"Burkina Faso","2003","","","","Q3","81.9",""
"Burkina Faso","2003","","","","Q4","93.2",""
"Burkina Faso","2003","","","","Q5 (Richest)","77.8",""
"Burkina Faso","2003","","None","","","94.2",""
"Burkina Faso","2003","","Primary","","","72.8",""
"Burkina Faso","2003","","Secondary or higher","","","73.4",""
"Burkina Faso","2003","Female","","","","88.6",""
"Burkina Faso","2003","Male","","","","95.3",""
"Cambodia","2010","","","Urban","","21.9",""
"Cambodia","2010","","","Rural","","63.6",""
"Cambodia","2010","","","","Q1 (Poorest)","76.9",""
"Cambodia","2010","","","","Q2","70.2",""
"Cambodia","2010","","","","Q3","60.9",""
"Cambodia","2010","","","","Q4","38.2",""
"Cambodia","2010","","","","Q5 (Richest)","22.7",""
"Cambodia","2010","","None","","","71.9",""
"Cambodia","2010","","Primary","","","61.6",""
"Cambodia","2010","","Secondary or higher","","","31.0",""
"Cambodia","2010","Female","","","","48.0",""
"Cambodia","2010","Male","","","","66.1",""
"Cambodia","2005","","","Urban","","65.1",""
"Cambodia","2005","","","Rural","","91.4",""
"Cambodia","2005","","","","Q1 (Poorest)","100.2",""
"Cambodia","2005","","","","Q2","108.0",""
"Cambodia","2005","","","","Q3","97.3",""
"Cambodia","2005","","","","Q4","78.4",""
"Cambodia","2005","","","","Q5 (Richest)","34.6",""
"Cambodia","2005","","None","","","110.4",""
"Cambodia","2005","","Primary","","","89.2",""
"Cambodia","2005","","Secondary or higher","","","44.9",""
"Cambodia","2005","Female","","","","78.8",""
"Cambodia","2005","Male","","","","96.8",""
"Cambodia","2000","","","Urban","","72.9",""
"Cambodia","2000","","","Rural","","95.7",""
"Cambodia","2000","","","","Q1 (Poorest)","109.6",""
"Cambodia","2000","","","","Q2","108.7",""
"Cambodia","2000","","","","Q3","88.1",""
"Cambodia","2000","","","","Q4","89.0",""
"Cambodia","2000","","","","Q5 (Richest)","49.8",""
"Cambodia","2000","","None","","","102.8",""
"Cambodia","2000","","Primary","","","93.5",""
"Cambodia","2000","","Secondary or higher","","","60.2",""
"Cambodia","2000","Female","","","","82.3",""
"Cambodia","2000","Male","","","","102.9",""
"Cameroon","2004","","","Urban","","67.5",""
"Cameroon","2004","","","Rural","","91.2",""
"Cameroon","2004","","","","Q1 (Poorest)","100.2",""
"Cameroon","2004","","","","Q2","91.1",""
"Cameroon","2004","","","","Q3","83.0",""
"Cameroon","2004","","","","Q4","62.9",""
"Cameroon","2004","","","","Q5 (Richest)","51.1",""
"Cameroon","2004","","None","","","94.1",""
"Cameroon","2004","","Primary","","","84.5",""
"Cameroon","2004","","Secondary or higher","","","58.6",""
"Cameroon","2004","Female","","","","74.2",""
"Cameroon","2004","Male","","","","87.8",""
"Chad","2004","","","Urban","","94.0",""
"Chad","2004","","","Rural","","120.3",""
"Chad","2004","","","","Q1 (Poorest)","109.5",""
"Chad","2004","","","","Q2","122.8",""
"Chad","2004","","","","Q3","118.0",""
"Chad","2004","","","","Q4","123.4",""
"Chad","2004","","","","Q5 (Richest)","99.8",""
"Chad","2004","","None","","","116.0",""
"Chad","2004","","Primary","","","122.1",""
"Chad","2004","","Secondary or higher","","","66.5","1"
"Chad","2004","Female","","","","107.8",""
"Chad","2004","Male","","","","122.9",""
"Colombia","2010","","","Urban","","18.1",""
"Colombia","2010","","","Rural","","17.6",""
"Colombia","2010","","","","Q1 (Poorest)","21.6",""
"Colombia","2010","","","","Q2","18.6",""
"Colombia","2010","","","","Q3","17.4",""
"Colombia","2010","","","","Q4","17.1",""
"Colombia","2010","","","","Q5 (Richest)","12.0",""
"Colombia","2010","","None","","","38.0",""
"Colombia","2010","","Primary","","","22.0",""
"Colombia","2010","","Secondary or higher","","","15.3",""
"Colombia","2010","Female","","","","15.9",""
"Colombia","2010","Male","","","","19.9",""
"Colombia","2005","","","Urban","","20.4",""
"Colombia","2005","","","Rural","","26.1",""
"Colombia","2005","","","","Q1 (Poorest)","32.0",""
"Colombia","2005","","","","Q2","24.0",""
"Colombia","2005","","","","Q3","20.8",""
"Colombia","2005","","","","Q4","14.1",""
