"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2010","0",""
"Albania","2012","0",""
"Albania","2010","0",""
"Albania","2009","0",""
"Algeria","2012","0",""
"Algeria","2011","0.00",""
"Algeria","2010","0",""
"Andorra","2012","0",""
"Andorra","2011","0.00",""
"Andorra","2010","0",""
"Andorra","2009","0",""
"Antigua and Barbuda","2012","0",""
"Antigua and Barbuda","2011","0.00",""
"Antigua and Barbuda","2010","0",""
"Antigua and Barbuda","2009","0",""
"Argentina","2012","0",""
"Argentina","2011","0.00",""
"Argentina","2010","0",""
"Argentina","2009","0",""
"Armenia","2012","0",""
"Armenia","2011","0.00",""
"Armenia","2010","0",""
"Armenia","2009","0",""
"Australia","2012","1",""
"Australia","2011","0.00",""
"Australia","2010","0",""
"Australia","2009","0",""
"Azerbaijan","2012","0",""
"Azerbaijan","2011","0.00",""
"Azerbaijan","2010","0",""
"Bahamas","2012","0",""
"Bahamas","2011","0.00",""
"Bahamas","2010","0",""
"Bahamas","2009","0",""
"Bahrain","2012","0",""
"Bahrain","2011","0.00",""
"Bahrain","2010","0",""
"Bahrain","2009","0",""
"Barbados","2012","0",""
"Barbados","2011","0.00",""
"Barbados","2010","0",""
"Barbados","2009","0",""
"Belarus","2012","0",""
"Belarus","2011","0.00",""
"Belarus","2010","0",""
"Belarus","2009","0",""
"Belgium","2012","1",""
"Belgium","2011","0.00",""
"Belgium","2010","0",""
"Belgium","2009","0",""
"Belize","2012","0",""
"Belize","2011","0.00",""
"Belize","2010","0",""
"Belize","2009","0",""
"Benin","2012","0",""
"Bhutan","2012","0",""
"Bhutan","2010","0",""
"Bhutan","2009","0",""
"Bolivia (Plurinational State of)","2012","0",""
"Bolivia (Plurinational State of)","2011","0.00",""
"Bolivia (Plurinational State of)","2010","0",""
"Bolivia (Plurinational State of)","2009","0",""
"Bosnia and Herzegovina","2012","0",""
"Bosnia and Herzegovina","2011","0.00",""
"Brazil","2012","0",""
"Brazil","2011","0.00",""
"Brazil","2010","0",""
"Brazil","2009","19",""
"Brunei Darussalam","2012","0",""
"Brunei Darussalam","2011","0.00",""
"Brunei Darussalam","2010","0",""
"Brunei Darussalam","2009","0",""
"Bulgaria","2012","0",""
"Bulgaria","2011","0.00",""
"Bulgaria","2010","0",""
"Bulgaria","2009","0",""
"Burkina Faso","2011","0.00",""
"Burundi","2011","0.00",""
"Burundi","2010","0",""
"Burundi","2009","0",""
"Cabo Verde","2012","0",""
"Cabo Verde","2011","0.00",""
"Cabo Verde","2010","16",""
"Cabo Verde","2009","46",""
"Cambodia","2012","32",""
"Cambodia","2011","9.00",""
"Canada","2012","0",""
"Canada","2011","1.00",""
"Canada","2010","0",""
"Canada","2009","1",""
"Chile","2012","0",""
"Chile","2011","0.00",""
"Chile","2010","0",""
"Chile","2009","0",""
"Colombia","2012","0",""
"Colombia","2011","0.00",""
"Colombia","2010","0",""
"Colombia","2009","0",""
"Congo","2012","0",""
"Congo","2010","0",""
"Congo","2009","0",""
"Cook Islands","2012","0",""
"Cook Islands","2011","0.00",""
"Cook Islands","2010","0",""
"Cook Islands","2009","0",""
"Costa Rica","2012","0",""
"Costa Rica","2011","0.00",""
"Costa Rica","2010","0",""
"Costa Rica","2009","0",""
"Croatia","2012","0",""
"Croatia","2011","0.00",""
"Croatia","2010","0",""
"Croatia","2009","0",""
"Cuba","2012","0",""
"Cuba","2011","0.00",""
"Cuba","2010","0",""
"Cuba","2009","0",""
"Cyprus","2012","0",""
"Cyprus","2011","0.00",""
"Cyprus","2010","0",""
"Cyprus","2009","0",""
"Czech Republic","2012","1",""
"Czech Republic","2011","1.00",""
"Czech Republic","2010","0",""
"Czech Republic","2009","0",""
"Democratic People's Republic of Korea","2012","0",""
"Democratic People's Republic of Korea","2011","0.00",""
"Democratic Republic of the Congo","2009","1",""
"Denmark","2012","0",""
"Denmark","2011","0.00",""
"Denmark","2010","0",""
"Djibouti","2010","5",""
"Djibouti","2009","16",""
"Dominica","2012","0",""
"Dominica","2011","0.00",""
"Dominica","2010","0",""
"Dominica","2009","0",""
"Dominican Republic","2012","0",""
"Dominican Republic","2011","0.00",""
"Dominican Republic","2010","0",""
"Dominican Republic","2009","0",""
"Ecuador","2012","0",""
"Ecuador","2011","0.00",""
"Ecuador","2010","0",""
"Ecuador","2009","0",""
"El Salvador","2012","0",""
"El Salvador","2011","0.00",""
"El Salvador","2010","0",""
"El Salvador","2009","0",""
"Equatorial Guinea","2012","0",""
"Equatorial Guinea","2011","0.00",""
"Estonia","2012","0",""
"Estonia","2011","0.00",""
"Estonia","2010","0",""
"Estonia","2009","0",""
"Fiji","2010","0",""
"Fiji","2009","0",""
"Finland","2011","1.00",""
"Finland","2009","0",""
"France","2011","0.00",""
"Gambia","2012","0",""
"Gambia","2011","0.00",""
"Gambia","2010","0",""
"Gambia","2009","0",""
"Georgia","2012","0",""
"Georgia","2011","0.00",""
"Georgia","2010","0",""
"Georgia","2009","0",""
"Germany","2012","1",""
"Germany","2011","0.00",""
"Germany","2010","0",""
"Germany","2009","2",""
"Ghana","2012","0",""
"Greece","2012","0",""
"Greece","2011","0.00",""
"Greece","2010","0",""
"Greece","2009","0",""
"Grenada","2012","0",""
"Grenada","2011","0.00",""
"Grenada","2010","0",""
"Grenada","2009","0",""
"Guatemala","2012","0",""
"Guatemala","2011","0.00",""
"Guatemala","2010","0",""
"Guatemala","2009","0",""
"Guinea","2010","0",""
"Guinea","2009","0",""
"Guinea-Bissau","2012","0",""
"Guinea-Bissau","2010","0",""
"Guinea-Bissau","2009","0",""
"Guyana","2012","0",""
"Guyana","2011","0.00",""
"Guyana","2010","0",""
"Guyana","2009","0",""
"Haiti","2012","0",""
"Haiti","2011","0.00",""
"Haiti","2010","0",""
"Haiti","2009","0",""
"Honduras","2012","0",""
"Honduras","2011","0.00",""
"Honduras","2010","0",""
"Honduras","2009","0",""
"Hungary","2012","0",""
"Hungary","2011","0.00",""
"Hungary","2010","0",""
"Hungary","2009","0",""
"Iceland","2012","0",""
"Iceland","2011","0.00",""
"Iceland","2010","0",""
"Iceland","2009","0",""
"Iran (Islamic Republic of)","2012","0",""
"Iran (Islamic Republic of)","2011","0.00",""
"Iran (Islamic Republic of)","2010","0",""
"Iran (Islamic Republic of)","2009","49",""
"Iraq","2011","1.00",""
"Ireland","2012","0",""
"Ireland","2011","0.00",""
"Ireland","2010","0",""
"Ireland","2009","0",""
"Israel","2012","0",""
"Israel","2011","0.00",""
"Israel","2010","0",""
"Israel","2009","0",""
"Italy","2011","0.00",""
"Italy","2010","0",""
"Italy","2009","6",""
"Jamaica","2012","0",""
"Jamaica","2011","0.00",""
"Jamaica","2010","0",""
"Jamaica","2009","0",""
"Japan","2012","5",""
"Japan","2011","1.00",""
"Japan","2010","0",""
"Japan","2009","2",""
"Jordan","2012","0",""
"Jordan","2011","0.00",""
"Jordan","2010","0",""
"Jordan","2009","0",""
"Kazakhstan","2012","0",""
"Kazakhstan","2011","0.00",""
"Kazakhstan","2010","0",""
"Kazakhstan","2009","1",""
"Kenya","2012","0",""
"Kenya","2011","0.00",""
"Kiribati","2012","0",""
