"Country or Area","Year(s)","Value","Value Footnotes"
"Azerbaijan","2012","0.00",""
"Bangladesh","2012","3.00",""
"Bangladesh","2011","2",""
"Cambodia","2012","3.00",""
"Cambodia","2011","8",""
"Cambodia","2010","1",""
"China","2012","2.00",""
"China","2011","1",""
"China","2010","2",""
"Djibouti","2012","0.00",""
"Egypt","2012","11.00",""
"Egypt","2011","39",""
"Egypt","2010","29",""
"Indonesia","2012","9.00",""
"Indonesia","2011","12",""
"Indonesia","2010","9",""
"Iraq","2012","0.00",""
"Lao People's Democratic Republic","2012","0.00",""
"Myanmar","2012","0.00",""
"Nigeria","2012","0.00",""
"Pakistan","2012","0.00",""
"Thailand","2012","0.00",""
"Turkey","2012","0.00",""
"Viet Nam","2012","4.00",""
"Viet Nam","2010","7",""

