"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2010","0",""
"Albania","2012","0",""
"Albania","2010","0",""
"Algeria","2012","0",""
"Algeria","2011","0.00",""
"Algeria","2010","0",""
"Algeria","2009","0",""
"Angola","2011","0.00",""
"Armenia","2011","0.00",""
"Armenia","2010","0",""
"Australia","2012","1",""
"Australia","2011","0.00",""
"Australia","2010","0",""
"Australia","2009","0",""
"Austria","2012","0",""
"Austria","2011","0.00",""
"Austria","2010","0",""
"Austria","2009","0",""
"Azerbaijan","2012","0",""
"Azerbaijan","2011","0.00",""
"Azerbaijan","2010","0",""
"Bahrain","2012","0",""
"Bahrain","2011","0.00",""
"Bahrain","2010","0",""
"Bahrain","2009","0",""
"Bangladesh","2012","52",""
"Bangladesh","2011","103.00",""
"Bangladesh","2010","15",""
"Bangladesh","2009","15",""
"Belarus","2012","0",""
"Belarus","2011","0.00",""
"Belarus","2010","0",""
"Belarus","2009","0",""
"Belgium","2012","0",""
"Belgium","2011","0.00",""
"Belgium","2010","0",""
"Belgium","2009","0",""
"Bhutan","2012","27",""
"Bhutan","2011","3.00",""
"Bhutan","2010","0",""
"Bhutan","2009","0",""
"Bosnia and Herzegovina","2011","0.00",""
"Brunei Darussalam","2012","0",""
"Brunei Darussalam","2011","0.00",""
"Brunei Darussalam","2009","0",""
"Bulgaria","2012","0",""
"Bulgaria","2011","0.00",""
"Bulgaria","2010","0",""
"Bulgaria","2009","0",""
"Burundi","2011","0.00",""
"Burundi","2010","0",""
"Burundi","2009","0",""
"Cabo Verde","2012","0",""
"Cabo Verde","2011","0.00",""
"Cabo Verde","2010","0",""
"Cabo Verde","2009","0",""
"Cambodia","2012","55",""
"Cambodia","2011","45.00",""
"Cambodia","2010","41",""
"Cambodia","2009","193",""
"China","2012","1763",""
"China","2011","1625.00",""
"China","2010","2541",""
"China","2009","3913",""
"Congo","2012","0",""
"Congo","2010","0",""
"Congo","2009","0",""
"Cook Islands","2012","0",""
"Cook Islands","2010","0",""
"Croatia","2012","0",""
"Croatia","2011","0.00",""
"Croatia","2010","0",""
"Czech Republic","2012","0",""
"Czech Republic","2011","0.00",""
"Czech Republic","2010","1",""
"Czech Republic","2009","0",""
"Democratic People's Republic of Korea","2012","0",""
"Democratic People's Republic of Korea","2011","0.00",""
"Democratic People's Republic of Korea","2009","10",""
"Djibouti","2010","0",""
"Djibouti","2009","0",""
"Estonia","2012","0",""
"Estonia","2011","0.00",""
"Estonia","2010","0",""
"Estonia","2009","0",""
"Fiji","2010","0",""
"Fiji","2009","0",""
"Finland","2011","0.00",""
"Finland","2010","0",""
"Finland","2009","0",""
"Gambia","2012","0",""
"Gambia","2011","0.00",""
"Gambia","2010","0",""
"Gambia","2009","0",""
"Georgia","2012","0",""
"Georgia","2011","0.00",""
"Georgia","2010","0",""
"Georgia","2009","0",""
"Ghana","2010","0",""
"Greece","2012","0",""
"Greece","2011","0.00",""
"Greece","2010","0",""
"Guinea","2010","0",""
"Guinea","2009","0",""
"Guinea-Bissau","2012","0",""
"Guinea-Bissau","2011","0.00",""
"Guinea-Bissau","2010","0",""
"Guinea-Bissau","2009","0",""
"Hungary","2011","0.00",""
"Hungary","2010","0",""
"Hungary","2009","0",""
"Iceland","2012","0",""
"Iceland","2011","0.00",""
"Iceland","2010","0",""
"Iceland","2009","0",""
"India","2011","8247.00",""
"India","2010","5171",""
"Ireland","2012","0",""
"Ireland","2011","0.00",""
"Ireland","2010","0",""
"Ireland","2009","0",""
"Japan","2012","2",""
"Japan","2011","9.00",""
"Japan","2010","4",""
"Japan","2009","3",""
"Jordan","2011","0.00",""
"Jordan","2010","0",""
"Jordan","2009","0",""
"Kazakhstan","2012","0",""
"Kazakhstan","2010","0",""
"Kazakhstan","2009","0",""
"Kenya","2012","0",""
"Kenya","2011","0.00",""
"Kiribati","2012","0",""
"Kiribati","2011","0.00",""
"Kiribati","2010","0",""
"Kiribati","2009","0",""
"Kuwait","2012","0",""
"Kuwait","2011","0.00",""
"Kuwait","2010","0",""
"Lao People's Democratic Republic","2012","23",""
"Lao People's Democratic Republic","2011","24.00",""
"Lao People's Democratic Republic","2010","82",""
"Lao People's Democratic Republic","2009","26",""
"Latvia","2012","0",""
"Latvia","2011","0.00",""
"Latvia","2010","0",""
"Latvia","2009","0",""
"Lebanon","2012","0",""
"Lebanon","2010","0",""
"Lebanon","2009","0",""
"Lesotho","2012","0",""
"Lesotho","2011","0.00",""
"Lesotho","2010","0",""
"Lesotho","2009","0",""
"Liberia","2012","0",""
"Liberia","2011","0.00",""
"Liberia","2009","0",""
"Libya","2012","0",""
"Lithuania","2012","0",""
"Lithuania","2011","0.00",""
"Lithuania","2009","0",""
"Luxembourg","2011","0.00",""
"Luxembourg","2010","0",""
"Luxembourg","2009","0",""
"Madagascar","2011","0.00",""
"Madagascar","2010","0",""
"Madagascar","2009","0",""
"Malaysia","2012","22",""
"Malaysia","2011","12.00",""
"Malaysia","2010","0",""
"Malaysia","2009","9",""
"Maldives","2012","0",""
"Maldives","2011","0.00",""
"Maldives","2010","0",""
"Maldives","2009","0",""
"Malta","2011","0.00",""
"Malta","2010","0",""
"Malta","2009","0",""
"Marshall Islands","2012","0",""
"Marshall Islands","2011","0.00",""
"Marshall Islands","2010","0",""
"Marshall Islands","2009","0",""
"Mauritius","2012","0",""
"Mauritius","2011","0.00",""
"Mauritius","2010","0",""
"Mauritius","2009","0",""
"Micronesia (Federated States of)","2010","0",""
"Micronesia (Federated States of)","2009","0",""
"Mongolia","2012","0",""
"Mongolia","2011","0.00",""
"Mongolia","2010","0",""
"Mongolia","2009","0",""
"Montenegro","2012","0",""
"Montenegro","2011","0.00",""
"Montenegro","2009","0",""
"Morocco","2011","0.00",""
"Myanmar","2012","14",""
"Myanmar","2011","20.00",""
"Myanmar","2010","18",""
"Myanmar","2009","8",""
"Namibia","2011","0.00",""
"Namibia","2010","0",""
"Nauru","2011","0.00",""
"Nauru","2009","0",""
"Nepal","2012","75",""
"Nepal","2011","126.00",""
"Nepal","2010","183",""
"Nepal","2009","146",""
"New Zealand","2012","0",""
"New Zealand","2011","0.00",""
"New Zealand","2010","0",""
"New Zealand","2009","0",""
"Niger","2012","0",""
"Niger","2010","0",""
"Nigeria","2011","0.00",""
"Niue","2012","0",""
"Niue","2011","0.00",""
"Niue","2010","0",""
"Niue","2009","0",""
"Norway","2012","0",""
"Norway","2011","0.00",""
"Norway","2010","0",""
"Norway","2009","0",""
"Oman","2012","0",""
"Oman","2011","0.00",""
"Oman","2010","0",""
"Oman","2009","0",""
"Palau","2012","0",""
"Palau","2011","0.00",""
"Palau","2010","0",""
"Palau","2009","0",""
"Papua New Guinea","2012","0",""
"Philippines","2010","181",""
"Philippines","2009","5",""
"Poland","2012","0",""
"Poland","2010","0",""
"Poland","2009","0",""
"Qatar","2012","0",""
"Qatar","2011","0.00",""
"Qatar","2010","0",""
"Qatar","2009","0",""
"Republic of Korea","2012","20",""
"Republic of Korea","2011","3.00",""
"Republic of Korea","2010","26",""
"Republic of Korea","2009","3",""
"Republic of Moldova","2012","0",""
