"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","54840",""
"Afghanistan","2011","77549",""
"Afghanistan","2010","69397",""
"Afghanistan","2009","64880",""
"Afghanistan","2008","81574",""
"Afghanistan","2007","92202",""
"Afghanistan","2006","86129",""
"Afghanistan","2005","116444",""
"Afghanistan","2004","242022",""
"Afghanistan","2003","360940",""
"Afghanistan","2002","415356",""
"Afghanistan","2000","94475",""
"Algeria","2012","59",""
"Algeria","2011","4",""
"Algeria","2010","12",""
"Algeria","2009","4",""
"Algeria","2008","4",""
"Algeria","2007","27",""
"Algeria","2006","1",""
"Algeria","2005","2",""
"Algeria","2004","3",""
"Algeria","2003","6",""
"Algeria","2002","8",""
"Algeria","2001","8",""
"Algeria","2000","35",""
"Angola","2012","1496834",""
"Angola","2011","1632282",""
"Angola","2010","1682870",""
"Angola","2009","1573422",""
"Angola","2008","1377992",""
"Angola","2007","1533485",""
"Angola","2006","1082398",""
"Angola","2005","889572",""
"Argentina","2012","0",""
"Argentina","2011","0",""
"Argentina","2010","26",""
"Argentina","2009","86",""
"Argentina","2008","130",""
"Argentina","2007","387",""
"Argentina","2006","212",""
"Argentina","2005","252",""
"Argentina","2004","115",""
"Argentina","2003","122",""
"Argentina","2002","125",""
"Argentina","2001","215",""
"Argentina","2000","440",""
"Azerbaijan","2012","3",""
"Azerbaijan","2011","4",""
"Azerbaijan","2010","50",""
"Azerbaijan","2009","78",""
"Azerbaijan","2008","72",""
"Azerbaijan","2007","108",""
"Azerbaijan","2006","141",""
"Azerbaijan","2005","242",""
"Azerbaijan","2004","386",""
"Azerbaijan","2003","480",""
"Azerbaijan","2002","505",""
"Azerbaijan","2001","1055",""
"Azerbaijan","2000","1526",""
"Bangladesh","2012","9901",""
"Bangladesh","2011","51773",""
"Bangladesh","2010","55873",""
"Bangladesh","2009","63873",""
"Bangladesh","2008","84690",""
"Bangladesh","2007","59866",""
"Bangladesh","2006","32857",""
"Bangladesh","2005","48121",""
"Bangladesh","2004","58894",""
"Bangladesh","2003","54654",""
"Bangladesh","2002","62269",""
"Bangladesh","2001","54216",""
"Bangladesh","2000","55599",""
"Belize","2012","37",""
"Belize","2011","79",""
"Belize","2010","150",""
"Belize","2009","256",""
"Belize","2008","540",""
"Belize","2007","845",""
"Belize","2006","844",""
"Belize","2005","1549",""
"Belize","2004","1066",""
"Belize","2003","1084",""
"Belize","2002","1134",""
"Belize","2001","1162",""
"Belize","2000","1486",""
"Benin","2012","705839",""
"Benin","2011","422968",""
"Benin","2009","889597",""
"Bhutan","2012","82",""
"Bhutan","2011","194",""
"Bhutan","2010","436",""
"Bhutan","2009","972",""
"Bhutan","2008","329",""
"Bhutan","2007","793",""
"Bhutan","2006","1868",""
"Bhutan","2005","1825",""
"Bhutan","2004","2670",""
"Bhutan","2003","3806",""
"Bhutan","2002","6511",""
"Bhutan","2001","5982",""
"Bhutan","2000","5935",""
"Bolivia (Plurinational State of)","2012","7415",""
"Bolivia (Plurinational State of)","2011","7126",""
"Bolivia (Plurinational State of)","2010","13748",""
"Bolivia (Plurinational State of)","2009","9743",""
"Bolivia (Plurinational State of)","2008","9742",""
"Bolivia (Plurinational State of)","2007","14610",""
"Bolivia (Plurinational State of)","2006","19725",""
"Bolivia (Plurinational State of)","2005","21442",""
"Bolivia (Plurinational State of)","2004","14910",""
"Bolivia (Plurinational State of)","2003","20343",""
"Bolivia (Plurinational State of)","2002","14276",""
"Bolivia (Plurinational State of)","2001","15765",""
"Bolivia (Plurinational State of)","2000","31469",""
"Botswana","2012","193",""
"Botswana","2011","432",""
"Botswana","2010","1046",""
"Botswana","2009","1024",""
"Botswana","2008","927",""
"Botswana","2007","390",""
"Botswana","2006","2548",""
"Botswana","2005","530",""
"Botswana","2004","3453",""
"Botswana","2003","1830",""
"Botswana","2002","1588",""
"Botswana","2001","4716",""
"Botswana","2000","8056",""
"Brazil","2012","242758",""
"Brazil","2011","267146",""
"Brazil","2010","334667",""
"Brazil","2009","309316",""
"Brazil","2008","315746",""
"Brazil","2007","458652",""
"Brazil","2006","549469",""
"Brazil","2005","606067",""
"Brazil","2004","465004",""
"Brazil","2003","408886",""
"Brazil","2002","348259",""
"Brazil","2001","388303",""
"Brazil","2000","613241",""
"Burkina Faso","2012","3858046",""
"Burkina Faso","2011","428113",""
"Burkina Faso","2010","804539",""
"Burkina Faso","2009","182527",""
"Burkina Faso","2008","36514",""
"Burkina Faso","2007","44246",""
"Burkina Faso","2006","44265",""
"Burkina Faso","2005","21335",""
"Burkina Faso","2004","18256",""
"Burkina Faso","2003","0",""
"Burkina Faso","2002","0",""
"Burkina Faso","2001","0",""
"Burundi","2012","2151076",""
"Burundi","2011","1571874",""
"Burundi","2010","1763447",""
"Burundi","2009","1185622",""
"Burundi","2008","876741",""
"Burundi","2007","1101644",""
"Burundi","2006","791731",""
"Burundi","2005","327464",""
"Burundi","2004","363395",""
"Burundi","2003","353459",""
"Burundi","2002","327138",""
"Burundi","2001","312015",""
"Burundi","2000","308095",""
"Cabo Verde","2012","1",""
"Cabo Verde","2011","36",""
"Cabo Verde","2010","18",""
"Cabo Verde","2009","65",""
"Cabo Verde","2008","16",""
"Cabo Verde","2007","2",""
"Cabo Verde","2006","63",""
"Cabo Verde","2005","54",""
"Cabo Verde","2004","32",""
"Cabo Verde","2003","48",""
"Cabo Verde","2002","58",""
"Cabo Verde","2001","100",""
"Cabo Verde","2000","129",""
"Cambodia","2012","40476",""
"Cambodia","2011","57423",""
"Cambodia","2010","49356",""
"Cambodia","2009","64595",""
"Cambodia","2008","42124",""
"Cambodia","2007","42518",""
"Cambodia","2006","78696",""
"Cambodia","2005","49436",""
"Cambodia","2004","59745",""
"Cambodia","2003","71265",""
"Cambodia","2002","46902",""
"Cambodia","2001","53601",""
"Cambodia","2000","62442",""
"Cameroon","2009","0",""
"Cameroon","2007","313083",""
"Central African Republic","2012","46759",""
"Chad","2011","181126",""
"Chad","2010","200448",""
"Chad","2008","47757",""
"Chad","2007","48288",""
"Chad","2006","45155",""
"Chad","2005","31668",""
"Chad","2004","1360",""
"Chad","2003","45195",""
"Chad","2002","43933",""
"Chad","2001","38287",""
"Chad","2000","40078",""
"China","2012","2603",""
"China","2011","3367",""
"China","2010","4990",""
"China","2009","9287",""
"China","2008","15870",""
"China","2007","28112",""
"China","2006","33286",""
"China","2005","19304",""
"China","2004","25483",""
"China","2003","27870",""
"China","2002","24964",""
"China","2001","21237",""
"Colombia","2012","60179",""
"Colombia","2011","64309",""
"Colombia","2010","117650",""
"Colombia","2009","79347",""
"Colombia","2008","80501",""
"Colombia","2007","128462",""
"Colombia","2006","120096",""
"Colombia","2005","121629",""
"Colombia","2004","142241",""
"Colombia","2003","180956",""
"Colombia","2002","204916",""
"Colombia","2001","231233",""
"Colombia","2000","144432",""
"Comoros","2012","49840",""
"Comoros","2011","24856",""
