"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","2787",""
"Afghanistan","2011","3013.00",""
"Afghanistan","2010","1989",""
"Afghanistan","2009","2861",""
"Albania","2012","9",""
"Albania","2010","10",""
"Albania","2009","0",""
"Algeria","2012","18",""
"Algeria","2011","112.00",""
"Algeria","2010","103",""
"Algeria","2009","107",""
"Andorra","2012","0",""
"Andorra","2011","0.00",""
"Andorra","2010","0",""
"Andorra","2009","0",""
"Angola","2012","4458",""
"Angola","2011","1449.00",""
"Angola","2010","1190",""
"Angola","2009","2807",""
"Antigua and Barbuda","2012","0",""
"Antigua and Barbuda","2011","0.00",""
"Antigua and Barbuda","2010","0",""
"Antigua and Barbuda","2009","0",""
"Argentina","2012","2",""
"Argentina","2011","3.00",""
"Argentina","2010","17",""
"Argentina","2009","3",""
"Armenia","2012","0",""
"Armenia","2011","0.00",""
"Armenia","2010","2",""
"Armenia","2009","0",""
"Australia","2012","199",""
"Australia","2011","190.00",""
"Australia","2010","70",""
"Australia","2009","104",""
"Austria","2012","36",""
"Austria","2011","68.00",""
"Austria","2010","52",""
"Austria","2009","49",""
"Azerbaijan","2012","0",""
"Azerbaijan","2011","0.00",""
"Azerbaijan","2010","0",""
"Bahamas","2012","0",""
"Bahamas","2011","0.00",""
"Bahamas","2010","0",""
"Bahamas","2009","0",""
"Bahrain","2012","0",""
"Bahrain","2011","0.00",""
"Bahrain","2010","0",""
"Bahrain","2009","3",""
"Bangladesh","2012","1986",""
"Bangladesh","2011","5625.00",""
"Bangladesh","2010","788",""
"Bangladesh","2009","718",""
"Barbados","2012","0",""
"Barbados","2011","0.00",""
"Barbados","2010","0",""
"Barbados","2009","0",""
"Belarus","2012","10",""
"Belarus","2011","50.00",""
"Belarus","2010","1",""
"Belarus","2009","0",""
"Belgium","2012","109",""
"Belgium","2011","576.00",""
"Belgium","2010","40",""
"Belgium","2009","33",""
"Belize","2012","0",""
"Belize","2011","0.00",""
"Belize","2010","0",""
"Belize","2009","0",""
"Benin","2012","288",""
"Benin","2011","426.00",""
"Benin","2010","392",""
"Benin","2009","1461",""
"Bhutan","2012","1",""
"Bhutan","2011","10.00",""
"Bhutan","2010","97",""
"Bhutan","2009","6",""
"Bolivia (Plurinational State of)","2012","0",""
"Bolivia (Plurinational State of)","2011","0.00",""
"Bolivia (Plurinational State of)","2010","0",""
"Bolivia (Plurinational State of)","2009","0",""
"Bosnia and Herzegovina","2012","22",""
"Bosnia and Herzegovina","2011","10.00",""
"Bosnia and Herzegovina","2010","45",""
"Bosnia and Herzegovina","2009","22",""
"Botswana","2012","7",""
"Botswana","2011","8.00",""
"Botswana","2010","853",""
"Botswana","2009","184",""
"Brazil","2012","2",""
"Brazil","2011","43.00",""
"Brazil","2010","68",""
"Brazil","2009","0",""
"Brunei Darussalam","2012","1",""
"Brunei Darussalam","2011","4.00",""
"Brunei Darussalam","2010","0",""
"Brunei Darussalam","2009","2",""
"Bulgaria","2012","1",""
"Bulgaria","2011","157.00",""
"Bulgaria","2010","22004",""
"Bulgaria","2009","2249",""
"Burkina Faso","2012","7362",""
"Burkina Faso","2011","860.00",""
"Burkina Faso","2010","2511",""
"Burkina Faso","2009","54118",""
"Burundi","2012","49",""
"Burundi","2011","129.00",""
"Burundi","2010","495",""
"Burundi","2009","305",""
"Cabo Verde","2012","0",""
"Cabo Verde","2011","0.00",""
"Cabo Verde","2010","0",""
"Cabo Verde","2009","0",""
"Cambodia","2012","15",""
"Cambodia","2011","722.00",""
"Cambodia","2010","1156",""
"Cambodia","2009","4779",""
"Cameroon","2012","609",""
"Cameroon","2011","504.00",""
"Cameroon","2010","240",""
"Cameroon","2009","251",""
"Canada","2012","10",""
"Canada","2011","759.00",""
"Canada","2010","99",""
"Canada","2009","15",""
"Central African Republic","2012","141",""
"Central African Republic","2011","679.00",""
"Central African Republic","2010","2",""
"Central African Republic","2009","11",""
"Chad","2012","120",""
"Chad","2011","8650.00",""
"Chad","2010","194",""
"Chad","2009","165",""
"Chile","2012","0",""
"Chile","2011","6.00",""
"Chile","2010","0",""
"Chile","2009","1",""
"China","2012","6183",""
"China","2011","9943.00",""
"China","2010","38159",""
"China","2009","52461",""
"Colombia","2012","1",""
"Colombia","2011","6.00",""
"Colombia","2010","0",""
"Colombia","2009","0",""
"Comoros","2012","1",""
"Comoros","2011","3.00",""
"Comoros","2010","0",""
"Comoros","2009","1",""
"Congo","2012","260",""
"Congo","2011","315.00",""
"Congo","2010","4",""
"Congo","2009","1",""
"Cook Islands","2012","0",""
"Cook Islands","2011","0.00",""
"Cook Islands","2010","0",""
"Cook Islands","2009","0",""
"Costa Rica","2012","0",""
"Costa Rica","2011","0.00",""
"Costa Rica","2010","0",""
"Costa Rica","2009","0",""
"Côte d’Ivoire","2012","137",""
"Côte d’Ivoire","2011","628.00",""
"Côte d’Ivoire","2010","441",""
"Côte d’Ivoire","2009","183",""
"Croatia","2012","2",""
"Croatia","2011","12.00",""
"Croatia","2010","7",""
"Croatia","2009","2",""
"Cuba","2012","0",""
"Cuba","2011","0.00",""
"Cuba","2010","0",""
"Cuba","2009","0",""
"Cyprus","2012","1",""
"Cyprus","2011","0.00",""
"Cyprus","2010","18",""
"Cyprus","2009","0",""
"Czech Republic","2012","22",""
"Czech Republic","2011","17.00",""
"Czech Republic","2010","0",""
"Czech Republic","2009","5",""
"Democratic People's Republic of Korea","2012","0",""
"Democratic People's Republic of Korea","2011","0.00",""
"Democratic People's Republic of Korea","2009","0",""
"Democratic Republic of the Congo","2012","72029",""
"Democratic Republic of the Congo","2011","133802.00",""
"Democratic Republic of the Congo","2010","5407",""
"Democratic Republic of the Congo","2009","57",""
"Denmark","2012","2",""
"Denmark","2011","84.00",""
"Denmark","2010","5",""
"Denmark","2009","6",""
"Djibouti","2012","709",""
"Djibouti","2011","49.00",""
"Djibouti","2010","7",""
"Djibouti","2009","48",""
"Dominica","2012","0",""
"Dominica","2011","0.00",""
"Dominica","2010","0",""
"Dominica","2009","0",""
"Dominican Republic","2012","0",""
"Dominican Republic","2011","2.00",""
"Dominican Republic","2010","0",""
"Dominican Republic","2009","0",""
"Ecuador","2012","72",""
"Ecuador","2011","201.00",""
"Ecuador","2010","0",""
"Ecuador","2009","0",""
"Egypt","2012","245",""
"Egypt","2011","26.00",""
"Egypt","2010","16",""
"Egypt","2009","608",""
"El Salvador","2012","0",""
"El Salvador","2011","0.00",""
"El Salvador","2010","0",""
"El Salvador","2009","0",""
"Equatorial Guinea","2012","1190",""
"Equatorial Guinea","2011","0.00",""
"Equatorial Guinea","2010","0",""
"Equatorial Guinea","2009","78",""
"Eritrea","2012","194",""
"Eritrea","2011","48.00",""
"Eritrea","2010","51",""
"Eritrea","2009","82",""
"Estonia","2012","4",""
"Estonia","2011","7.00",""
"Estonia","2010","0",""
"Estonia","2009","0",""
"Ethiopia","2012","4347",""
"Ethiopia","2011","3255.00",""
"Ethiopia","2010","4235",""
"Ethiopia","2009","1176",""
"Fiji","2012","0",""
"Fiji","2010","0",""
"Fiji","2009","1",""
"Finland","2011","27.00",""
"Finland","2010","5",""
"Finland","2009","2",""
"France","2011","14949.00",""
"France","2010","5048",""
"France","2009","1541",""
"Gabon","2012","2",""
"Gabon","2011","2.00",""
"Gabon","2010","1",""
"Gabon","2009","0",""
"Gambia","2012","0",""
"Gambia","2011","0.00",""
"Gambia","2010","2",""
"Gambia","2009","0",""
"Georgia","2012","31",""
