"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2010","0",""
"Albania","2012","18",""
"Albania","2010","21",""
"Albania","2009","22",""
"Algeria","2012","0",""
"Algeria","2011","0.00",""
"Algeria","2010","0",""
"Andorra","2012","1",""
"Andorra","2011","0.00",""
"Andorra","2010","0",""
"Andorra","2009","0",""
"Angola","2010","0",""
"Angola","2009","0",""
"Antigua and Barbuda","2012","0",""
"Antigua and Barbuda","2011","0.00",""
"Antigua and Barbuda","2010","0",""
"Antigua and Barbuda","2009","0",""
"Argentina","2012","4619",""
"Argentina","2011","5481.00",""
"Argentina","2010","5083",""
"Argentina","2009","5913",""
"Armenia","2012","6",""
"Armenia","2011","15.00",""
"Armenia","2010","38",""
"Armenia","2009","71",""
"Australia","2012","195",""
"Australia","2011","145.00",""
"Australia","2010","89",""
"Australia","2009","164",""
"Azerbaijan","2012","126",""
"Azerbaijan","2011","101.00",""
"Azerbaijan","2010","125",""
"Azerbaijan","2009","232",""
"Bahamas","2012","0",""
"Bahamas","2011","0.00",""
"Bahamas","2010","0",""
"Bahamas","2009","3",""
"Bahrain","2012","29",""
"Bahrain","2011","18.00",""
"Bahrain","2010","46",""
"Bahrain","2009","16",""
"Barbados","2012","0",""
"Barbados","2011","0.00",""
"Barbados","2010","0",""
"Barbados","2009","0",""
"Belarus","2012","61",""
"Belarus","2011","48.00",""
"Belarus","2010","88",""
"Belarus","2009","172",""
"Belgium","2012","2687",""
"Belgium","2011","15.00",""
"Belgium","2010","31",""
"Belgium","2009","59",""
"Belize","2012","2",""
"Belize","2011","0.00",""
"Belize","2010","0",""
"Belize","2009","0",""
"Bhutan","2012","198",""
"Bhutan","2011","262.00",""
"Bhutan","2010","218",""
"Bolivia (Plurinational State of)","2012","0",""
"Bolivia (Plurinational State of)","2011","1096.00",""
"Bolivia (Plurinational State of)","2010","1781",""
"Bolivia (Plurinational State of)","2009","3696",""
"Bosnia and Herzegovina","2012","7881",""
"Bosnia and Herzegovina","2011","8209.00",""
"Bosnia and Herzegovina","2010","209",""
"Bosnia and Herzegovina","2009","474",""
"Brazil","2012","0",""
"Brazil","2011","0.00",""
"Brazil","2010","0",""
"Brazil","2009","0",""
"Brunei Darussalam","2012","14",""
"Brunei Darussalam","2011","19.00",""
"Brunei Darussalam","2010","12",""
"Brunei Darussalam","2009","1",""
"Bulgaria","2012","58",""
"Bulgaria","2011","139.00",""
"Bulgaria","2010","317",""
"Bulgaria","2009","1111",""
"Burkina Faso","2011","0.00",""
"Burundi","2011","0.00",""
"Burundi","2010","0",""
"Burundi","2009","0",""
"Cabo Verde","2012","40",""
"Cabo Verde","2011","198.00",""
"Cabo Verde","2010","42",""
"Cabo Verde","2009","3",""
"Cambodia","2012","17",""
"Canada","2012","54",""
"Canada","2011","282.00",""
"Canada","2010","799",""
"Canada","2009","214",""
"Chile","2012","876",""
"Chile","2011","950.00",""
"Chile","2010","891",""
"Chile","2009","825",""
"China","2012","479518",""
"China","2011","454385.00",""
"China","2010","298932",""
"China","2009","299329",""
"Colombia","2012","9397",""
"Colombia","2011","15926.00",""
"Colombia","2010","10376",""
"Colombia","2009","9457",""
"Comoros","2010","0",""
"Comoros","2009","109",""
"Congo","2012","0",""
"Congo","2010","0",""
"Congo","2009","0",""
"Cook Islands","2012","0",""
"Cook Islands","2011","0.00",""
"Cook Islands","2010","0",""
"Cook Islands","2009","0",""
"Costa Rica","2012","30",""
"Costa Rica","2011","1.00",""
"Costa Rica","2010","17",""
"Costa Rica","2009","25",""
"Croatia","2012","95",""
"Croatia","2011","86.00",""
"Croatia","2010","37",""
"Croatia","2009","56",""
"Cuba","2012","0",""
"Cuba","2011","0.00",""
"Cuba","2010","1",""
"Cuba","2009","4",""
"Cyprus","2012","3",""
"Cyprus","2011","0.00",""
"Cyprus","2010","2",""
"Cyprus","2009","5",""
"Czech Republic","2012","3902",""
"Czech Republic","2011","2885.00",""
"Czech Republic","2010","1068",""
"Czech Republic","2009","357",""
"Democratic People's Republic of Korea","2012","11",""
"Democratic People's Republic of Korea","2011","66.00",""
"Democratic People's Republic of Korea","2010","131",""
"Democratic People's Republic of Korea","2009","18",""
"Denmark","2012","15",""
"Denmark","2011","13.00",""
"Denmark","2010","32",""
"Denmark","2009","17",""
"Dominica","2012","0",""
"Dominica","2011","0.00",""
"Dominica","2010","0",""
"Dominica","2009","0",""
"Dominican Republic","2012","0",""
"Dominican Republic","2011","0.00",""
"Dominican Republic","2010","0",""
"Dominican Republic","2009","0",""
"Ecuador","2012","799",""
"Ecuador","2011","733.00",""
"Ecuador","2010","1331",""
"Ecuador","2009","837",""
"Egypt","2011","531.00",""
"Egypt","2010","26",""
"Egypt","2009","33",""
"El Salvador","2012","351",""
"El Salvador","2011","632.00",""
"El Salvador","2010","369",""
"El Salvador","2009","126",""
"Eritrea","2012","2350",""
"Eritrea","2011","3825.00",""
"Eritrea","2010","2410",""
"Eritrea","2009","1585",""
"Estonia","2012","4",""
"Estonia","2011","8.00",""
"Estonia","2010","13",""
"Estonia","2009","11",""
"Fiji","2010","0",""
"Fiji","2009","0",""
"Finland","2011","2.00",""
"Finland","2010","4",""
"Finland","2009","2",""
"Gambia","2012","0",""
"Gambia","2011","0.00",""
"Gambia","2010","0",""
"Gambia","2009","0",""
"Georgia","2012","50",""
"Georgia","2011","44.00",""
"Georgia","2010","101",""
"Georgia","2009","42",""
"Ghana","2010","3780",""
"Greece","2012","2",""
"Greece","2011","1.00",""
"Greece","2010","2",""
"Greece","2009","21",""
"Grenada","2012","2",""
"Grenada","2011","0.00",""
"Grenada","2010","0",""
"Grenada","2009","0",""
"Guatemala","2012","143",""
"Guatemala","2011","0.00",""
"Guatemala","2010","0",""
"Guatemala","2009","1",""
"Guinea","2010","0",""
"Guinea","2009","0",""
"Guinea-Bissau","2012","0",""
"Guinea-Bissau","2011","0.00",""
"Guinea-Bissau","2010","0",""
"Guinea-Bissau","2009","0",""
"Guyana","2012","0",""
"Guyana","2011","0.00",""
"Guyana","2010","0",""
"Guyana","2009","0",""
"Haiti","2012","0",""
"Haiti","2010","0",""
"Haiti","2009","0",""
"Honduras","2012","138",""
"Honduras","2011","143.00",""
"Honduras","2010","172",""
"Honduras","2009","187",""
"Hungary","2012","4",""
"Hungary","2011","5.00",""
"Hungary","2010","0",""
"Hungary","2009","5",""
"Iceland","2012","0",""
"Iceland","2011","0.00",""
"Iceland","2010","2",""
"Iceland","2009","4",""
"Iraq","2012","1482",""
"Iraq","2011","1944.00",""
"Iraq","2010","1862",""
"Iraq","2009","2265",""
"Ireland","2012","170",""
"Ireland","2011","177.00",""
"Ireland","2010","308",""
"Ireland","2009","3660",""
"Israel","2012","93",""
"Israel","2011","301.00",""
"Israel","2010","4923",""
"Israel","2009","775",""
"Italy","2012","322",""
"Italy","2011","726.00",""
"Italy","2010","530",""
"Italy","2009","769",""
"Jamaica","2012","0",""
"Jamaica","2011","4.00",""
"Jamaica","2010","1",""
"Jamaica","2009","0",""
"Japan","2012","71549",""
"Japan","2011","137060.00",""
"Japan","2010","179635",""
"Japan","2009","104568",""
"Jordan","2012","194",""
"Jordan","2011","175.00",""
"Jordan","2010","162",""
"Jordan","2009","150",""
"Kazakhstan","2012","67",""
"Kazakhstan","2011","51.00",""
"Kazakhstan","2010","82",""
"Kazakhstan","2009","131",""
"Kenya","2012","0",""
"Kenya","2011","0.00",""
"Kiribati","2012","0",""
"Kiribati","2010","0",""
"Kiribati","2009","0",""
"Kuwait","2012","61",""
"Kuwait","2011","62.00",""
"Kuwait","2010","91",""
"Kyrgyzstan","2012","350",""
"Kyrgyzstan","2011","300.00",""
"Kyrgyzstan","2010","396",""
"Kyrgyzstan","2009","160",""
"Lao People's Democratic Republic","2011","54.00",""
"Latvia","2012","41",""
"Latvia","2011","10.00",""
