"Country or Area","Year(s)","Value","Value Footnotes"
"Australia","2011","0",""
"Cambodia","2011","0",""
"China","2011","1",""
"China","2010","5",""
"Cook Islands","2011","0",""
"Democratic Republic of the Congo","2012","131.00",""
"Democratic Republic of the Congo","2010","152",""
"Fiji","2011","0",""
"Japan","2011","0",""
"Kiribati","2011","0",""
"Lao People's Democratic Republic","2011","0",""
"Madagascar","2012","256.00",""
"Madagascar","2010","313",""
"Marshall Islands","2011","0",""
"Micronesia (Federated States of)","2011","0",""
"Mongolia","2011","1",""
"Nauru","2011","0",""
"New Zealand","2011","0",""
"Niue","2011","0",""
"Palau","2011","0",""
"Papua New Guinea","2011","0",""
"Peru","2012","5.00",""
"Peru","2010","27",""
"Republic of Korea","2011","0",""
"Samoa","2011","0",""
"Solomon Islands","2011","0",""
"Tonga","2011","0",""
"Tuvalu","2011","0",""
"United Republic of Tanzania","2012","7.00",""
"United Republic of Tanzania","2010","9",""
"United States of America","2012","1.00",""
"United States of America","2010","1",""
"Vanuatu","2011","0",""

