"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2011","750.00",""
"Afghanistan","2010","46",""
"Afghanistan","2009","501",""
"Albania","2012","1",""
"Albania","2010","5",""
"Albania","2009","0",""
"Algeria","2012","420",""
"Algeria","2011","170.00",""
"Algeria","2010","212",""
"Algeria","2009","23",""
"Andorra","2012","0",""
"Andorra","2011","0.00",""
"Andorra","2010","0",""
"Andorra","2009","0",""
"Angola","2012","65",""
"Angola","2011","24.00",""
"Angola","2010","38",""
"Angola","2009","10",""
"Antigua and Barbuda","2012","0",""
"Antigua and Barbuda","2011","0.00",""
"Antigua and Barbuda","2010","0",""
"Antigua and Barbuda","2009","0",""
"Argentina","2012","1",""
"Argentina","2011","1.00",""
"Argentina","2010","0",""
"Argentina","2009","4",""
"Armenia","2012","1",""
"Armenia","2011","0.00",""
"Armenia","2010","0",""
"Armenia","2009","4",""
"Australia","2012","35",""
"Australia","2011","60.00",""
"Australia","2010","42",""
"Australia","2009","25",""
"Austria","2012","23",""
"Austria","2011","2.00",""
"Austria","2010","2",""
"Austria","2009","252",""
"Azerbaijan","2012","0",""
"Azerbaijan","2011","0.00",""
"Azerbaijan","2010","1",""
"Bahamas","2012","0",""
"Bahamas","2011","0.00",""
"Bahamas","2010","0",""
"Bahamas","2009","0",""
"Bahrain","2012","4",""
"Bahrain","2011","3.00",""
"Bahrain","2010","6",""
"Bahrain","2009","9",""
"Bangladesh","2012","3245",""
"Bangladesh","2011","5631.00",""
"Bangladesh","2010","12963",""
"Bangladesh","2009","13076",""
"Barbados","2012","7",""
"Barbados","2011","0.00",""
"Barbados","2010","0",""
"Barbados","2009","0",""
"Belarus","2012","10",""
"Belarus","2011","20.00",""
"Belarus","2010","0",""
"Belarus","2009","3",""
"Belgium","2012","0",""
"Belize","2012","0",""
"Belize","2011","0.00",""
"Belize","2010","0",""
"Belize","2009","0",""
"Benin","2012","41",""
"Benin","2011","20.00",""
"Benin","2010","1",""
"Benin","2009","15",""
"Bhutan","2012","2",""
"Bhutan","2011","3.00",""
"Bhutan","2010","87",""
"Bhutan","2009","15",""
"Bolivia (Plurinational State of)","2012","0",""
"Bolivia (Plurinational State of)","2011","0.00",""
"Bolivia (Plurinational State of)","2010","0",""
"Bolivia (Plurinational State of)","2009","0",""
"Bosnia and Herzegovina","2012","17",""
"Bosnia and Herzegovina","2011","31.00",""
"Bosnia and Herzegovina","2010","2784",""
"Bosnia and Herzegovina","2009","523",""
"Botswana","2012","163",""
"Botswana","2011","214.00",""
"Botswana","2010","13",""
"Botswana","2009","1",""
"Brazil","2012","0",""
"Brazil","2011","0.00",""
"Brazil","2010","0",""
"Brazil","2009","0",""
"Brunei Darussalam","2012","1",""
"Brunei Darussalam","2011","2.00",""
"Brunei Darussalam","2010","1",""
"Brunei Darussalam","2009","1",""
"Bulgaria","2012","18",""
"Bulgaria","2011","41.00",""
"Bulgaria","2010","39",""
"Bulgaria","2009","44",""
"Burkina Faso","2012","677",""
"Burundi","2012","11",""
"Burundi","2011","67.00",""
"Burundi","2010","247",""
"Burundi","2009","305",""
