"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","29381",""
"Afghanistan","2011","27983",""
"Afghanistan","2010","28029",""
"Afghanistan","2009","26150",""
"Afghanistan","2008","28301",""
"Afghanistan","2007","28769",""
"Afghanistan","2006","25475",""
"Afghanistan","2005","21844",""
"Afghanistan","2004","18404",""
"Afghanistan","2003","13808",""
"Afghanistan","2002","13794",""
"Afghanistan","2001","10139",""
"Afghanistan","2000","7107",""
"Albania","2012","408",""
"Albania","2011","422",""
"Albania","2010","431",""
"Albania","2009","445",""
"Albania","2008","427",""
"Albania","2007","438",""
"Albania","2006","469",""
"Albania","2005","506",""
"Albania","2004","547",""
"Albania","2003","555",""
"Albania","2002","594",""
"Albania","2001","555",""
"Albania","2000","604",""
"Algeria","2012","21880",""
"Algeria","2011","21429",""
"Algeria","2010","22336",""
"Algeria","2009","21701",""
"Algeria","2008","20588",""
"Algeria","2007","21369",""
"Algeria","2006","21143",""
"Algeria","2005","21336",""
"Algeria","2004","19929",""
"Algeria","2003","19730",""
"Algeria","2002","18934",""
"Algeria","2001","18250",""
"Algeria","2000","18572",""
"Andorra","2012","9",""
"Andorra","2011","3",""
"Andorra","2010","7",""
"Andorra","2009","8",""
"Andorra","2008","4",""
"Andorra","2007","5",""
"Andorra","2006","12",""
"Andorra","2005","10",""
"Andorra","2004","7",""
"Andorra","2003","11",""
"Andorra","2002","5",""
"Andorra","2001","10",""
"Andorra","2000","12",""
"Angola","2012","51819",""
"Angola","2011","47240",""
"Angola","2010","44655",""
"Angola","2009","41221",""
"Angola","2008","44576",""
"Angola","2007","41292",""
"Angola","2006","50419",""
"Angola","2005","37175",""
"Angola","2004","35437",""
"Angola","2003","36079",""
"Angola","2002","29996",""
"Angola","2001","21713",""
"Angola","2000","16062",""
"Antigua and Barbuda","2012","3",""
"Antigua and Barbuda","2011","6",""
"Antigua and Barbuda","2010","7",""
"Antigua and Barbuda","2009","3",""
"Antigua and Barbuda","2008","1",""
"Antigua and Barbuda","2007","2",""
"Antigua and Barbuda","2006","4",""
"Antigua and Barbuda","2005","6",""
"Antigua and Barbuda","2003","1",""
"Antigua and Barbuda","2002","4",""
"Antigua and Barbuda","2001","1",""
"Antigua and Barbuda","2000","4",""
"Argentina","2012","8758",""
"Argentina","2011","9733",""
"Argentina","2010","7336",""
"Argentina","2009","7701",""
"Argentina","2008","9196",""
"Argentina","2007","10227",""
"Argentina","2006","9675",""
"Argentina","2005","10576",""
"Argentina","2004","11413",""
"Argentina","2003","10844",""
"Argentina","2002","11548",""
"Argentina","2001","11456",""
"Argentina","2000","11767",""
"Armenia","2012","1213",""
"Armenia","2011","1261",""
"Armenia","2010","1410",""
"Armenia","2009","1560",""
"Armenia","2008","1655",""
"Armenia","2007","1682",""
"Armenia","2006","1767",""
"Armenia","2005","2206",""
"Armenia","2004","1660",""
"Armenia","2003","1538",""
"Armenia","2002","1433",""
"Armenia","2001","1389",""
"Armenia","2000","1333",""
"Australia","2012","1305",""
"Australia","2011","1239",""
"Australia","2010","1257",""
"Australia","2009","1294",""
"Australia","2008","1215",""
"Australia","2007","1120",""
"Australia","2006","1163",""
"Australia","2005","1046",""
"Australia","2004","1071",""
"Australia","2003","949",""
"Australia","2002","1013",""
"Australia","2001","980",""
"Australia","2000","1043",""
"Austria","2012","620",""
"Austria","2011","671",""
"Austria","2010","659",""
"Austria","2009","686",""
"Austria","2007","811",""
"Austria","2006","855",""
"Austria","2005","928",""
"Austria","2004","895",""
"Austria","2003","946",""
"Austria","2002","1044",""
"Austria","2001","1013",""
"Austria","2000","1185",""
"Azerbaijan","2012","6363",""
"Azerbaijan","2011","9146",""
"Azerbaijan","2010","7550",""
"Azerbaijan","2009","9462",""
"Azerbaijan","2008","7632",""
"Azerbaijan","2007","5521",""
"Azerbaijan","2006","5705",""
"Azerbaijan","2005","6034",""
"Azerbaijan","2004","5404",""
"Azerbaijan","2003","3845",""
"Azerbaijan","2002","5142",""
"Azerbaijan","2001","4898",""
"Azerbaijan","2000","5187",""
"Bahamas","2012","32",""
"Bahamas","2011","41",""
"Bahamas","2010","31",""
"Bahamas","2009","45",""
"Bahamas","2008","49",""
"Bahamas","2007","46",""
"Bahamas","2006","60",""
"Bahamas","2005","48",""
"Bahamas","2004","53",""
"Bahamas","2003","38",""
"Bahamas","2002","44",""
"Bahamas","2000","82",""
"Bahrain","2012","225",""
"Bahrain","2011","225",""
"Bahrain","2010","246",""
"Bahrain","2009","326",""
"Bahrain","2008","304",""
"Bahrain","2007","296",""
"Bahrain","2006","278",""
"Bahrain","2005","280",""
"Bahrain","2004","244",""
"Bahrain","2003","261",""
"Bahrain","2002","191",""
"Bahrain","2001","188",""
"Bahrain","2000","207",""
"Bangladesh","2012","168683",""
"Bangladesh","2011","154358",""
"Bangladesh","2010","153892",""
"Bangladesh","2009","160875",""
"Bangladesh","2008","151062",""
"Bangladesh","2007","147342",""
"Bangladesh","2006","145186",""
"Bangladesh","2005","123118",""
"Bangladesh","2004","98336",""
"Bangladesh","2003","88156",""
"Bangladesh","2002","83485",""
"Bangladesh","2001","76302",""
"Bangladesh","2000","75557",""
"Barbados","2012","4",""
"Barbados","2011","0",""
"Barbados","2010","6",""
"Barbados","2009","2",""
"Barbados","2008","3",""
"Barbados","2007","16",""
"Barbados","2006","5",""
"Barbados","2004","19",""
"Barbados","2002","5",""
"Barbados","2001","6",""
"Barbados","2000","3",""
"Belarus","2012","4783",""
"Belarus","2011","4697",""
"Belarus","2010","5098",""
"Belarus","2009","5250",""
"Belarus","2008","5126",""
"Belarus","2007","5351",""
"Belarus","2006","5142",""
"Belarus","2005","5308",""
"Belarus","2004","5443",""
"Belarus","2003","5963",""
"Belarus","2002","5139",""
"Belarus","2001","5505",""
"Belarus","2000","6799",""
"Belgium","2012","909",""
"Belgium","2011","985",""
"Belgium","2010","1028",""
"Belgium","2009","1020",""
"Belgium","2008","939",""
"Belgium","2007","955",""
"Belgium","2006","1043",""
"Belgium","2005","1076",""
"Belgium","2004","1128",""
"Belgium","2003","1064",""
"Belgium","2002","1211",""
"Belgium","2001","1321",""
"Belgium","2000","1278",""
"Belize","2012","84",""
"Belize","2011","74",""
"Belize","2010","145",""
"Belize","2009","88",""
"Belize","2008","88",""
"Belize","2007","63",""
"Belize","2006","85",""
"Belize","2005","102",""
"Belize","2004","83",""
"Belize","2003","99",""
"Belize","2002","135",""
"Belize","2001","136",""
"Belize","2000","106",""
"Benin","2012","3966",""
"Benin","2011","4212",""
"Benin","2010","3756",""
"Benin","2009","3878",""
"Benin","2008","3872",""
"Benin","2007","3565",""
"Benin","2006","3608",""
"Benin","2005","3270",""
"Benin","2004","3116",""
"Benin","2003","2940",""
"Benin","2002","2841",""
"Benin","2001","2659",""
"Benin","2000","2697",""
"Bhutan","2012","1130",""
"Bhutan","2011","1235",""
"Bhutan","2010","1311",""
"Bhutan","2009","1125",""
"Bhutan","2008","961",""
"Bhutan","2007","999",""
"Bhutan","2006","917",""
"Bhutan","2005","1007",""
"Bhutan","2004","988",""
"Bhutan","2003","1026",""
"Bhutan","2002","1089",""
"Bhutan","2001","1037",""
"Bhutan","2000","1140",""
"Bolivia (Plurinational State of)","2012","8257",""
"Bolivia (Plurinational State of)","2011","8521",""
"Bolivia (Plurinational State of)","2010","8363",""
"Bolivia (Plurinational State of)","2009","8865",""
"Bolivia (Plurinational State of)","2008","9070",""
"Bolivia (Plurinational State of)","2007","8574",""
"Bolivia (Plurinational State of)","2006","9014",""
"Bolivia (Plurinational State of)","2005","9748",""
"Bolivia (Plurinational State of)","2004","9801",""
"Bolivia (Plurinational State of)","2003","9836",""
"Bolivia (Plurinational State of)","2002","10201",""
"Bolivia (Plurinational State of)","2001","10531",""
"Bolivia (Plurinational State of)","2000","10127",""
"Bosnia and Herzegovina","2012","1409",""
"Bosnia and Herzegovina","2011","1360",""
"Bosnia and Herzegovina","2010","1321",""
"Bosnia and Herzegovina","2009","1725",""
"Bosnia and Herzegovina","2008","1719",""
"Bosnia and Herzegovina","2007","2373",""
"Bosnia and Herzegovina","2006","1778",""
"Bosnia and Herzegovina","2005","2111",""
"Bosnia and Herzegovina","2004","2353",""
"Bosnia and Herzegovina","2003","1780",""
"Bosnia and Herzegovina","2002","1691",""
"Bosnia and Herzegovina","2001","2469",""
"Bosnia and Herzegovina","2000","2476",""
"Botswana","2012","6161",""
"Botswana","2011","6603",""
"Botswana","2010","7013",""
"Botswana","2009","8362",""
"Botswana","2008","8891",""
"Botswana","2007","7962",""
"Botswana","2006","8558",""
"Botswana","2005","10058",""
"Botswana","2004","10131",""
"Botswana","2003","9862",""
"Botswana","2002","10204",""
"Botswana","2001","9618",""
"Botswana","2000","9292",""
"Brazil","2012","75122",""
"Brazil","2011","77647",""
"Brazil","2010","74395",""
"Brazil","2009","78681",""
"Brazil","2008","73395",""
"Brazil","2007","74757",""
"Brazil","2006","77632",""
"Brazil","2005","80675",""
"Brazil","2004","86881",""
"Brazil","2003","84060",""
"Brazil","2002","81436",""
"Brazil","2001","74466",""
"Brazil","2000","77899",""
"Brunei Darussalam","2012","243",""
"Brunei Darussalam","2011","230",""
"Brunei Darussalam","2010","237",""
"Brunei Darussalam","2009","213",""
"Brunei Darussalam","2008","223",""
"Brunei Darussalam","2007","209",""
"Brunei Darussalam","2006","202",""
"Brunei Darussalam","2005","163",""
"Brunei Darussalam","2004","185",""
"Brunei Darussalam","2003","209",""
"Brunei Darussalam","2002","230",""
"Brunei Darussalam","2001","216",""
"Brunei Darussalam","2000","307",""
"Bulgaria","2012","2081",""
"Bulgaria","2011","2172",""
"Bulgaria","2010","2412",""
"Bulgaria","2009","2696",""
"Bulgaria","2008","2944",""
"Bulgaria","2007","2848",""
"Bulgaria","2006","3136",""
"Bulgaria","2005","3225",""
"Bulgaria","2004","3025",""
"Bulgaria","2003","3263",""
"Bulgaria","2002","3335",""
"Bulgaria","2001","3862",""
"Bulgaria","2000","3349",""
"Burkina Faso","2012","5210",""
"Burkina Faso","2011","5286",""
"Burkina Faso","2010","4800",""
"Burkina Faso","2009","4716",""
"Burkina Faso","2008","4238",""
"Burkina Faso","2007","3935",""
"Burkina Faso","2006","3909",""
"Burkina Faso","2005","3478",""
"Burkina Faso","2004","2876",""
"Burkina Faso","2003","2620",""
"Burkina Faso","2002","2376",""
"Burkina Faso","2001","2406",""
"Burkina Faso","2000","2331",""
"Burundi","2012","6921",""
"Burundi","2011","6742",""
"Burundi","2010","7611",""
"Burundi","2009","7277",""
"Burundi","2008","6808",""
"Burundi","2007","6284",""
"Burundi","2006","6114",""
"Burundi","2005","6585",""
"Burundi","2004","6871",""
"Burundi","2003","6822",""
"Burundi","2002","6371",""
"Burundi","2001","6478",""
"Burundi","2000","6421",""
"Cabo Verde","2012","420",""
"Cabo Verde","2011","380",""
"Cabo Verde","2010","356",""
"Cabo Verde","2009","332",""
"Cabo Verde","2008","334",""
"Cabo Verde","2007","274",""
"Cabo Verde","2006","262",""
"Cabo Verde","2005","292",""
"Cabo Verde","2004","294",""
"Cabo Verde","2003","316",""
"Cabo Verde","2002","195",""
"Cabo Verde","2001","291",""
"Cambodia","2012","40185",""
"Cambodia","2011","38555",""
"Cambodia","2010","40460",""
"Cambodia","2009","39202",""
"Cambodia","2008","38927",""
"Cambodia","2007","35601",""
"Cambodia","2006","34660",""
"Cambodia","2005","35535",""
"Cambodia","2004","30838",""
"Cambodia","2003","28307",""
"Cambodia","2002","24610",""
"Cambodia","2001","19170",""
"Cambodia","2000","18891",""
"Cameroon","2012","24802",""
"Cameroon","2011","24533",""
"Cameroon","2010","24073",""
"Cameroon","2009","24662",""
"Cameroon","2008","24622",""
"Cameroon","2007","24062",""
"Cameroon","2006","23483",""
"Cameroon","2005","21499",""
"Cameroon","2004","17655",""
