"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","36",""
"Afghanistan","2011","40",""
"Afghanistan","2010","22",""
"Afghanistan","2009","32",""
"Afghanistan","2008","46",""
"Afghanistan","2007","25",""
"Afghanistan","2005","0",""
"Algeria","2012","0",""
"Algeria","2011","0",""
"Algeria","2010","1",""
"Algeria","2009","0",""
"Algeria","2008","0",""
"Algeria","2001","1",""
"Algeria","2000","2",""
"Angola","2012","5736",""
"Angola","2011","6909",""
"Angola","2010","8114",""
"Angola","2009","10530",""
"Angola","2008","9465",""
"Angola","2007","9812",""
"Angola","2006","10220",""
"Angola","2005","13768",""
"Angola","2004","12459",""
"Angola","2003","38598",""
"Angola","2002","14434",""
"Angola","2001","9473",""
"Angola","2000","9510",""
"Argentina","2012","0",""
"Argentina","2011","0",""
"Argentina","2010","0",""
"Argentina","2009","0",""
"Argentina","2008","0",""
"Argentina","2007","0",""
"Argentina","2006","0",""
"Argentina","2005","0",""
"Argentina","2004","0",""
"Argentina","2003","1",""
"Argentina","2002","0",""
"Argentina","2001","0",""
"Argentina","2000","0",""
"Azerbaijan","2012","0",""
"Azerbaijan","2011","0",""
"Azerbaijan","2010","0",""
"Azerbaijan","2009","0",""
"Azerbaijan","2008","0",""
"Azerbaijan","2007","0",""
"Azerbaijan","2006","0",""
"Azerbaijan","2005","0",""
"Azerbaijan","2004","0",""
"Azerbaijan","2003","0",""
"Azerbaijan","2002","0",""
"Azerbaijan","2001","0",""
"Azerbaijan","2000","0",""
"Bangladesh","2012","11",""
"Bangladesh","2011","36",""
"Bangladesh","2010","37",""
"Bangladesh","2009","47",""
"Bangladesh","2008","154",""
"Bangladesh","2007","228",""
"Bangladesh","2006","508",""
"Bangladesh","2005","501",""
"Bangladesh","2004","505",""
"Bangladesh","2003","574",""
"Bangladesh","2002","598",""
"Bangladesh","2001","470",""
"Bangladesh","2000","484",""
"Belize","2012","0",""
"Belize","2011","0",""
"Belize","2010","0",""
"Belize","2009","0",""
"Belize","2008","0",""
"Belize","2007","0",""
"Belize","2006","1",""
"Belize","2005","0",""
"Belize","2004","1",""
"Belize","2002","0",""
"Belize","2001","0",""
"Belize","2000","0",""
"Benin","2012","2261",""
"Benin","2011","1753",""
"Benin","2010","964",""
"Benin","2009","1375",""
"Benin","2008","918",""
"Benin","2007","1290",""
"Benin","2006","1226",""
"Benin","2005","322",""
"Benin","2004","944",""
"Benin","2003","560",""
"Benin","2002","707",""
"Benin","2001","468",""
"Bhutan","2012","1",""
"Bhutan","2011","1",""
"Bhutan","2010","2",""
"Bhutan","2009","4",""
"Bhutan","2008","2",""
"Bhutan","2007","2",""
"Bhutan","2006","7",""
"Bhutan","2005","5",""
"Bhutan","2004","7",""
"Bhutan","2003","14",""
"Bhutan","2002","11",""
"Bhutan","2001","14",""
"Bhutan","2000","15",""
"Bolivia (Plurinational State of)","2012","0",""
"Bolivia (Plurinational State of)","2011","0",""
