"Country or Area","Year(s)","GENDER","EDUCATION LEVEL","RESIDENCE AREA","WEALTH QUINTILE","Value","Value Footnotes"
"Albania","2008","","","Urban","","89.0",""
"Albania","2008","","","Rural","","91.8",""
"Albania","2008","","","","Q1 (Poorest)","91.3",""
"Albania","2008","","","","Q2","91.5",""
"Albania","2008","","","","Q3","89.7",""
"Albania","2008","","","","Q4","86.9",""
"Albania","2008","","","","Q5 (Richest)","94.7",""
"Albania","2008","","Primary","","","91.9",""
"Albania","2008","","Secondary or higher","","","90.2",""
"Albania","2008","Female","","","","92.0",""
"Albania","2008","Male","","","","89.4",""
"Albania","2005","","","Urban","","77.8",""
"Albania","2005","","","Rural","","75.0",""
"Albania","2005","","","","Q1 (Poorest)","75.2","1"
"Albania","2005","","","","Q2","71.5","1"
"Albania","2005","","","","Q3","76.3","1"
"Albania","2005","","","","Q4","83.6","1"
"Albania","2005","","","","Q5 (Richest)","70.6","1"
"Albania","2005","","Secondary or higher","","","76.8",""
"Albania","2005","Female","","","","83.8",""
"Albania","2005","Male","","","","70.4",""
"Armenia","2010","","","Urban","","91.7",""
"Armenia","2010","","","Rural","","86.8",""
"Armenia","2010","","","","Q1 (Poorest)","93.0",""
"Armenia","2010","","","","Q2","82.9",""
"Armenia","2010","","","","Q3","90.0",""
"Armenia","2010","","","","Q4","91.7",""
"Armenia","2010","","","","Q5 (Richest)","90.6","1"
"Armenia","2010","","Secondary or higher","","","89.8",""
"Armenia","2010","Female","","","","93.1",""
"Armenia","2010","Male","","","","86.5",""
"Armenia","2005","","","Urban","","71.4",""
"Armenia","2005","","","Rural","","68.4",""
"Armenia","2005","","","","Q1 (Poorest)","61.8",""
"Armenia","2005","","","","Q2","66.8",""
"Armenia","2005","","","","Q3","76.6",""
"Armenia","2005","","","","Q4","85.0",""
"Armenia","2005","","","","Q5 (Richest)","57.8","1"
"Armenia","2005","","Secondary or higher","","","71.6",""
"Armenia","2005","Female","","","","68.0",""
"Armenia","2005","Male","","","","71.8",""
"Armenia","2000","","","Urban","","76.0",""
"Armenia","2000","","","Rural","","72.1",""
"Armenia","2000","","","","Q1 (Poorest)","67.8",""
"Armenia","2000","","","","Q2","72.5",""
"Armenia","2000","","","","Q3","78.4",""
"Armenia","2000","","","","Q4","81.3",""
"Armenia","2000","","","","Q5 (Richest)","74.1","1"
"Armenia","2000","","Secondary or higher","","","74.2",""
"Armenia","2000","Female","","","","79.1",""
"Armenia","2000","Male","","","","71.0",""
"Azerbaijan","2006","","","Urban","","52.4",""
"Azerbaijan","2006","","","Rural","","43.2",""
"Azerbaijan","2006","","","","Q1 (Poorest)","39.0",""
"Azerbaijan","2006","","","","Q2","38.2",""
"Azerbaijan","2006","","","","Q3","46.8",""
"Azerbaijan","2006","","","","Q4","43.6",""
"Azerbaijan","2006","","","","Q5 (Richest)","76.0",""
"Azerbaijan","2006","","Secondary or higher","","","48.5",""
"Azerbaijan","2006","Female","","","","47.4",""
"Azerbaijan","2006","Male","","","","48.4",""
"Bangladesh","2007","","","Urban","","87.6",""
"Bangladesh","2007","","","Rural","","81.6",""
"Bangladesh","2007","","","","Q1 (Poorest)","80.2",""
"Bangladesh","2007","","","","Q2","77.0",""
"Bangladesh","2007","","","","Q3","80.1",""
"Bangladesh","2007","","","","Q4","89.5",""
"Bangladesh","2007","","","","Q5 (Richest)","89.2",""
"Bangladesh","2007","","None","","","73.7",""
"Bangladesh","2007","","Primary","","","79.3",""
"Bangladesh","2007","","Secondary or higher","","","89.7",""
"Bangladesh","2007","Female","","","","84.0",""
"Bangladesh","2007","Male","","","","82.1",""
"Bangladesh","2006","","","Urban","","90.5",""
"Bangladesh","2006","","","Rural","","88.5",""
"Bangladesh","2006","","","","Q1 (Poorest)","84.9",""
"Bangladesh","2006","","","","Q2","86.1",""
"Bangladesh","2006","","","","Q3","88.7",""
"Bangladesh","2006","","","","Q4","93.0",""
"Bangladesh","2006","","","","Q5 (Richest)","94.6",""
"Bangladesh","2006","","None","","","84.3",""
"Bangladesh","2006","","Primary","","","87.6",""
"Bangladesh","2006","","Secondary or higher","","","94.0",""
"Bangladesh","2006","Female","","","","88.2",""
"Bangladesh","2006","Male","","","","89.8",""
"Bangladesh","2004","","","Urban","","82.8",""
"Bangladesh","2004","","","Rural","","73.9",""
"Bangladesh","2004","","","","Q1 (Poorest)","59.5",""
"Bangladesh","2004","","","","Q2","79.2",""
"Bangladesh","2004","","","","Q3","76.3",""
"Bangladesh","2004","","","","Q4","80.6",""
"Bangladesh","2004","","","","Q5 (Richest)","90.5",""
"Bangladesh","2004","","None","","","62.3",""
"Bangladesh","2004","","Primary","","","77.8",""
"Bangladesh","2004","","Secondary or higher","","","87.7",""
"Bangladesh","2004","Female","","","","75.7",""
"Bangladesh","2004","Male","","","","75.6",""
"Belarus","2005","","","Urban","","90.6",""
"Belarus","2005","","","Rural","","91.2",""
"Belarus","2005","","","","Q1 (Poorest)","97.1",""
"Belarus","2005","","","","Q2","89.6",""
"Belarus","2005","","","","Q3","91.2",""
"Belarus","2005","","","","Q4","91.8",""
"Belarus","2005","","","","Q5 (Richest)","86.8",""
