"Country or Area","Year(s)","Value","Value Footnotes"
"Bolivia (Plurinational State of)","2008","86.7",""
"Brazil","2008","76.7","1"
"Burkina Faso","2009","72.1",""
"Cameroon","2005","52.5",""
"Chad","2004","13.6",""
"China","2004-2012","13.3","2"
"Colombia","2008","87.9",""
"Congo","2007","31.3",""
"Democratic Republic of the Congo","2007","65.4",""
"Ecuador","2008","71.7",""
"El Salvador","2006","69.2",""
"Fiji","2004","75",""
"Ghana","2004","44.6",""
"Haiti","2011","54.3",""
"India","2003-2011","76.8","3"
"Indonesia","2010","57.8",""
"Iran (Islamic Republic of)","2007","96.7",""
"Jordan","2004","80",""
"Kazakhstan","2004","70",""
"Kenya","2004","72.4",""
"Kuwait","2004","0",""
"Kyrgyzstan","2010","70",""
"Lebanon","2004","83.8",""
"Malaysia","2004","43.8",""
"Mali","2004","70",""
"Mauritius","2008","70",""
"Mexico","2009","50","4"
"Mongolia","2004","80",""
"Morocco","2004","57.5",""
"Nicaragua","2008","87.1",""
"Nigeria","2004","36.4",""
"Oman","2007","70.3",""
"Pakistan","2004","31.3",""
"Peru","2005","60.9",""
"Philippines","2005","26.5",""
"Republic of Moldova","2011","56",""
"Russian Federation","2011","100","5"
"Sao Tome and Principe","2008","22.2",""
"South Africa","2004","71.7","6"
"Sudan","2005-2006","77.1","7"
"Syrian Arab Republic","2003","98.2",""
"Tajikistan","2005","85",""
"Thailand","2006","28.6",""
"Tunisia","2004","95.1",""
"Uganda","2004","80",""
"Ukraine","2012","91.4",""
"United Arab Emirates","2006","73.9",""
"United Republic of Tanzania","2004","47.9",""
"Uzbekistan","2004","82.5",""
"Yemen","2006","90",""

"footnoteSeqID","Footnote"
"1","survey in Rio Grande do Sul state. Based on survey in Rio Grande do Sul state"
"2","average across 3 surveys: Shaanxi province (new), Shangdong province and Shanghai"
"3","average across 7 state surveys (1 new)"
"4","survey in Mexico City, new. Based on survey in Mexico City"
"5","survey in Tatarstan province, new. Based on survey in Tatarstan province"
"6","survey in Gauteng Province. Based on a survey of medicine prices and availability in Gauteng province, South Africa."
"7","average across 4 state surveys: Northern, Gadarif, Khartoum & North Kordofan"
