"Country or Area","Year(s)","Value","Value Footnotes"
"Bolivia (Plurinational State of)","2008","31.9",""
"Brazil","2008","0","1"
"Burkina Faso","2009","87.1",""
"Cameroon","2005","60",""
"Chad","2004","31.3",""
"China","2004-2012","15.5","2"
"Colombia","2008","86.7",""
"Congo","2007","21.2",""
"Democratic Republic of the Congo","2007","55.6",""
"Ecuador","2008","41.7",""
"El Salvador","2006","53.8",""
"Ghana","2004","17.9",""
"Haiti","2011","17.6",""
"India","2003-2011","22.1","3"
"Indonesia","2010","65.5",""
"Iran (Islamic Republic of)","2007","96.7",""
"Jordan","2004","27.8",""
"Kazakhstan","2004","0",""
"Kenya","2004","37.7",""
"Kuwait","2004","12",""
"Lebanon","2004","0",""
"Malaysia","2004","25",""
"Mali","2004","81",""
"Mauritius","2008","88.8",""
"Mexico","2009","46.2","4"
"Mongolia","2004","100",""
"Morocco","2004","0",""
"Nicaragua","2008","50",""
"Nigeria","2004","26.2",""
"Oman","2007","96.7",""
"Pakistan","2004","3.3",""
"Peru","2005","61.5",""
"Philippines","2005","15.4",""
"Republic of Moldova","2011","46",""
"Russian Federation","2011","100","5"
"Sao Tome and Principe","2008","56.3",""
"Sudan","2005-2006","51.7","6"
"Tajikistan","2005","75",""
"Thailand","2006","75",""
"Tunisia","2004","64.3",""
"Uganda","2004","20",""
"Ukraine","2012","88.6",""
"United Arab Emirates","2006","61.1",""
"United Republic of Tanzania","2004","23.4",""
"Yemen","2006","5",""

"footnoteSeqID","Footnote"
"1","survey in Rio Grande do Sul state. Based on a survey of medicine prices and availability in Rio Grande do Sul State, Brazil."
"2","average across 3 surveys: Shaanxi province (new), Shangdong province and Shanghai"
"3","average across 7 state surveys (1 new)"
"4","survey in Mexico City, new. Based on a survey in Mexico City, Mexico."
"5","survey in Tatarstan province, new. Based on a survey in Tatarstan province, Russian Federation."
"6","average across 4 state surveys: Northern, Gadarif, Khartoum & North Kordofan"
