"Country or Area","Year(s)","Value","Value Footnotes"
"Armenia","2001","3.42",""
"Bolivia (Plurinational State of)","2008","4.54",""
"Brazil","2008","11.32","1"
"Burkina Faso","2009","2.92",""
"Cameroon","2005","13.56",""
"Chad","2004","15.12",""
"China","2004-2012","1.38","2"
"Colombia","2008","3.11",""
"Congo","2007","11.54",""
"Democratic Republic of the Congo","2007","2.29",""
"Ecuador","2008","5",""
"El Salvador","2006","28.33",""
"Fiji","2004","2.73",""
"Ghana","2004","3.83",""
"Haiti","2011","7.25",""
"India","2003-2011","1.9","3"
"Indonesia","2010","2",""
"Iran (Islamic Republic of)","2007","1.32",""
"Jordan","2004","10.5",""
"Kazakhstan","2004","3.73",""
"Kenya","2004","3.33",""
"Kuwait","2004","15.72",""
"Kyrgyzstan","2010","3.43",""
"Lebanon","2004","6.1",""
"Malaysia","2004","6.57",""
"Mali","2004","5.38",""
"Mauritius","2008","5.93",""
"Mexico","2009","4.67","4"
"Mongolia","2004","4.17",""
"Morocco","2004","9.77",""
"Nicaragua","2008","5.73",""
"Nigeria","2004","4.32",""
"Oman","2007","7.39",""
"Pakistan","2004","2.26",""
"Peru","2005","5.61",""
"Philippines","2005","5.64",""
"Republic of Moldova","2011","4.65",""
"Russian Federation","2011","4.12","5"
"Sao Tome and Principe","2008","13.76",""
"South Africa","2004","6.52","6"
"Sri Lanka","2001","1.14",""
"Sudan","2005-2006","4.72","7"
"Syrian Arab Republic","2003","2.51",""
"Tajikistan","2005","2.29",""
"Thailand","2006","3.31",""
"Tunisia","2004","6.82",""
"Uganda","2004","2.63",""
"Ukraine","2012","2.97",""
"United Arab Emirates","2006","13.75",""
"United Republic of Tanzania","2004","2.67",""
"Uzbekistan","2004","1.97",""
"Yemen","2006","3.5",""

"footnoteSeqID","Footnote"
"1","survey in Rio Grande do Sul state. Based on a survey of medicine prices and availability in Rio Grande do Sul State, Brazil."
"2","average across 3 surveys: Shaanxi province (new), Shangdong province and Shanghai"
"3","average across 7 state surveys (1 new survey)"
"4","survey in Mexico City, new. Based on a survey in Mexico City, Mexico."
"5","survey in Tatarstan province, new. Based on a survey in Tatarstan province, Russian Federation."
"6","survey in Gauteng Province. Based on a survey of medicine prices and availability in Gauteng province, South Africa."
"7","average across 4 state surveys: Northern, Gadarif, Khartoum & North Kordofan"
