"Country or Area","Year(s)","Value","Value Footnotes"
"Bolivia (Plurinational State of)","2008","3.46",""
"Burkina Faso","2009","2.17",""
"Cameroon","2005","2.16",""
"Chad","2004","3.88",""
"China","2004-2012","1.55","1"
"Congo","2007","6.51",""
"Democratic Republic of the Congo","2007","2.02",""
"Ghana","2004","2.43",""
"Haiti","2011","4.77",""
"Indonesia","2010","1.76",""
"Iran (Islamic Republic of)","2007","1.32",""
"Jordan","2004","0.85",""
"Kazakhstan","2004","4.84",""
"Kenya","2004","1.99",""
"Mali","2004","1.83",""
"Mongolia","2004","2.6",""
"Nigeria","2004","3.5",""
"Peru","2005","1.4",""
"Philippines","2005","6.4",""
"Republic of Moldova","2011","5.22",""
"Russian Federation","2011","2.67","2"
"Sao Tome and Principe","2008","2.41",""
"Sudan","2005-2006","4.43","3"
"Tajikistan","2005","2.36",""
"Thailand","2006","2.55",""
"Ukraine","2012","3.65",""
"United Republic of Tanzania","2004","1.33",""
"Yemen","2006","1.09",""

"footnoteSeqID","Footnote"
"1","average across 3 surveys: Shaanxi province (new), Shangdong province and Shanghai"
"2","survey in Tatarstan province, new. Based on a survey in Tatarstan province, Russian Federation."
"3","average across 4 state surveys: Northern, Gadarif, Khartoum & North Kordofan"
