"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","33894",""
"Afghanistan","2011","31314",""
"Afghanistan","2010","32145",""
"Afghanistan","2009","32937",""
"Afghanistan","2008","24585",""
"Afghanistan","2007","30319",""
"Afghanistan","2006","19689",""
"Afghanistan","2005","12752",""
"Albania","2012","Not available",""
"Albania","2011","Not available",""
"Albania","2010","Not available",""
"Albania","2009","Not available",""
"Albania","2008","2",""
"Albania","2007","7",""
"Albania","2006","3",""
"Albania","2005","3",""
"Algeria","2012","9057",""
"Algeria","2011","14159",""
"Algeria","2010","10173",""
"Algeria","2009","10666",""
"Algeria","2008","8442",""
"Algeria","2007","6764",""
"Algeria","2006","14379",""
"Algeria","2005","30227",""
"Argentina","2012","Not available",""
"Argentina","2011","140",""
"Argentina","2010","166",""
"Argentina","2009","163",""
"Argentina","2008","208",""
"Argentina","2007","201",""
"Argentina","2006","257",""
"Argentina","2005","282",""
"Armenia","2012","Not available",""
"Armenia","2011","Not available",""
"Armenia","2010","Not available",""
"Armenia","2009","Not available",""
"Armenia","2008","Not available",""
"Armenia","2007","Not available",""
"Armenia","2006","Not available",""
"Armenia","2005","Not available",""
"Azerbaijan","2012","Not available",""
"Azerbaijan","2011","Not available",""
"Azerbaijan","2010","45",""
"Azerbaijan","2009","33",""
"Azerbaijan","2008","14",""
"Azerbaijan","2007","22",""
"Azerbaijan","2006","17",""
"Azerbaijan","2005","15",""
"Belize","2012","Not available",""
"Belize","2011","Not available",""
"Belize","2010","Not available",""
"Belize","2009","Not available",""
"Belize","2008","Not available",""
"Belize","2007","Not available",""
"Belize","2006","Not available",""
"Belize","2005","Not available",""
"Bolivia (Plurinational State of)","2012","Not available",""
"Bolivia (Plurinational State of)","2011","1636",""
"Bolivia (Plurinational State of)","2010","1809",""
"Bolivia (Plurinational State of)","2009","1218",""
"Bolivia (Plurinational State of)","2008","1650",""
"Bolivia (Plurinational State of)","2007","3153",""
"Bolivia (Plurinational State of)","2006","3152",""
"Bolivia (Plurinational State of)","2005","2657",""
"Bosnia and Herzegovina","2012","Not available",""
"Bosnia and Herzegovina","2011","Not available",""
"Bosnia and Herzegovina","2010","Not available",""
"Bosnia and Herzegovina","2009","Not available",""
"Bosnia and Herzegovina","2008","Not available",""
"Bosnia and Herzegovina","2007","Not available",""
"Bosnia and Herzegovina","2006","Not available",""
"Bosnia and Herzegovina","2005","1",""
