"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","24",""
"Afghanistan","2011","21",""
"Afghanistan","2010","11",""
"Afghanistan","2009","Not available",""
"Afghanistan","2008","Not available",""
"Afghanistan","2007","Not available",""
"Afghanistan","2006","Not available",""
"Afghanistan","2005","Not available",""
"Albania","2012","Not available",""
"Albania","2011","Not available",""
"Albania","2010","22",""
"Albania","2009","Not available",""
"Albania","2008","80",""
"Albania","2007","132",""
"Albania","2006","68",""
"Albania","2005","159",""
"Algeria","2012","70",""
"Algeria","2011","81",""
"Algeria","2010","87",""
"Algeria","2009","84",""
"Algeria","2008","84",""
"Algeria","2007","112",""
"Algeria","2006","147",""
"Algeria","2005","112",""
"Angola","2012","Not available",""
"Angola","2011","Not available",""
"Angola","2010","Not available",""
"Angola","2009","Not available",""
"Angola","2008","Not available",""
"Angola","2007","Not available",""
"Angola","2006","Not available",""
"Angola","2005","Not available",""
"Argentina","2012","7",""
"Argentina","2011","16",""
"Argentina","2010","22",""
"Argentina","2009","22",""
"Argentina","2008","24",""
"Argentina","2007","19",""
"Argentina","2006","3",""
"Argentina","2005","0",""
"Armenia","2012","Not available",""
"Armenia","2011","Not available",""
"Armenia","2010","9",""
"Armenia","2009","Not available",""
"Armenia","2008","14",""
"Armenia","2007","9",""
"Armenia","2006","5",""
"Armenia","2005","3",""
"Azerbaijan","2012","Not available",""
"Azerbaijan","2011","Not available",""
"Azerbaijan","2010","35",""
"Azerbaijan","2009","15",""
"Azerbaijan","2008","35",""
"Azerbaijan","2007","32",""
"Azerbaijan","2006","23",""
"Azerbaijan","2005","24",""
"Bangladesh","2012","1902",""
"Bangladesh","2011","3376",""
"Bangladesh","2010","3800",""
"Bangladesh","2009","4293",""
"Bangladesh","2008","4840",""
"Bangladesh","2007","4932",""
"Bangladesh","2006","9379",""
"Bangladesh","2005","6892",""
"Bhutan","2012","Not available",""
"Bhutan","2011","Not available",""
"Bhutan","2010","6",""
"Bhutan","2009","2",""
"Bhutan","2008","0",""
"Bhutan","2007","0",""
"Bhutan","2006","7",""
"Bhutan","2005","Not available",""
"Bolivia (Plurinational State of)","2012","Not available",""
"Bolivia (Plurinational State of)","2011","Not available",""
"Bolivia (Plurinational State of)","2010","1",""
"Bolivia (Plurinational State of)","2009","Not available",""
"Bolivia (Plurinational State of)","2008","Not available",""
"Bolivia (Plurinational State of)","2007","Not available",""
"Bolivia (Plurinational State of)","2006","Not available",""
"Bolivia (Plurinational State of)","2005","Not available",""
"Bosnia and Herzegovina","2012","Not available",""
"Bosnia and Herzegovina","2011","Not available",""
"Bosnia and Herzegovina","2010","1",""
"Bosnia and Herzegovina","2009","1",""
"Bosnia and Herzegovina","2008","0",""
"Bosnia and Herzegovina","2007","2",""
"Bosnia and Herzegovina","2006","0",""
"Bosnia and Herzegovina","2005","1",""
"Brazil","2012","3118",""
"Brazil","2011","3840",""
"Brazil","2010","3716",""
"Brazil","2009","3693",""
"Brazil","2008","3852",""
"Brazil","2007","3604",""
"Brazil","2006","3651",""
"Brazil","2005","3597",""
"Bulgaria","2012","2",""
"Bulgaria","2011","3",""
"Bulgaria","2010","4",""
"Bulgaria","2009","6",""
"Bulgaria","2008","2",""
"Bulgaria","2007","6",""
"Bulgaria","2006","6",""
"Bulgaria","2005","12",""
"Cameroon","2012","Not available",""
"Cameroon","2011","Not available",""
"Cameroon","2010","Not available",""
"Cameroon","2009","Not available",""
"Cameroon","2008","Not available",""
"Cameroon","2007","Not available",""
"Cameroon","2006","Not available",""
"Cameroon","2005","Not available",""
"Central African Republic","2012","Not available",""
"Central African Republic","2011","Not available",""
"Central African Republic","2010","Not available",""
"Central African Republic","2009","Not available",""
"Central African Republic","2008","Not available",""
"Central African Republic","2007","Not available",""
"Central African Republic","2006","Not available",""
"Central African Republic","2005","Not available",""
"Chad","2012","Not available",""
"Chad","2011","Not available",""
"Chad","2010","Not available",""
"Chad","2009","Not available",""
"Chad","2008","Not available",""
"Chad","2007","Not available",""
"Chad","2006","Not available",""
"Chad","2005","Not available",""
"China","2012","218",""
"China","2011","293",""
"China","2010","402",""
"China","2009","539",""
"China","2008","529",""
"China","2007","382",""
"China","2006","294",""
"China","2005","335",""
"Colombia","2012","9",""
"Colombia","2011","11",""
"Colombia","2010","34",""
"Colombia","2009","54",""
"Colombia","2008","33",""
"Colombia","2007","54",""
"Colombia","2006","44",""
"Colombia","2005","66",""
"Côte d’Ivoire","2012","Not available",""
"Côte d’Ivoire","2011","Not available",""
"Côte d’Ivoire","2010","Not available",""
