"Country or Area","Year(s)","Value","Value Footnotes"
"Benin","2012","11",""
"Cameroon","2012","16",""
"Cameroon","2011","133",""
"Cameroon","2010","807",""
"Central African Republic","2012","230",""
"Central African Republic","2008","243",""
"Congo","2012","197",""
"Congo","2011","167",""
"Congo","2009","646",""
"Côte d’Ivoire","2012","2864",""
"Côte d’Ivoire","2011","3704",""
"Democratic Republic of the Congo","2008","383",""
"Ghana","2012","9356",""
"Ghana","2011","8824",""
"Ghana","2010","20334",""
"Ghana","2009","35248",""
"Ghana","2008","20525",""
"Indonesia","2012","3476",""
"Indonesia","2011","6631",""
"Indonesia","2010","6031",""
"Indonesia","2009","7751",""
"Indonesia","2008","6083",""
"Papua New Guinea","2012","17560",""
"Papua New Guinea","2011","34628",""
"Papua New Guinea","2010","29061",""
"Papua New Guinea","2009","25822",""
"Papua New Guinea","2008","28989",""
"Solomon Islands","2012","12372",""
"Solomon Islands","2010","20635",""
"Togo","2012","5",""
"Togo","2010","15",""
"Vanuatu","2012","1718",""
"Vanuatu","2011","1730",""
"Vanuatu","2010","1574",""

