"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","11000 [4600-20000]",""
"Afghanistan","2011","10000 [4400-19000]",""
"Afghanistan","2010","10000 [4200-18000]",""
"Afghanistan","2009","9800 [4100-18000]",""
"Afghanistan","2008","9600 [4000-18000]",""
"Afghanistan","2007","9500 [3900-18000]",""
"Afghanistan","2006","9600 [3900-18000]",""
"Afghanistan","2005","9700 [3900-18000]",""
"Afghanistan","2004","9800 [3900-18000]",""
"Afghanistan","2003","10000 [3900-19000]",""
"Afghanistan","2002","10000 [4000-20000]",""
"Afghanistan","2001","11000 [4000-20000]",""
"Afghanistan","2000","11000 [4000-21000]",""
"Albania","2012","9.7 [5.2-16]",""
"Albania","2011","11 [6.2-17]",""
"Albania","2010","12 [7.2-18]",""
"Albania","2009","13 [8.2-20]",""
"Albania","2008","14 [9.2-21]",""
"Albania","2007","16 [10-22]",""
"Albania","2006","17 [11-24]",""
"Albania","2005","18 [13-25]",""
"Albania","2004","20 [14-27]",""
"Albania","2003","20 [14-27]",""
"Albania","2002","23 [16-31]",""
"Albania","2001","22 [16-29]",""
"Albania","2000","27 [19-37]",""
"Algeria","2012","5600 [1900-11000]",""
"Algeria","2011","5400 [1900-11000]",""
"Algeria","2010","5300 [1800-11000]",""
"Algeria","2009","5000 [1700-9900]",""
"Algeria","2008","4500 [1500-9000]",""
"Algeria","2007","4900 [1700-9700]",""
"Algeria","2006","4800 [1700-9600]",""
"Algeria","2005","5000 [1700-9900]",""
"Algeria","2004","4400 [1500-8800]",""
"Algeria","2003","4500 [1500-8900]",""
"Algeria","2002","4300 [1500-8500]",""
"Algeria","2001","4100 [1400-8200]",""
"Algeria","2000","4400 [1500-8800]",""
"Andorra","2012","0.71 [0-3.8]",""
"Andorra","2011","0.25 [0.12-0.42]",""
"Andorra","2010","0.45 [0.01-1.8]",""
"Andorra","2009","0.57 [0-2.7]",""
"Andorra","2008","0.27 [0.11-0.49]",""
"Andorra","2007","0.29 [0.1-0.56]",""
"Andorra","2006","1 [0-5.9]",""
"Andorra","2005","0.7 [0-3.2]",""
"Andorra","2004","0.34 [0.1-0.73]",""
"Andorra","2003","0.8 [0-3.9]",""
"Andorra","2002","0.34 [0.15-0.6]",""
"Andorra","2001","0.66 [0.01-2.8]",""
"Andorra","2000","0.85 [0-4]",""
"Angola","2012","8700 [3900-15000]",""
"Angola","2011","7600 [3500-13000]",""
"Angola","2010","6600 [3000-12000]",""
"Angola","2009","5900 [2700-10000]",""
"Angola","2008","5300 [2300-9500]",""
"Angola","2007","4900 [2000-9000]",""
"Angola","2006","4600 [1800-8700]",""
"Angola","2005","4400 [1700-8100]",""
"Angola","2004","4300 [1800-8000]",""
"Angola","2003","4600 [2200-8000]",""
"Angola","2002","5200 [2200-9400]",""
"Angola","2001","5600 [2300-10000]",""
"Angola","2000","5800 [2400-11000]",""
"Antigua and Barbuda","2012","1.2 [1.1-1.4]",""
"Antigua and Barbuda","2011","1.2 [1.1-1.3]",""
"Antigua and Barbuda","2010","1.2 [1.1-1.3]",""
"Antigua and Barbuda","2009","1.5 [1.2-2]",""
