"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","310 [190-460]",""
"Afghanistan","2011","280 [170-410]",""
"Afghanistan","2010","250 [150-380]",""
"Afghanistan","2009","230 [140-340]",""
"Afghanistan","2008","210 [120-310]",""
"Afghanistan","2007","190 [110-280]",""
"Afghanistan","2006","170 [99-260]",""
"Afghanistan","2005","160 [90-240]",""
"Afghanistan","2004","140 [83-220]",""
"Afghanistan","2003","130 [75-200]",""
"Afghanistan","2002","120 [69-190]",""
"Afghanistan","2001","110 [63-170]",""
"Afghanistan","2000","100 [58-160]",""
"Algeria","2012","86 [63-110]",""
"Algeria","2011","85 [62-110]",""
"Algeria","2010","80 [59-100]",""
"Algeria","2009","74 [54-97]",""
"Algeria","2008","64 [47-84]",""
"Algeria","2007","63 [46-83]",""
"Algeria","2006","59 [43-78]",""
"Algeria","2005","57 [42-74]",""
"Algeria","2004","47 [34-61]",""
"Algeria","2003","41 [30-53]",""
"Algeria","2002","34 [25-44]",""
"Algeria","2001","30 [22-39]",""
"Algeria","2000","25 [18-32]",""
"Angola","2012","5500 [4700-6500]",""
"Angola","2011","5300 [4500-6200]",""
"Angola","2010","5300 [4500-6200]",""
"Angola","2009","5100 [4300-6000]",""
"Angola","2008","4900 [4100-5700]",""
"Angola","2007","4600 [3800-5400]",""
"Angola","2006","4300 [3600-5200]",""
"Angola","2005","4000 [3300-4800]",""
"Angola","2004","3700 [3100-4400]",""
"Angola","2003","3400 [2900-3900]",""
"Angola","2002","3100 [2500-3700]",""
"Angola","2001","2800 [2200-3300]",""
"Angola","2000","2500 [2000-3000]",""
"Antigua and Barbuda","2012","1.3 [0.45-2.7]",""
"Antigua and Barbuda","2011","4.3 [2.3-6.9]",""
"Antigua and Barbuda","2010","6.7 [4.3-9.6]",""
"Antigua and Barbuda","2006","3.5 [1.8-5.5]",""
"Antigua and Barbuda","2005","3.5 [1.3-6.5]",""
"Argentina","2012","270 [220-320]",""
"Argentina","2011","270 [230-320]",""
"Argentina","2010","270 [230-320]",""
"Argentina","2009","270 [220-320]",""
"Argentina","2008","270 [220-330]",""
"Argentina","2007","280 [230-340]",""
"Argentina","2006","290 [240-350]",""
"Argentina","2005","280 [230-340]",""
"Argentina","2004","280 [230-340]",""
"Argentina","2003","290 [240-350]",""
"Argentina","2002","290 [240-350]",""
"Argentina","2001","290 [240-350]",""
"Argentina","2000","290 [240-350]",""
"Armenia","2012","38 [32-45]",""
"Armenia","2011","41 [34-49]",""
"Armenia","2010","48 [40-56]",""
"Armenia","2009","54 [46-62]",""
"Armenia","2008","58 [51-66]",""
"Armenia","2007","61 [53-69]",""
"Armenia","2006","61 [54-69]",""
"Armenia","2005","60 [53-68]",""
"Armenia","2004","56 [49-62]",""
"Armenia","2003","50 [44-56]",""
"Armenia","2002","43 [38-48]",""
"Armenia","2001","35 [31-40]",""
"Armenia","2000","28 [25-32]",""
"Australia","2012","38 [33-43]",""
"Australia","2011","36 [31-40]",""
"Australia","2010","36 [31-41]",""
"Australia","2009","36 [32-41]",""
"Australia","2008","34 [30-38]",""
"Australia","2007","31 [27-35]",""
"Australia","2006","32 [28-36]",""
"Australia","2005","28 [25-32]",""
"Australia","2004","29 [25-32]",""
"Australia","2003","25 [22-28]",""
"Australia","2002","26 [23-30]",""
"Australia","2001","26 [23-29]",""
"Australia","2000","29 [26-33]",""
"Austria","2012","6.8 [5.9-7.6]",""
"Austria","2011","7.3 [6.4-8.3]",""
"Austria","2010","6.7 [5.8-7.5]",""
"Austria","2009","6.4 [5.6-7.2]",""
"Austria","2008","6.3 [5.6-7.2]",""
"Austria","2007","6.2 [5.5-7.1]",""
"Austria","2006","5.9 [5.2-6.7]",""
"Austria","2005","5.8 [5-6.5]",""
"Austria","2004","4.8 [4.2-5.5]",""
"Austria","2003","4.5 [3.9-5]",""
"Austria","2002","4.3 [3.8-4.9]",""
"Austria","2001","3.6 [3.2-4.1]",""
"Austria","2000","3.8 [3.3-4.3]",""
"Azerbaijan","2012","94 [77-110]",""
"Azerbaijan","2011","110 [89-130]",""
"Azerbaijan","2010","120 [100-140]",""
"Azerbaijan","2009","140 [110-160]",""
"Azerbaijan","2008","160 [130-190]",""
"Azerbaijan","2007","180 [150-210]",""
"Azerbaijan","2006","200 [160-240]",""
"Azerbaijan","2005","220 [180-260]",""
"Azerbaijan","2004","240 [200-290]",""
"Azerbaijan","2003","240 [200-290]",""
"Azerbaijan","2002","240 [200-290]",""
"Azerbaijan","2001","220 [180-260]",""
"Azerbaijan","2000","190 [160-220]",""
"Bahamas","2012","8.5 [7.5-9.6]",""
"Bahamas","2011","12 [11-14]",""
"Bahamas","2010","13 [12-15]",""
"Bahamas","2009","21 [18-23]",""
