"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","47.3",""
"Afghanistan","2011","43.5",""
"Afghanistan","2010","51.1",""
"Afghanistan","2009","36.7",""
"Afghanistan","2008","29.9",""
"Afghanistan","2007","28.8",""
"Afghanistan","2006","21.4",""
"Afghanistan","2005","20.0",""
"Afghanistan","2004","16.4",""
"Afghanistan","2003","16.9",""
"Afghanistan","2002","12.4",""
"Albania","2012","541.4",""
"Albania","2011","534.5",""
"Albania","2010","481.9",""
"Albania","2009","519.5",""
"Albania","2008","504.4",""
"Albania","2007","462.5",""
"Albania","2006","395.4",""
"Albania","2005","366.8",""
"Albania","2004","349.0",""
"Albania","2003","312.5",""
"Albania","2002","297.3",""
"Albania","2001","261.3",""
"Albania","2000","247.6",""
"Algeria","2012","439.0",""
"Algeria","2011","365.9",""
"Algeria","2010","334.8",""
"Algeria","2009","357.7",""
"Algeria","2008","295.0",""
"Algeria","2007","261.4",""
"Algeria","2006","225.5",""
"Algeria","2005","219.5",""
"Algeria","2004","230.8",""
"Algeria","2003","218.5",""
"Algeria","2002","209.5",""
"Algeria","2001","204.7",""
"Algeria","2000","181.2",""
"Andorra","2012","3498.6",""
"Andorra","2011","3050.4",""
"Andorra","2010","3101.5",""
"Andorra","2009","2799.9",""
"Andorra","2008","2943.7",""
"Andorra","2007","3014.4",""
"Andorra","2006","2834.6",""
"Andorra","2005","2492.4",""
"Andorra","2004","2324.3",""
"Andorra","2003","2234.4",""
"Andorra","2002","2162.6",""
"Andorra","2001","1954.1",""
"Andorra","2000","1978.1",""
"Angola","2012","212.1",""
"Angola","2011","198.3",""
"Angola","2010","191.0",""
"Angola","2009","241.4",""
"Angola","2008","212.4",""
"Angola","2007","166.1",""
"Angola","2006","182.9",""
"Angola","2005","139.0",""
"Angola","2004","145.1",""
"Angola","2003","126.6",""
"Angola","2002","110.0",""
"Angola","2001","130.6",""
"Angola","2000","74.5",""
"Antigua and Barbuda","2012","1029.4",""
