"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","51.5",""
"Afghanistan","2011","48.2",""
"Afghanistan","2010","43.3",""
"Afghanistan","2009","34.9",""
"Afghanistan","2008","34.7",""
"Afghanistan","2007","30.0",""
"Afghanistan","2006","22.7",""
"Afghanistan","2005","21.0",""
"Afghanistan","2004","19.4",""
"Afghanistan","2003","17.9",""
"Afghanistan","2002","14.2",""
"Albania","2012","227.5",""
"Albania","2011","242.9",""
"Albania","2010","206.6",""
"Albania","2009","230.0",""
"Albania","2008","251.4",""
"Albania","2007","217.6",""
"Albania","2006","168.3",""
"Albania","2005","160.3",""
"Albania","2004","148.0",""
"Albania","2003","108.4",""
"Albania","2002","88.5",""
"Albania","2001","74.8",""
"Albania","2000","69.9",""
"Algeria","2012","278.6",""
"Algeria","2011","232.6",""
"Algeria","2010","181.4",""
"Algeria","2009","173.7",""
"Algeria","2008","183.2",""
"Algeria","2007","134.9",""
"Algeria","2006","106.4",""
"Algeria","2005","95.3",""
"Algeria","2004","90.4",""
"Algeria","2003","74.1",""
"Algeria","2002","65.0",""
"Algeria","2001","65.4",""
"Algeria","2000","60.3",""
"Andorra","2012","3056.7",""
"Andorra","2011","3053.1",""
"Andorra","2010","2957.7",""
"Andorra","2009","2761.6",""
"Andorra","2008","3104.6",""
"Andorra","2007","3011.8",""
"Andorra","2006","2631.4",""
"Andorra","2005","2355.7",""
"Andorra","2004","2193.4",""
"Andorra","2003","1891.4",""
"Andorra","2002","1485.8",""
"Andorra","2001","1294.0",""
"Andorra","2000","1330.4",""
"Angola","2012","190.5",""
"Angola","2011","177.6",""
"Angola","2010","143.8",""
"Angola","2009","174.3",""
"Angola","2008","176.7",""
"Angola","2007","115.5",""
"Angola","2006","110.9",""
"Angola","2005","71.0",""
"Angola","2004","63.4",""
"Angola","2003","44.6",""
"Angola","2002","33.5",""
"Angola","2001","36.2",""
"Angola","2000","22.2",""
"Antigua and Barbuda","2012","681.0",""
"Antigua and Barbuda","2011","702.9",""
"Antigua and Barbuda","2010","735.7",""
"Antigua and Barbuda","2009","637.5",""
"Antigua and Barbuda","2008","701.7",""
"Antigua and Barbuda","2007","697.6",""
"Antigua and Barbuda","2006","607.5",""
"Antigua and Barbuda","2005","543.6",""
"Antigua and Barbuda","2004","453.2",""
"Antigua and Barbuda","2003","457.4",""
"Antigua and Barbuda","2002","432.6",""
"Antigua and Barbuda","2001","429.3",""
"Antigua and Barbuda","2000","407.8",""
"Argentina","2012","995.2",""
"Argentina","2011","866.3",""
"Argentina","2010","750.9",""
"Argentina","2009","725.7",""
"Argentina","2008","685.8",""
"Argentina","2007","548.0",""
"Argentina","2006","453.7",""
"Argentina","2005","394.8",""
"Argentina","2004","327.3",""
"Argentina","2003","280.4",""
"Argentina","2002","225.5",""
"Argentina","2001","676.2",""
"Argentina","2000","709.9",""
"Armenia","2012","150.3",""
"Armenia","2011","127.1",""
"Armenia","2010","142.6",""
"Armenia","2009","132.4",""
"Armenia","2008","148.8",""
"Armenia","2007","132.7",""
"Armenia","2006","97.3",""
"Armenia","2005","85.4",""
"Armenia","2004","65.0",""
"Armenia","2003","51.4",""
"Armenia","2002","42.1",""
"Armenia","2001","41.1",""
"Armenia","2000","38.9",""
"Australia","2012","6140",""
"Australia","2011","6114.4",""
"Australia","2010","5138.1",""
"Australia","2009","4118.5",""
"Australia","2008","4237.3",""
"Australia","2007","3956.5",""
"Australia","2006","3330.2",""
"Australia","2005","3136.5",""
"Australia","2004","2872",""
"Australia","2003","2323",""
"Australia","2002","1846.9",""
"Australia","2001","1631.9",""
"Australia","2000","1712.6",""
"Austria","2012","5407.5",""
"Austria","2011","5643.0",""
"Austria","2010","5272.0",""
"Austria","2009","5125.2",""
"Austria","2008","5211.4",""
"Austria","2007","4636.3",""
"Austria","2006","4015.9",""
"Austria","2005","3863.1",""
"Austria","2004","3720.1",""
"Austria","2003","3222.9",""
"Austria","2002","2599.4",""
"Austria","2001","2405.7",""
"Austria","2000","2403.3",""
"Azerbaijan","2012","398.2",""
"Azerbaijan","2011","359.0",""
"Azerbaijan","2010","310.3",""
"Azerbaijan","2009","288.4",""
"Azerbaijan","2008","240.7",""
"Azerbaijan","2007","192.0",""
"Azerbaijan","2006","149.4",""
"Azerbaijan","2005","121.6",""
"Azerbaijan","2004","81.3",""
"Azerbaijan","2003","57.1",""
"Azerbaijan","2002","33.6",""
"Azerbaijan","2001","31.2",""
"Azerbaijan","2000","30.3",""
"Bahamas","2012","1646.6",""
"Bahamas","2011","1621.6",""
"Bahamas","2010","1626.2",""
"Bahamas","2009","1639.6",""
"Bahamas","2008","1728.9",""
"Bahamas","2007","1720.9",""
"Bahamas","2006","1645.3",""
"Bahamas","2005","1394.3",""
"Bahamas","2004","1325.7",""
"Bahamas","2003","1237.0",""
"Bahamas","2002","1183.3",""
"Bahamas","2001","1106.8",""
"Bahamas","2000","1106.8",""
"Bahrain","2012","894.8",""
"Bahrain","2011","765.6",""
"Bahrain","2010","747.3",""
"Bahrain","2009","728.5",""
"Bahrain","2008","726.7",""
"Bahrain","2007","647.7",""
"Bahrain","2006","598.8",""
"Bahrain","2005","573.0",""
"Bahrain","2004","539.5",""
"Bahrain","2003","536.5",""
"Bahrain","2002","510.0",""
"Bahrain","2001","487.6",""
"Bahrain","2000","475.9",""
"Bangladesh","2012","26.0",""
"Bangladesh","2011","26.8",""
