"Country or Area","Year(s)","GENDER","EDUCATION LEVEL","RESIDENCE AREA","WEALTH QUINTILE","Value","Value Footnotes"
"Albania","2008","","","Urban","","99.4",""
"Albania","2008","","","Rural","","100.0",""
"Albania","2008","","","","Q1 (Poorest)","98.9",""
"Albania","2008","","","","Q2","100.0",""
"Albania","2008","","","","Q3","100.0",""
"Albania","2008","","","","Q4","100.0",""
"Albania","2008","","","","Q5 (Richest)","100.0",""
"Albania","2008","","Primary","","","100.0",""
"Albania","2008","","Secondary or higher","","","100.0",""
"Albania","2008","Female","","","","100.0",""
"Albania","2008","Male","","","","99.6",""
"Albania","2005","","","Urban","","49.8",""
"Albania","2005","","","Rural","","59.5",""
"Albania","2005","","","","Q1 (Poorest)","61.0","1"
"Albania","2005","","","","Q2","57.2","1"
"Albania","2005","","","","Q3","36.3","1"
"Albania","2005","","","","Q4","64.3","1"
"Albania","2005","","","","Q5 (Richest)","61.0","1"
"Albania","2005","","Secondary or higher","","","57.4",""
"Albania","2005","Female","","","","57.6",""
"Albania","2005","Male","","","","55.2",""
"Armenia","2010","","","Urban","","90.7",""
"Armenia","2010","","","Rural","","95.8",""
"Armenia","2010","","","","Q1 (Poorest)","93.0",""
"Armenia","2010","","","","Q2","98.9",""
"Armenia","2010","","","","Q3","92.6",""
"Armenia","2010","","","","Q4","88.0",""
"Armenia","2010","","","","Q5 (Richest)","93.2","1"
"Armenia","2010","","Secondary or higher","","","92.7",""
"Armenia","2010","Female","","","","94.1",""
"Armenia","2010","Male","","","","91.3",""
"Armenia","2005","","","Urban","","74.6",""
"Armenia","2005","","","Rural","","55.8",""
"Armenia","2005","","","","Q1 (Poorest)","53.7",""
"Armenia","2005","","","","Q2","56.0",""
"Armenia","2005","","","","Q3","74.4",""
"Armenia","2005","","","","Q4","74.9",""
"Armenia","2005","","","","Q5 (Richest)","78.9","1"
"Armenia","2005","","Secondary or higher","","","66.6",""
"Armenia","2005","Female","","","","72.0",""
"Armenia","2005","Male","","","","63.9",""
"Armenia","2000","","","Urban","","91.1",""
"Armenia","2000","","","Rural","","93.2",""
"Armenia","2000","","","","Q1 (Poorest)","89.3",""
"Armenia","2000","","","","Q2","95.7",""
"Armenia","2000","","","","Q3","89.1",""
"Armenia","2000","","","","Q4","95.6",""
"Armenia","2000","","","","Q5 (Richest)","91.0","1"
"Armenia","2000","","Secondary or higher","","","92.0",""
"Armenia","2000","Female","","","","92.5",""
"Armenia","2000","Male","","","","91.8",""
"Azerbaijan","2006","","","Urban","","23.0",""
"Azerbaijan","2006","","","Rural","","16.5",""
"Azerbaijan","2006","","","","Q1 (Poorest)","13.6",""
"Azerbaijan","2006","","","","Q2","14.5",""
"Azerbaijan","2006","","","","Q3","26.1",""
"Azerbaijan","2006","","","","Q4","22.8",""
"Azerbaijan","2006","","","","Q5 (Richest)","24.4",""
"Azerbaijan","2006","","Secondary or higher","","","19.1",""
"Azerbaijan","2006","Female","","","","21.1",""
"Azerbaijan","2006","Male","","","","18.9",""
"Bangladesh","2007","","","Urban","","92.0",""
"Bangladesh","2007","","","Rural","","90.5",""
"Bangladesh","2007","","","","Q1 (Poorest)","91.8",""
