"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","79.2",""
"Afghanistan","2011","81.0",""
"Afghanistan","2010","79.1",""
"Afghanistan","2009","78.9",""
"Afghanistan","2008","80.9",""
"Afghanistan","2007","89.1",""
"Afghanistan","2006","87.6",""
"Afghanistan","2005","90.8",""
"Afghanistan","2004","89.5",""
"Afghanistan","2003","93.5",""
"Afghanistan","2002","93.3",""
"Albania","2012","52.4",""
"Albania","2011","52.1",""
"Albania","2010","54.6",""
"Albania","2009","52.9",""
"Albania","2008","56.3",""
"Albania","2007","59.2",""
"Albania","2006","56.1",""
"Albania","2005","55.8",""
"Albania","2004","58.0",""
"Albania","2003","64.1",""
"Albania","2002","65.2",""
"Albania","2001","61.8",""
"Albania","2000","63.9",""
"Algeria","2012","15.9",""
"Algeria","2011","18.0",""
"Algeria","2010","20.9",""
"Algeria","2009","20.7",""
"Algeria","2008","20.0",""
"Algeria","2007","22.9",""
"Algeria","2006","25.6",""
"Algeria","2005","27.3",""
"Algeria","2004","27.6",""
"Algeria","2003","22.2",""
"Algeria","2002","23.5",""
"Algeria","2001","22.6",""
"Algeria","2000","26.7",""
"Andorra","2012","23.4",""
"Andorra","2011","26.4",""
"Andorra","2010","26.6",""
"Andorra","2009","29.9",""
"Andorra","2008","30.1",""
"Andorra","2007","30.2",""
"Andorra","2006","29.6",""
"Andorra","2005","30.9",""
"Andorra","2004","30.8",""
"Andorra","2003","31.4",""
"Andorra","2002","31.2",""
"Andorra","2001","31.3",""
"Andorra","2000","35.2",""
"Angola","2012","37.8",""
"Angola","2011","37.4",""
"Angola","2010","39.5",""
"Angola","2009","39.1",""
"Angola","2008","29.4",""
"Angola","2007","34.6",""
"Angola","2006","33.5",""
"Angola","2005","50.0",""
"Angola","2004","52.1",""
"Angola","2003","57.1",""
"Angola","2002","57.8",""
"Angola","2001","51.7",""
"Angola","2000","50.5",""
"Antigua and Barbuda","2012","24.6",""
"Antigua and Barbuda","2011","26.3",""
"Antigua and Barbuda","2010","24.6",""
"Antigua and Barbuda","2009","26.7",""
"Antigua and Barbuda","2008","33.6",""
"Antigua and Barbuda","2007","35.4",""
"Antigua and Barbuda","2006","34.0",""
"Antigua and Barbuda","2005","34.4",""
"Antigua and Barbuda","2004","35.0",""
"Antigua and Barbuda","2003","33.0",""
"Antigua and Barbuda","2002","31.6",""
"Antigua and Barbuda","2001","32.7",""
"Antigua and Barbuda","2000","31.0",""
"Argentina","2012","30.8",""
"Argentina","2011","33.5",""
"Argentina","2010","36.0",""
"Argentina","2009","34.0",""
"Argentina","2008","38.2",""
"Argentina","2007","41.8",""
"Argentina","2006","45.3",""
"Argentina","2005","46.5",""
"Argentina","2004","48.5",""
"Argentina","2003","48.3",""
"Argentina","2002","46.4",""
"Argentina","2001","46.0",""
"Argentina","2000","46.1",""
"Armenia","2012","58.2",""
"Armenia","2011","47.8",""
"Armenia","2010","57.9",""
"Armenia","2009","55.8",""
"Armenia","2008","53.6",""
"Armenia","2007","51.3",""
"Armenia","2006","55.2",""
"Armenia","2005","63.7",""
"Armenia","2004","74.5",""
"Armenia","2003","72.7",""
"Armenia","2002","74.8",""
"Armenia","2001","73.2",""
"Armenia","2000","81.8",""
"Australia","2012","33.1",""
"Australia","2011","31.6",""
"Australia","2010","32.2",""
"Australia","2009","31.5",""
"Australia","2008","32.1",""
"Australia","2007","32.5",""
"Australia","2006","33.4",""
"Australia","2005","33.1",""
"Australia","2004","33.3",""
"Australia","2003","33.9",""
"Australia","2002","33.1",""
"Australia","2001","33.7",""
"Australia","2000","33.2",""
"Austria","2012","24.5",""
"Austria","2011","24.7",""
"Austria","2010","25.3",""
"Austria","2009","23.8",""
"Austria","2008","23.7",""
"Austria","2007","24.2",""
"Austria","2006","24.3",""
"Austria","2005","24.7",""
"Austria","2004","25.3",""
"Austria","2003","25.5",""
"Austria","2002","25.2",""
"Austria","2001","24.9",""
"Austria","2000","24.4",""
"Azerbaijan","2012","77.2",""
"Azerbaijan","2011","78.4",""
"Azerbaijan","2010","78.1",""
"Azerbaijan","2009","77.1",""
"Azerbaijan","2008","81.2",""
